year,ref,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,932.0,940.5,920.5,854.25,864.5,954.75,902.5,712.0,727.25,680.75,657.5,829.0,830.5,925.75,884.25,966.25,956.75,580.25,576.0,842.75,822.25
1982,856.5,490.0,512.25,989.5,964.5,674.25,647.5,912.5,905.75,925.5,916.75,667.75,668.0,676.5,647.25,940.0,937.75,617.0,606.0,797.0,784.75
1983,812.5,860.0,874.5,1164.0,1107.75,1115.0,1068.75,866.25,907.25,1318.0,1285.5,655.75,650.25,936.75,901.75,615.0,594.25,975.0,973.75,856.0,865.25
1984,900.5,816.0,882.25,657.75,641.0,805.75,777.75,684.75,698.0,507.5,490.75,1046.75,1034.5,492.0,464.5,769.0,807.75,881.0,831.5,431.0,439.5
1985,896.25,748.25,799.5,602.0,591.25,641.75,611.75,721.75,732.75,976.0,940.5,591.5,586.0,925.75,886.25,893.0,863.25,962.0,919.5,715.25,749.0
1986,969.0,756.75,806.75,1197.5,1164.0,1034.25,1008.0,544.0,572.5,811.0,798.25,1099.75,1118.75,611.5,580.0,960.5,967.5,752.5,739.25,867.5,878.0
1987,1053.75,1131.5,1155.5,821.75,794.0,606.25,582.0,565.5,583.5,981.25,925.25,689.75,687.25,1272.25,1222.0,821.0,826.25,1115.75,1053.25,730.0,722.25
1988,903.0,802.25,857.5,647.0,624.5,961.25,914.0,771.0,770.0,736.5,706.0,788.25,815.25,933.0,918.75,989.75,985.0,650.25,646.75,866.75,884.0
1989,1169.5,848.25,904.0,782.5,740.75,532.0,517.25,662.0,705.75,1006.0,989.0,787.25,824.75,840.5,807.75,923.0,970.0,1129.75,1079.0,683.5,669.0
1990,856.25,792.25,828.25,819.0,787.0,939.75,894.25,1025.25,1055.0,823.75,801.25,989.25,1036.5,491.0,457.5,862.0,859.25,768.0,725.75,831.5,798.0
