stn,var,rcp,hor,stat,centile,val
era5_land,sfcWindmax,ref,1988-2017,none,-1,13.148911
era5_land,sfcWindmax,rcp26,1988-2017,mean,-1,13.075659
era5_land,sfcWindmax,rcp26,2021-2050,mean,-1,13.082529
era5_land,sfcWindmax,rcp26,2041-2070,mean,-1,13.057066
era5_land,sfcWindmax,rcp26,2061-2090,mean,-1,13.047107
era5_land,sfcWindmax,rcp26,1988-2017,min,-1,12.859108
era5_land,sfcWindmax,rcp26,2021-2050,min,-1,12.737106
era5_land,sfcWindmax,rcp26,2041-2070,min,-1,12.714103
era5_land,sfcWindmax,rcp26,2061-2090,min,-1,12.637081
era5_land,sfcWindmax,rcp26,1988-2017,max,-1,13.165243
era5_land,sfcWindmax,rcp26,2021-2050,max,-1,13.356608
era5_land,sfcWindmax,rcp26,2041-2070,max,-1,13.278739
era5_land,sfcWindmax,rcp26,2061-2090,max,-1,13.262153
era5_land,sfcWindmax,rcp26,1988-2017,centile,99,13.16334
era5_land,sfcWindmax,rcp26,2021-2050,centile,99,13.343515
era5_land,sfcWindmax,rcp26,2041-2070,centile,99,13.275669
era5_land,sfcWindmax,rcp26,2061-2090,centile,99,13.261273
era5_land,sfcWindmax,rcp26,1988-2017,centile,90,13.147781
era5_land,sfcWindmax,rcp26,2021-2050,centile,90,13.247423
era5_land,sfcWindmax,rcp26,2041-2070,centile,90,13.245131
era5_land,sfcWindmax,rcp26,2061-2090,centile,90,13.249181
era5_land,sfcWindmax,rcp26,1988-2017,centile,50,13.099163
era5_land,sfcWindmax,rcp26,2021-2050,centile,50,13.141705
era5_land,sfcWindmax,rcp26,2041-2070,centile,50,13.103853
era5_land,sfcWindmax,rcp26,2061-2090,centile,50,13.073913
era5_land,sfcWindmax,rcp26,1988-2017,centile,10,12.964032
era5_land,sfcWindmax,rcp26,2021-2050,centile,10,12.868745
era5_land,sfcWindmax,rcp26,2041-2070,centile,10,12.85343
era5_land,sfcWindmax,rcp26,2061-2090,centile,10,12.847619
era5_land,sfcWindmax,rcp26,1988-2017,centile,1,12.869515
era5_land,sfcWindmax,rcp26,2021-2050,centile,1,12.751517
era5_land,sfcWindmax,rcp26,2041-2070,centile,1,12.730269
era5_land,sfcWindmax,rcp26,2061-2090,centile,1,12.662088
era5_land,sfcWindmax,rcp45,1988-2017,mean,-1,13.099949
era5_land,sfcWindmax,rcp45,2021-2050,mean,-1,13.140797
era5_land,sfcWindmax,rcp45,2041-2070,mean,-1,13.149832
era5_land,sfcWindmax,rcp45,2061-2090,mean,-1,13.173106
era5_land,sfcWindmax,rcp45,1988-2017,min,-1,12.747961
era5_land,sfcWindmax,rcp45,2021-2050,min,-1,12.585552
era5_land,sfcWindmax,rcp45,2041-2070,min,-1,12.497528
era5_land,sfcWindmax,rcp45,2061-2090,min,-1,12.474727
era5_land,sfcWindmax,rcp45,1988-2017,max,-1,13.20208
era5_land,sfcWindmax,rcp45,2021-2050,max,-1,13.356467
era5_land,sfcWindmax,rcp45,2041-2070,max,-1,13.426388
era5_land,sfcWindmax,rcp45,2061-2090,max,-1,13.529956
era5_land,sfcWindmax,rcp45,1988-2017,centile,99,13.19791
era5_land,sfcWindmax,rcp45,2021-2050,centile,99,13.350709
era5_land,sfcWindmax,rcp45,2041-2070,centile,99,13.419628
era5_land,sfcWindmax,rcp45,2061-2090,centile,99,13.511405
