year,ref,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,521.2053944281304,678.6283160483159,183.17179324768261,354.8370076320712,355.1308773062884,584.9162338832141,317.87461581304086,628.7033377232954,259.6348480756464,500.40692663322216,664.3110230386624,514.2150234428245,591.8679637519328,628.765346903059,467.4031508359168,569.6298115566522,354.0683528162503,749.047167384071,615.1237891636266,416.0481710730259,678.6283164443611,183.17179324768261,355.1308773062884,584.9162338832141,588.5435348115138,317.87461581304086,509.15954378581193,259.6348480756464,437.41097357799663,500.40692817596175,628.7033382898246,354.83700810794016,467.40315123196217,664.3110224525115,569.6298107836764,354.0683522815954,514.2150236028582,591.8679641020722,749.0471669482502,628.7653461354229,416.04817135575104,615.1237894516684
1982,474.7857218810916,706.3982588451478,141.47643862528938,354.7517606791095,321.6656044044098,623.591671547503,322.1104187366471,669.4113608470066,302.25831925275577,548.7819729097448,703.2538916122172,569.5319529404461,675.2407642232666,650.9643097422521,393.47219888314856,485.661197200242,430.53407756426594,642.086270557943,600.0710700094503,395.68269228498326,706.3982583934118,141.47643862528938,321.6656044044098,623.591671547503,548.0841253418595,322.1104187366471,453.984551810405,302.25831925275577,422.40296496167275,548.7819728849648,669.411361944422,354.751760607311,393.4721984314127,703.2538914501581,485.6611973299599,430.5340777106366,569.5319524334402,675.2407643300564,642.086270154035,650.9643093138237,395.68269291171276,600.0710708376165
1983,415.66411591970893,747.6380819714071,156.91840927482272,368.0422412510977,380.3507299968994,545.2707946824485,262.21443329072474,663.9535254404504,209.1226682922059,592.7908144264221,637.8054469516575,587.4313367963517,551.0829431758049,651.9785401404667,446.07351033378706,587.2846247614053,527.8054251908762,591.0657662020142,675.7403152495247,552.9561538047051,747.638080593738,156.91840927482272,380.3507299968994,545.2707946824485,557.3096089617218,262.21443329072474,456.0011707140143,209.1226682922059,305.40528087808957,592.7908147365167,663.9535260118824,368.04224153229006,446.0735089561181,637.8054469008548,587.2846243957271,527.8054254983128,587.4313366949875,551.0829445029128,591.0657653032342,651.9785403854455,552.9561530392848,675.7403152810798
1984,475.02582782931944,642.9639211838208,122.0986314832356,285.42876652314163,372.3586413049902,519.401380478609,372.1971515819528,645.2942710477558,248.54248209379116,498.6530995832434,622.0183519836826,547.3497028239151,624.5046315939213,653.6196146986955,482.1918438576679,425.78512661651376,331.14682343485555,644.16012465942,541.432946983697,537.2413292844677,642.9639214468626,122.0986314832356,372.3586413049902,519.401380478609,579.5120208409778,372.1971515819528,415.2326451136883,248.54248209379116,344.68241608270665,498.6530983845216,645.2942704074126,285.4287672092816,482.1918441207098,622.0183526222439,425.7851270855595,331.14682375504447,547.3497023269462,624.5046301953491,644.160124359349,653.6196132908232,537.2413289608937,541.4329480105949
1985,496.41710511398117,692.222480648476,156.39833120844415,304.9360911320825,374.26687720757485,603.8742804992696,324.81474392720077,629.1507563298896,244.86171596332966,487.0091436796742,599.1305670766251,500.02971984407134,521.50371653328,598.7225978692823,434.90864164711087,567.3186862465594,415.9725017943132,644.6810879568324,623.5170486908111,411.34819290830995,692.2224811028713,156.39833120844415,374.26687720757485,603.8742804992696,644.3203798196898,324.81474392720077,413.01663945499877,244.86171596332966,403.087198219973,487.0091436356285,629.1507547757434,304.936091690027,434.908642101506,599.1305677790352,567.3186866989555,415.97250240474466,500.02972032211744,521.5037158545209,644.6810890374319,598.7225987889746,411.348192667693,623.517047856338
1986,492.2605155565888,737.7803475211551,131.31858562154113,270.44902889785743,412.8830231428732,545.7708814254981,320.32988806444314,624.6214966858812,254.59415960890502,626.1153673941177,635.9853483152076,597.6028096860083,438.09484911912216,691.0768887670583,457.90857538755756,451.80327710686316,396.53142910012735,699.1804226024705,653.9699398481426,478.84935746401254,737.7803481336092,131.31858562154113,412.8830231428732,545.7708814254981,650.6386198204897,320.32988806444314,443.6005062949923,254.59415960890502,434.4210474945055,626.1153680986198,624.6214973425971,270.4490284158192,457.9085760000117,635.9853468517737,451.80327837226565,396.5314292750793,597.6028081613015,438.09484844539526,699.1804223244893,691.0768890396193,478.84935667327403,653.9699396477212
1987,499.91249898122794,730.0985964685923,190.66477524634664,396.9652736164284,406.9557513059033,563.0960944038387,299.2888124429547,539.4732427931278,189.52613324456237,545.7971495770296,765.0697417609663,537.3412241610874,497.4196588622516,662.8098134456149,545.58488228659,610.9522701810013,459.5485451664957,629.3267673555704,613.6093066066094,586.2841404605051,730.0985967177655,190.66477524634664,406.9557513059033,563.0960944038387,635.2076119753133,299.2888124429547,507.97128317076624,189.52613324456237,516.0919976509853,545.797150072072,539.4732437142918,396.9652729602074,545.5848825357633,765.0697413861529,610.9522691657232,459.54854547898196,537.3412241324129,497.41965895921714,629.3267680936924,662.8098135719649,586.2841404265281,613.609307475344
1988,515.6529428962294,700.1731462885889,201.15810469703774,458.94335866773434,294.3187992223028,572.0938240772479,330.055751628518,571.0796929926358,222.44401186091744,602.8973100888386,740.0762136266474,500.1972111051557,591.2856856438763,536.9253909063184,452.67962226020325,588.9854040425625,394.08023581966575,652.9165686257275,713.4763058318703,398.07614890430364,700.1731469723851,201.15810469703774,294.3187992223028,572.0938240772479,568.1374342188536,330.055751628518,577.8874973900402,222.44401186091744,534.5973722082994,602.8973098399169,571.0796933069626,458.9433582294939,452.6796229439995,740.076213159377,588.985403855293,394.0802354953402,500.1972113354117,591.2856856576066,652.9165684506058,536.9253908454482,398.07614956822607,713.4763054636144
1989,568.470747540579,624.0600676745028,197.09451322673473,437.510520350965,349.43903528900364,613.8707660144164,224.68476286804048,662.3795847834909,170.08780446193384,638.7237964688393,631.7341652985073,544.178826441676,549.1201998410322,658.2669788571881,479.1304435471073,569.3900057414737,439.82283629390156,609.9189608882677,599.9072702960339,581.9667279987847,624.0600678380144,197.09451322673473,349.43903528900364,613.8707660144164,598.9482169753662,224.68476286804048,522.3864057274554,170.08780446193384,496.9652347031113,638.7237962884174,662.3795847458239,437.510520458281,479.1304437106189,631.7341652002958,569.3900057835231,439.8228363154284,544.1788257344335,549.1201990684893,609.9189612753725,658.2669784299727,581.9667279906819,599.9072700882184
1990,484.8856528330014,705.8089420817277,153.41431965214122,342.96710231898555,373.2324255042402,631.9768423744998,246.45891908347238,638.2435921072853,296.6406108807234,646.1639791417311,590.1317923264406,534.1219076682237,618.2251708924058,674.5200734911595,415.6035672135151,365.25752473960193,423.0141771206775,585.1105147519471,677.6189495059018,444.46705743477804,705.8089421375274,153.41431965214122,373.2324255042402,631.9768423744998,631.0524807458476,246.45891908347238,362.5624939084405,296.6406108807234,463.81211035216313,646.1639787420343,638.2435916919261,342.9671012797506,415.6035672693149,590.1317929230115,365.25752541754014,423.01417666658773,534.1219083436326,618.225170915444,585.1105140809877,674.520072947865,444.4670593131433,677.6189491101786
