sim_code,sdev,crmsd,ccoef
Référence,0.2,0.0,1.0
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,0.17,0.21,0.35
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,0.26,0.31,0.1
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,0.24,0.32,-0.06
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,0.31,0.38,-0.12
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,0.26,0.34,-0.08
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,0.16,0.26,-0.1
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,0.18,0.23,0.23
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,0.16,0.26,-0.1
CRCM5_AFR-44_CCCma-CanESM2_rcp45,0.2,0.3,-0.15
CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,0.21,0.3,-0.14
CSC_AFR-44_ICHEC-EC-EARTH_rcp26,0.12,0.24,-0.1
CSC_AFR-44_ICHEC-EC-EARTH_rcp45,0.35,0.37,0.14
CSC_AFR-44_ICHEC-EC-EARTH_rcp85,0.3,0.34,0.11
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,0.14,0.22,0.17
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,0.2,0.31,-0.21
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,0.24,0.3,0.05
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,0.28,0.33,0.09
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,0.2,0.25,0.19
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,0.27,0.36,-0.18
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,0.3,0.36,-0.01
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,0.29,0.35,0.01
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,0.24,0.33,-0.14
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,0.3,0.35,0.06
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,0.22,0.31,-0.13
RCA4_AFR-44_CCCma-CanESM2_rcp45,0.2,0.29,-0.1
RCA4_AFR-44_CCCma-CanESM2_rcp85,0.23,0.32,-0.12
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,0.27,0.31,0.18
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,0.24,0.33,-0.14
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,0.22,0.31,-0.11
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,0.22,0.31,-0.11
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,0.19,0.29,-0.12
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,0.17,0.27,-0.13
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,0.28,0.36,-0.1
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,0.16,0.21,0.3
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,0.22,0.25,0.29
RCA4_AFR-44_MIROC-MIROC5_rcp26,0.27,0.28,0.32
RCA4_AFR-44_MIROC-MIROC5_rcp45,0.11,0.23,-0.12
RCA4_AFR-44_MIROC-MIROC5_rcp85,0.21,0.31,-0.12
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,0.24,0.31,-0.02
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,0.27,0.35,-0.13
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,0.29,0.36,-0.08
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,0.16,0.26,-0.1
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,0.22,0.27,0.19
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,0.23,0.32,-0.12
RCA4_AFR-44_NCC-NorESM1-M_rcp26,0.22,0.31,-0.11
RCA4_AFR-44_NCC-NorESM1-M_rcp45,0.15,0.26,-0.11
RCA4_AFR-44_NCC-NorESM1-M_rcp85,0.28,0.31,0.18
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,0.25,0.33,-0.09
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,0.25,0.3,0.1
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,0.26,0.35,-0.16
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,0.23,0.32,-0.14
REMO2009_AFR-44_MIROC-MIROC5_rcp26,0.25,0.28,0.21
REMO2009_AFR-44_MIROC-MIROC5_rcp85,0.22,0.31,-0.1
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,0.25,0.35,-0.23
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,0.2,0.3,-0.13
REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26,0.29,0.35,0.01
