sim_code,sdev,crmsd,ccoef
Référence,14.76,0.0,1.0
RCA4_AFR-44_CCCma-CanESM2_rcp45,13.01,17.4,0.22
RCA4_AFR-44_CCCma-CanESM2_rcp85,15.25,19.5,0.16
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,15.08,18.6,0.22
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,13.41,16.3,0.33
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,16.69,21.8,0.04
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,13.81,17.5,0.25
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,13.8,21.5,-0.13
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,13.67,19.4,0.07
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,16.57,21.6,0.05
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,14.2,16.8,0.33
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,17.55,21.3,0.14
RCA4_AFR-44_MIROC-MIROC5_rcp26,10.43,14.2,0.41
RCA4_AFR-44_MIROC-MIROC5_rcp45,13.2,19.0,0.08
RCA4_AFR-44_MIROC-MIROC5_rcp85,13.25,19.4,0.04
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,14.88,19.5,0.14
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,18.67,17.9,0.45
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,12.98,18.7,0.1
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,14.08,20.1,0.03
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,14.8,17.9,0.27
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,15.29,17.8,0.3
RCA4_AFR-44_NCC-NorESM1-M_rcp26,14.61,20.4,0.04
RCA4_AFR-44_NCC-NorESM1-M_rcp45,17.31,21.9,0.08
RCA4_AFR-44_NCC-NorESM1-M_rcp85,18.6,22.7,0.09
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,16.46,23.0,-0.08
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,14.08,18.4,0.19
