year,ref,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,CRCM5_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,34.77237,35.03331812054148,34.928560090220856,34.41912053039101,35.0230201488647,34.67692777599592,34.73141220644402,34.84580561229524,34.81773884318011,34.369654678041286,35.04837965541316,34.62943408406983,34.057005989229026,34.90539378045759,34.49181713036114,34.45738953522533,34.274453825550324,34.185910185140244,34.338078590648195,34.530373122525134,34.36648360966899,34.65211433365312,35.039783103085256,34.464584641268175,34.77820009612236,35.058710241014865,35.095002416318835,34.911638488599976,34.509947360547244,34.83433282536015,34.57219108564345,34.42485759498288,34.798470175860984,34.89276942022633,35.03748955632011,35.04224701527346,34.61110457446313,34.529115801554894,34.22838882463725,34.07001829431357,34.32986318485081,34.17582105650388,34.94492067471418,34.37997969514447
1982,34.11194,34.38779654600853,34.408186586155125,34.23621561526767,35.4188050181275,34.727233180154485,34.451140321508944,34.19242504185888,34.94355558644298,34.27445840725903,34.66272595344918,34.08159249038016,34.2033476809288,34.67552661033204,34.19433762906124,34.6220319266327,33.93021797952514,33.986393645469036,34.67948896139745,34.26635739183513,34.606613671884645,35.20189886402693,34.400940562540654,34.27922194614314,34.83934100167954,35.46643949005545,35.31982261549075,34.23492635647108,35.04255167519398,34.88688871569536,34.47760118741667,34.59272363500577,34.53331362530315,34.99632310742072,34.523879787272335,34.676017688899265,34.06851190210887,34.23416238598867,33.89704034506201,34.197363883816365,34.552420949833845,33.98355529154236,34.70118992485726,34.72437203432321
1983,35.44565,33.61096872671743,34.15780048971186,34.37096961126372,34.567270021107674,34.40219543951724,34.27699327141818,34.90045219724789,34.430157308275966,34.73950682342826,34.076001645188796,34.570030007554465,34.47838126354867,34.70216057365337,33.54464303815655,34.80804216938816,33.86194350178033,34.52548077162089,34.5495597648258,34.4168451827714,34.045905707328586,34.94517206152011,33.60657669379043,34.41004689250224,34.49704156831183,34.59016385067315,35.427227731344146,34.96245839078904,35.142547868289796,34.74564454400752,34.9636540624345,34.77091545196623,34.32912155610558,34.47932970240009,34.28722779858151,34.07231223044897,34.56732724061811,33.58080640319139,33.873011955012885,34.47246213968009,34.007233901886025,34.51482817532366,34.72807417772799,34.567838928069136
1984,34.812225,34.9306446635033,35.00801851948336,34.79234911363773,34.73911679119084,35.165279396711355,35.06639496116918,34.973742176544874,34.23457805550095,35.02568209977386,34.47878643183515,35.625985501264836,34.47429736353695,34.21154126805436,35.05513754760466,33.91903818509735,34.75318732408812,35.0213191369661,35.07069753083067,35.174363680156944,34.6054572934861,34.28672068462487,34.93898659155428,34.83877735401887,35.2879496349334,34.775553956876934,34.625266318765625,35.03890758372165,34.59850614968542,35.15991794415481,35.240688286836814,33.901292763170204,35.14208238282981,34.30026158331657,35.16001540226085,34.47361661073933,35.63272873238236,35.103131935897636,34.70774620153901,34.46032765080952,34.558503028644566,35.00272407843488,34.24178597717986,35.11709038451255
1985,34.45047,34.40627938768614,35.42495387702178,34.647238484764046,34.52234672445587,35.5520406295484,34.63793184210306,34.76279104206037,34.21403718756932,34.3130063655002,35.058335917560214,34.76505625507406,34.485205344518306,34.79287688676118,34.946639566283466,34.49782598593151,34.42814360761406,34.55972361852861,33.824759051858905,34.521300110497066,34.60200764925247,34.72236783690647,34.42411361668269,34.67830427165052,35.66212456560328,34.554864546843476,34.533370082014585,34.82025614745447,34.78140901494197,35.5701086550219,34.51208468255521,34.46241476290152,34.717804608427116,34.27468274275964,35.53217989216142,35.04463388924637,34.7526580009212,34.976283984578004,34.38059611038403,34.49201330642774,34.564628491674455,34.54647088779416,34.81960762720678,33.85606695864749
1986,34.13617,34.59296035338883,35.08229031448076,34.25721123682564,34.131930666029746,35.064463322066445,34.37874588194461,34.69343539813991,34.159508973111315,34.342516626581414,34.23149619946042,34.8230848507676,34.759937482237774,34.9610846851283,34.67437056012477,34.022742500339064,34.06550076445137,34.54358445989368,33.94772569055192,34.786533921893636,34.33492888107418,34.85483892411355,34.59317102371779,34.30040732963039,35.18674520090053,34.146471983415836,35.220116555600384,34.7587194464075,34.43776848584463,35.03355510534368,34.57401397538803,34.01434327190407,34.453725673908764,34.21414223789088,35.2287449652149,34.2287060721232,34.81699504537295,34.731783562498265,34.03553645702851,34.760731182242694,34.28343523290215,34.53315371674222,34.96918405381285,33.97571968790919
1987,35.41449,34.406857242395176,34.93659785971312,34.53871901278035,34.798296731073776,35.19768419221731,34.883317441316194,35.51233292559226,34.74571741703437,35.250865046464526,34.785669166917046,34.75298506357325,34.961788289360015,35.02578500710888,34.38905375097181,33.5571859670128,34.46994874354772,35.16010961060937,35.3196137160233,35.177170610660255,34.26738623963445,34.022568040290594,34.41336168535992,34.5721714590386,35.298228293665204,34.84056210043076,34.87934661124797,35.589682252590535,34.99604140425242,35.43164401849555,35.4794276968226,33.54467827024985,34.95005087343617,34.804636384751404,35.041295955649844,34.78395665474545,34.747738742952436,34.42382849926793,34.43036130160186,34.967336899735756,34.252943680330986,35.12974219914753,35.050614752357774,35.346785866602545
1988,34.405853,34.661184979802385,34.47802983024337,35.067913328619056,35.21114821981189,35.12841916209135,34.98435937188867,34.99885160569295,34.592528232197196,35.357119030378556,34.97608957979105,34.67329832725517,34.67109473951837,34.828449685530416,34.65675981604221,34.09396155883968,34.51244438317531,34.748498105167016,35.048504434274605,34.91156082708346,35.25467192744736,34.52790337110804,34.669783495396985,35.09831563422085,35.24154200529307,35.24167917899649,34.855238521475485,35.064957323477984,34.457223639158144,34.828275341186725,35.59131483218704,34.07259071426523,35.05571923153565,34.64486124084044,34.5930311382881,34.97665368579328,34.66169302476635,34.69770645055894,34.473327132695715,34.65848471454137,35.19032707303421,34.745661513999096,34.86774571270348,35.09469246327512
1989,34.56952,34.755653450078114,34.72342511212696,34.61601404188809,35.053700308100986,35.09117537786307,34.729029248709935,35.80460530335671,34.523945994208304,34.98218358887874,34.676846822068626,35.530361277651366,34.57809575012277,34.39915485828976,34.68448505250575,34.448639880901965,34.30636037718051,35.4725568859875,34.60019813638803,35.49884535630389,34.82103409747549,34.523087999202346,34.76685209576141,34.64762342326878,35.18919757837426,35.075807666730725,34.56874286722791,35.91427683821723,34.960761236502435,35.261973108009045,35.212116469372575,34.422692035426735,34.78864143215952,34.561429006955734,34.843070828893474,34.68384294683335,35.54429822193322,34.73640778233005,34.26763871141634,34.58283990035807,34.771674282477306,35.45811644563099,34.426411335206524,34.63642576588097
1990,35.04596,34.82459022100096,34.462838367824816,34.266569606602616,35.68905492438887,34.53863557049658,35.238952248287546,35.66523875443312,34.3173817487484,35.13928925747052,35.23049543472547,35.41423305843057,34.80621223786335,34.23348697883546,34.987011319630085,34.54499715519188,34.50473752943918,35.337214137587296,34.18998883539774,35.24414168160962,35.765193241422764,34.89302579136961,34.83333506696641,34.2994204877495,34.65462797038458,35.74950328149026,34.478625269355746,35.759294433772084,35.23222181504133,34.994907034812286,35.35880089197872,34.51358770713307,35.30422408119273,34.363695364467105,34.58859024985827,35.227564019440024,35.4089588056687,35.03830285214167,34.458078338329585,34.78963082726165,35.695559893911934,35.3168484238393,34.273373908428596,34.23079292131433
