year,ref,rcp45_0,rcp45_1,rcp45_2,rcp45_3,rcp45_4,rcp45_5,rcp45_6,rcp45_7,rcp45_8,rcp45_9,rcp85_0,rcp85_1,rcp85_2,rcp85_3,rcp85_4,rcp85_5,rcp85_6,rcp85_7,rcp85_8,rcp85_9
1981,3888.8909493088727,2271.0274862036854,2228.1049017396167,2064.6955191974002,2124.0552320350794,2426.3510308322498,2206.0921394042216,2275.232798330373,2060.093376148744,2366.095078366675,2129.70203029397,2271.0274862036854,2228.104901829839,2064.6955191071784,2124.0552320350794,2426.3510307420274,2206.092139494444,2275.232798330373,2060.093376148744,2366.095078366675,2129.70203029885
1982,3978.595922470093,2376.963177750672,2181.77751565745,1991.388117172611,2103.4776320538103,2443.22764763813,2117.614123953648,2127.4020993782956,2184.1919747540283,2345.605500913568,2099.047771123939,2376.963177750672,2181.777515243514,1991.3881175865467,2103.4776320538103,2443.227648052066,2117.6141235397113,2127.4020993782956,2184.1919747540283,2345.605500913568,2099.0477703857223
1983,4020.5012359023094,2299.1396501572576,2184.076279004321,1855.423640689536,2145.024445275686,2326.7212644222054,2133.4638122953943,2163.4431447291727,2154.335363722783,2287.735567359995,2103.0006880311807,2299.1396501572576,2184.0762784066565,1855.4236412872006,2145.024445275686,2326.7212650198703,2133.46381169773,2163.4431447291727,2154.335363722783,2287.735567359995,2103.0006873589955
1984,3995.398910522461,2348.3983527545665,2233.3638905407006,2079.937356510959,2129.850788883782,2470.949591924138,2194.8302035909614,2355.695617425263,2151.168556769919,2323.75396247944,2283.2668440981365,2348.3983527545665,2233.3638901111394,2079.9373569405197,2129.850788883782,2470.9495923536997,2194.8302031614003,2355.695617425263,2151.168556769919,2323.75396247944,2283.2668437296174
1985,3981.861348092556,2303.064592876177,2270.1290149598303,2094.8496589331958,2187.4841287200165,2340.6493601007573,2248.9515243271126,2242.1961588463487,2180.029143397133,2385.115026176424,2122.409502262992,2303.064592876177,2270.129014997511,2094.849658895515,2187.4841287200165,2340.6493600630765,2248.951524364793,2242.1961588463487,2180.029143397133,2385.115026176424,2122.4095031601273
1986,4110.628902077675,2311.662136592142,2188.6602784831366,2029.0832038627595,2233.589898997065,2436.889597410632,2149.702899072268,2240.99279360933,2231.306523735555,2326.545118067694,2116.8110409237656,2311.662136592142,2188.660279086606,2029.0832032592903,2233.589898997065,2436.8895968071633,2149.7028996757367,2240.99279360933,2231.306523735555,2326.545118067694,2116.8110414622397
1987,3863.350374519825,2236.742354360786,2207.726630311432,2018.5247968012789,2231.032180379957,2415.7231659211143,2220.8881658850723,2161.9330692084795,2193.552453742101,2261.3761560226153,2210.3121439946667,2236.742354360786,2207.7266301099316,2018.5247970027795,2231.032180379957,2415.7231661226147,2220.8881656835715,2161.9330692084795,2193.552453742101,2261.3761560226153,2210.312144347793
1988,3953.4153522551064,2258.880358632424,2283.4353803648837,2045.7439845439146,2165.0505399753074,2401.101591436359,2220.5624933018607,2168.387988211049,2214.8718641521837,2372.564216418644,2185.318853484042,2258.880358632424,2283.435380081415,2045.7439848273827,2165.0505399753074,2401.1015917198274,2220.562493018392,2168.387988211049,2214.8718641521837,2372.564216418644,2185.318853218779
1989,3746.5068271160126,2328.338080977825,2224.9136408396093,2040.261100874333,2221.9668232641648,2393.988140670527,2162.7132173287373,2200.674274299571,2255.80075230173,2311.875035762,2146.7391641383592,2328.338080977825,2224.9136404360306,2040.2611012779116,2221.9668232641648,2393.9881410741064,2162.7132169251586,2200.674274299571,2255.80075230173,2311.875035762,2146.739164364048
1990,3982.928593814373,2346.255428230511,2182.333640105923,1984.381868041499,2185.801946075477,2410.201362984648,2146.371711688732,2367.8575540982697,2315.218744581015,2378.676083603119,2121.5705474056053,2346.255428230511,2182.3336407237275,1984.3818674236948,2185.801946075477,2410.201362366843,2146.371712306536,2367.8575540982697,2315.218744581015,2378.676083603119,2121.5705461327684
1991,3956.4858071506023,2337.8776358292434,2272.2604647913695,1971.0239972077966,2132.9902054660415,2410.151970064455,2105.0064305450674,2186.1734939221365,2212.5358763103227,2302.559143889532,2182.547536513896,2337.8776358292434,2272.260463279035,1971.0239987201312,2132.9902054660415,2410.15197157679,2105.0064290327327,2186.1734939221365,2212.5358763103227,2302.559143889532,2182.5475363913943
1992,3772.391078054905,2290.9091506417517,2229.1913464142453,2063.8863539082818,2190.5354670190513,2360.291089697189,2135.768604843336,2114.324134979101,2142.363263602138,2251.909400302335,2130.643221820923,2290.9091506417517,2229.1913460239275,2063.8863542985996,2190.5354670190513,2360.291090087507,2135.768604453018,2114.324134979101,2142.363263602138,2251.909400302335,2130.6432205332962
1993,4022.1102131009106,2236.7442916342916,2213.0397427032685,2014.276645480351,2091.086406769885,2466.7993515160265,2121.97954812355,2217.6727934576593,2215.517931408484,2361.9274508332937,2135.3919590371183,2236.7442916342916,2213.0397432374057,2014.276644946214,2091.086406769885,2466.79935098189,2121.9795486576872,2217.6727934576593,2215.517931408484,2361.9274508332937,2135.391959095264
1994,3826.7948931753635,2313.8712405656975,2215.1290633007015,1966.9829592255342,2158.6117751208626,2431.593629456866,2136.430709719557,2221.6107220615468,2195.8797136863004,2381.2260164199615,2204.7330538614824,2313.8712405656975,2215.129062275208,1966.9829602510274,2158.6117751208626,2431.593630482359,2136.4307086940635,2221.6107220615468,2195.8797136863004,2381.2260164199615,2204.733053221457
1995,4008.4685935080047,2249.8882070826285,2157.754442371719,2042.497539835907,2214.764301015063,2387.1068986210034,2158.509717314685,2203.547654788932,2175.972476089707,2327.620263380182,2247.288181691656,2249.8882070826285,2157.75444186376,2042.4975403438664,2214.764301015063,2387.1068991289626,2158.509716806726,2203.547654788932,2175.972476089707,2327.620263380182,2247.288181495816
1996,3819.290512025356,2372.8012862407722,2283.1526132992217,2016.1209859591852,2184.8165101153636,2540.8540096701067,2107.417728668961,2234.8615569119265,2134.129896918629,2319.465900245233,2145.966864714259,2372.8012862407722,2283.1526136419193,2016.120985616487,2184.8165101153636,2540.8540093274087,2107.417729011659,2234.8615569119265,2134.129896918629,2319.465900245233,2145.9668659197364
1997,3865.055995762348,2350.8946194939026,2243.934637779771,2045.0368192968658,2174.9665626268397,2459.932210175182,2159.957750823038,2201.3057157270414,2146.6748515290838,2371.81240106383,2194.3775408789024,2350.8946194939026,2243.9346370651783,2045.0368200114588,2174.9665626268397,2459.9322108897745,2159.957750108445,2201.3057157270414,2146.6748515290838,2371.81240106383,2194.377540958848
1998,4176.188043892384,2339.976781372502,2223.3868310899297,2035.0625141818914,2142.9274079841584,2507.766865105863,2197.1678149389663,2263.3609531035427,2283.1376319535475,2378.1587024828177,2215.4815891503595,2339.976781372502,2223.386831357419,2035.0625139144029,2142.9274079841584,2507.766864838374,2197.167815206455,2263.3609531035427,2283.1376319535475,2378.1587024828177,2215.4815884801856
1999,3795.9049775600433,2299.347928283197,2158.209268097309,2000.2551445881077,2184.1099830532285,2388.7705335025635,2182.454431289058,2203.270384230767,2278.6224495787724,2353.8853325074774,2147.692585763746,2299.347928283197,2158.209268505373,2000.2551441800435,2184.1099830532285,2388.7705330944996,2182.454431697122,2203.270384230767,2278.6224495787724,2353.8853325074774,2147.6925853938938
2000,3950.7786223292355,2258.328739692977,2320.89316499449,1974.5019591953676,2149.8987083829948,2399.7127726249714,2105.898056351123,2292.4772164577644,2215.271911561475,2407.4150652916514,2109.9673657974836,2258.328739692977,2320.8931653240506,1974.501958865806,2149.8987083829948,2399.71277229541,2105.8980566806845,2292.4772164577644,2215.271911561475,2407.4150652916514,2109.9673656371137
