year,ref,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
1981,2932.2951670289026,2829.835649922515,2937.3051394070308,3023.722478734584,2811.523369755701,2931.8296369857944,3018.313005692813
1982,3051.2832002639775,2862.589158507507,2933.1921784902215,3034.097802142651,2855.1601663419497,2927.068862980165,3032.8564846363106
1983,2887.9187038540827,2801.965818914565,2900.5976143971097,2995.8129567131336,2807.021730307439,2894.641352297122,2978.8006248337188
1984,2977.383266389369,2883.103747670182,2997.9609934510536,3118.556161808672,2887.433186875674,2991.737860472024,3103.266884398287
1985,3073.18039676547,2896.4541447918828,2982.4989974852233,3072.8438363814685,2878.11205624885,2975.1738392547772,3069.066995286567
1986,3062.941221594812,2898.783088526316,2983.9391146099183,3085.158099506202,2898.0553622171883,2975.6894003410252,3078.7934704695417
1987,2897.836574405432,2879.3906768115244,2969.5958719654855,3093.2815545816943,2870.2731975631996,2963.1203402083847,3086.2187049633912
1988,3096.474044501781,2861.430882706108,2957.5845865394804,3040.0488882317095,2842.5133775825857,2948.4160760378563,3031.1799915125403
1989,2948.967926621437,2865.656990044474,2961.577945141112,3048.9534201165748,2859.457362104783,2955.6639821058398,3039.651979987957
1990,3122.3147031366834,2918.0837071196984,3000.799745830137,3113.7820358007148,2916.104320677936,2994.4925702947403,3111.5602088645264
1991,3086.3148899376374,2887.4847960290253,2950.284971083561,3017.3549954632836,2885.590355660042,2943.565937878309,3007.6879205679743
1992,2938.2728245556364,2850.055573289986,2920.1148982053664,3007.8494428372114,2848.728445549666,2914.3542653679915,2998.282870188438
1993,3047.2561725676055,2867.1507497908424,2933.595418882191,2977.9968549332216,2858.693956469987,2928.9061047713312,2974.3591724971393
1994,3002.6385692656054,2876.1335237868207,2938.6561162595335,3021.7055780469136,2868.0766914767737,2932.3525968217236,3012.092117815557
1995,3155.391682654619,2865.6255330484814,2943.1233120022,3072.187178754786,2857.8781103540323,2936.7964541755337,3059.7290258056
1996,2970.7212594747543,2889.635854164116,2967.1836823337458,3085.7698573483744,2880.340826176158,2960.340628668238,3063.8531106028167
1997,2910.1253249943265,2900.320687569089,2980.410467919425,3055.448219610451,2898.177346461297,2972.452406318676,3052.9559980574986
1998,3164.8157438337794,2939.1349149720136,3016.6492526142183,3096.15853603026,2931.9078756926524,3008.528013581801,3092.8141473983496
1999,3047.836413264274,2859.858459679346,2944.05628110047,2991.7409461886973,2851.6693613275606,2936.8481870732644,2986.9857164094924
2000,2927.270556241274,2871.306352509495,2973.526479589355,3074.5883074565154,2852.21849424224,2965.2712061982274,3069.820426396609
2001,2916.7306102514267,2879.952220184542,2982.1630817817527,3073.313779867762,2876.3515696466197,2975.5223016585715,3072.4612111594956
2002,3090.4396946430197,2833.602916059086,2951.4491938451556,3039.724369171845,2829.568592040677,2944.6314611383996,3038.9965174694
2003,2969.5629633367057,2907.336577695919,2995.4261392221906,3120.1123827845436,2906.5135682243454,2987.932929466015,3111.772430495845
