year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,CRCM5_AFR-44_CCCma-CanESM2_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,0.0,-4.449999999999999,-8.45,-5.949999999999999,0.3000000000000007,-7.449999999999999,5.800000000000001,-3.9499999999999993,0.05000000000000071,-7.449999999999999,-6.199999999999999,-0.6999999999999993,-7.949999999999999,-5.949999999999999,1.0500000000000007,-12.7,-10.45,-7.449999999999999,-6.949999999999999,-2.4499999999999993,-1.9499999999999993,-0.6999999999999993,-3.1999999999999993,-0.9499999999999993,-3.9499999999999993,6.050000000000001,8.05,4.300000000000001,1.8000000000000007,-4.199999999999999,-5.449999999999999,-3.1999999999999993,-6.199999999999999,0.05000000000000071,-1.9499999999999993,-9.2,-5.199999999999999,-7.449999999999999,9.8,-5.199999999999999,-10.7,0.3000000000000007,15.3,-12.7
1982,0.0,-1.4499999999999993,-11.45,-6.699999999999999,-5.949999999999999,5.050000000000001,1.3000000000000007,-11.7,-5.199999999999999,-9.7,-12.7,-10.45,-7.449999999999999,-8.45,-1.4499999999999993,0.8000000000000007,-7.949999999999999,-8.95,-7.449999999999999,-8.2,-3.4499999999999993,-0.4499999999999993,0.3000000000000007,11.05,-5.699999999999999,-5.449999999999999,3.5500000000000007,-8.7,-0.4499999999999993,14.55,-12.7,-11.45,-10.95,-5.699999999999999,-10.45,-7.699999999999999,-8.7,-9.45,3.0500000000000007,-7.699999999999999,-8.95,-8.7,0.3000000000000007,2.3000000000000007
1983,0.0,-6.449999999999999,-12.7,-9.2,-6.199999999999999,-8.95,1.3000000000000007,-7.949999999999999,-10.2,-8.45,1.3000000000000007,-6.199999999999999,-7.199999999999999,-7.699999999999999,-4.449999999999999,-5.199999999999999,-12.7,-11.7,2.3000000000000007,-3.4499999999999993,-6.449999999999999,3.0500000000000007,-6.199999999999999,34.05,-9.45,-0.6999999999999993,7.300000000000001,-1.6999999999999993,3.3000000000000007,-6.199999999999999,0.3000000000000007,-6.699999999999999,-12.7,-10.2,-6.199999999999999,-8.2,-11.7,-7.199999999999999,-2.6999999999999993,-7.949999999999999,-12.7,-1.6999999999999993,7.550000000000001,-3.9499999999999993
1984,0.0,-9.2,0.8000000000000007,0.05000000000000071,-1.6999999999999993,-9.45,-1.6999999999999993,0.5500000000000007,-10.7,-7.449999999999999,-12.7,-2.9499999999999993,-3.4499999999999993,-8.7,-4.699999999999999,1.5500000000000007,1.3000000000000007,-0.1999999999999993,-10.45,1.0500000000000007,-2.6999999999999993,-3.1999999999999993,-7.449999999999999,12.3,3.8000000000000007,5.550000000000001,0.8000000000000007,20.3,0.05000000000000071,-6.699999999999999,-12.7,3.3000000000000007,2.8000000000000007,-10.95,-2.6999999999999993,-3.1999999999999993,0.3000000000000007,-5.949999999999999,-2.6999999999999993,-8.7,0.3000000000000007,3.5500000000000007,-5.199999999999999,4.300000000000001
1985,0.0,-2.4499999999999993,1.0500000000000007,7.800000000000001,2.8000000000000007,-4.449999999999999,-2.6999999999999993,-7.449999999999999,-9.45,-3.1999999999999993,-7.449999999999999,-9.95,-12.2,-5.199999999999999,-6.949999999999999,-12.7,-4.699999999999999,0.05000000000000071,-5.199999999999999,-3.1999999999999993,-1.6999999999999993,6.550000000000001,-1.6999999999999993,-11.45,9.3,6.050000000000001,1.0500000000000007,24.05,7.550000000000001,0.05000000000000071,-6.699999999999999,-6.949999999999999,3.0500000000000007,-9.45,-9.2,-12.2,1.8000000000000007,-3.1999999999999993,-5.449999999999999,-4.449999999999999,-5.199999999999999,-1.1999999999999993,13.55,-12.7
1986,0.0,-3.1999999999999993,-6.949999999999999,4.050000000000001,-8.7,-0.6999999999999993,2.8000000000000007,-7.949999999999999,-0.6999999999999993,-1.9499999999999993,-10.95,-5.449999999999999,-10.2,-5.199999999999999,-6.199999999999999,-9.45,0.05000000000000071,-4.699999999999999,-1.1999999999999993,-2.1999999999999993,2.8000000000000007,-5.199999999999999,-1.6999999999999993,5.300000000000001,5.050000000000001,-3.9499999999999993,5.300000000000001,-0.4499999999999993,-3.6999999999999993,1.0500000000000007,-10.45,-7.949999999999999,-5.699999999999999,-0.6999999999999993,-4.449999999999999,-10.7,-4.699999999999999,-1.1999999999999993,-4.949999999999999,-5.449999999999999,-1.4499999999999993,-1.4499999999999993,-9.7,-8.95
1987,0.0,-6.199999999999999,9.8,3.5500000000000007,-0.1999999999999993,0.05000000000000071,0.05000000000000071,-8.2,-2.9499999999999993,-8.45,-8.95,-8.95,-5.199999999999999,-0.1999999999999993,16.3,-0.9499999999999993,-9.95,-2.9499999999999993,-4.449999999999999,6.300000000000001,0.5500000000000007,-6.699999999999999,-4.449999999999999,10.05,4.550000000000001,-0.1999999999999993,5.300000000000001,13.3,-0.1999999999999993,4.050000000000001,-8.45,-6.449999999999999,12.55,-2.9499999999999993,-8.7,-4.949999999999999,-1.9499999999999993,-7.949999999999999,22.55,0.5500000000000007,-10.45,8.55,29.8,1.0500000000000007
1988,0.0,-4.199999999999999,1.5500000000000007,11.8,5.050000000000001,21.3,0.5500000000000007,-8.7,-2.4499999999999993,1.3000000000000007,-7.699999999999999,13.3,2.0500000000000007,6.550000000000001,-4.949999999999999,3.8000000000000007,-8.95,2.3000000000000007,-5.449999999999999,4.300000000000001,7.300000000000001,-10.7,-2.1999999999999993,3.3000000000000007,14.05,8.8,5.550000000000001,-3.6999999999999993,-8.95,27.55,-7.949999999999999,-8.2,4.550000000000001,-2.9499999999999993,13.3,0.5500000000000007,3.3000000000000007,1.8000000000000007,-1.6999999999999993,9.05,-9.7,5.550000000000001,1.8000000000000007,4.550000000000001
1989,0.0,-4.199999999999999,-10.2,-3.1999999999999993,6.300000000000001,-3.6999999999999993,11.05,-2.1999999999999993,-10.7,-6.449999999999999,-7.699999999999999,-7.449999999999999,-6.449999999999999,1.3000000000000007,-11.2,-9.7,-3.9499999999999993,-4.699999999999999,-7.949999999999999,-8.7,4.800000000000001,0.05000000000000071,-3.4499999999999993,12.8,0.05000000000000071,9.55,12.8,-4.949999999999999,1.5500000000000007,1.5500000000000007,-7.699999999999999,-0.6999999999999993,-9.95,-10.95,-7.449999999999999,-6.199999999999999,-4.699999999999999,-4.949999999999999,-10.95,3.8000000000000007,-3.9499999999999993,-7.699999999999999,-8.45,-9.7
1990,0.0,9.8,-11.2,-8.7,10.3,8.55,4.550000000000001,24.8,2.5500000000000007,3.5500000000000007,-7.949999999999999,-1.4499999999999993,-5.449999999999999,13.55,-3.4499999999999993,-12.2,17.55,-3.4499999999999993,2.8000000000000007,-8.2,11.05,-4.199999999999999,13.55,-5.699999999999999,-8.95,17.05,6.300000000000001,2.0500000000000007,-2.4499999999999993,16.05,-7.199999999999999,26.55,-11.2,2.8000000000000007,-1.1999999999999993,-5.449999999999999,-2.9499999999999993,8.55,-0.4499999999999993,20.8,16.55,-8.45,7.050000000000001,-11.95
