,stn,var,rcp,hor,stat,q,val
0,era5_land,tasmax,ref,1981-2010,none,-1,34.202951
1,era5_land,tasmax,rcp45,1981-2010,mean,-1,34.305359
2,era5_land,tasmax,rcp45,2021-2050,mean,-1,35.429
3,era5_land,tasmax,rcp45,2051-2080,mean,-1,36.19429
4,era5_land,tasmax,rcp45,1981-2010,min,-1,33.58549
5,era5_land,tasmax,rcp45,2021-2050,min,-1,34.64668
6,era5_land,tasmax,rcp45,2051-2080,min,-1,35.200284
7,era5_land,tasmax,rcp45,1981-2010,max,-1,35.092469
8,era5_land,tasmax,rcp45,2021-2050,max,-1,36.245518
9,era5_land,tasmax,rcp45,2051-2080,max,-1,37.222405
10,era5_land,tasmax,rcp45,1981-2010,quantile,0.99,35.054056
11,era5_land,tasmax,rcp45,2021-2050,quantile,0.99,36.194243
12,era5_land,tasmax,rcp45,2051-2080,quantile,0.99,37.175656
13,era5_land,tasmax,rcp45,1981-2010,quantile,0.9,34.778412
14,era5_land,tasmax,rcp45,2021-2050,quantile,0.9,35.907876
15,era5_land,tasmax,rcp45,2051-2080,quantile,0.9,36.848794
16,era5_land,tasmax,rcp45,1981-2010,quantile,0.5,34.275326
17,era5_land,tasmax,rcp45,2021-2050,quantile,0.5,35.409345
18,era5_land,tasmax,rcp45,2051-2080,quantile,0.5,36.192089
19,era5_land,tasmax,rcp45,1981-2010,quantile,0.1,33.856002
20,era5_land,tasmax,rcp45,2021-2050,quantile,0.1,34.959985
21,era5_land,tasmax,rcp45,2051-2080,quantile,0.1,35.542485
22,era5_land,tasmax,rcp45,1981-2010,quantile,0.01,33.621676
23,era5_land,tasmax,rcp45,2021-2050,quantile,0.01,34.68499
24,era5_land,tasmax,rcp45,2051-2080,quantile,0.01,35.242422
25,era5_land,tasmax,rcp85,1981-2010,mean,-1,34.385892
26,era5_land,tasmax,rcp85,2021-2050,mean,-1,35.744123
27,era5_land,tasmax,rcp85,2051-2080,mean,-1,37.288263
28,era5_land,tasmax,rcp85,1981-2010,min,-1,33.575993
29,era5_land,tasmax,rcp85,2021-2050,min,-1,34.913968
30,era5_land,tasmax,rcp85,2051-2080,min,-1,36.094756
31,era5_land,tasmax,rcp85,1981-2010,max,-1,35.283351
32,era5_land,tasmax,rcp85,2021-2050,max,-1,36.650188
33,era5_land,tasmax,rcp85,2051-2080,max,-1,38.47663
34,era5_land,tasmax,rcp85,1981-2010,quantile,0.99,35.232113
35,era5_land,tasmax,rcp85,2021-2050,quantile,0.99,36.607036
36,era5_land,tasmax,rcp85,2051-2080,quantile,0.99,38.414665
37,era5_land,tasmax,rcp85,1981-2010,quantile,0.9,34.929854
38,era5_land,tasmax,rcp85,2021-2050,quantile,0.9,36.307615
39,era5_land,tasmax,rcp85,2051-2080,quantile,0.9,38.035439
40,era5_land,tasmax,rcp85,1981-2010,quantile,0.5,34.368342
41,era5_land,tasmax,rcp85,2021-2050,quantile,0.5,35.739581
42,era5_land,tasmax,rcp85,2051-2080,quantile,0.5,37.333158
43,era5_land,tasmax,rcp85,1981-2010,quantile,0.1,33.890399
44,era5_land,tasmax,rcp85,2021-2050,quantile,0.1,35.159012
45,era5_land,tasmax,rcp85,2051-2080,quantile,0.1,36.457154
46,era5_land,tasmax,rcp85,1981-2010,quantile,0.01,33.619259
47,era5_land,tasmax,rcp85,2021-2050,quantile,0.01,34.947081
48,era5_land,tasmax,rcp85,2051-2080,quantile,0.01,36.135301
49,era5_land,tasmax,rcpxx,1981-2010,mean,-1,34.346562
50,era5_land,tasmax,rcpxx,2021-2050,mean,-1,35.590226
51,era5_land,tasmax,rcpxx,2051-2080,mean,-1,36.753997
52,era5_land,tasmax,rcpxx,1981-2010,min,-1,33.547904
53,era5_land,tasmax,rcpxx,2021-2050,min,-1,34.591476
54,era5_land,tasmax,rcpxx,2051-2080,min,-1,35.191344
55,era5_land,tasmax,rcpxx,1981-2010,max,-1,35.294483
56,era5_land,tasmax,rcpxx,2021-2050,max,-1,36.666314
57,era5_land,tasmax,rcpxx,2051-2080,max,-1,38.47663
58,era5_land,tasmax,rcpxx,1981-2010,quantile,0.99,35.234204
59,era5_land,tasmax,rcpxx,2021-2050,quantile,0.99,36.591466
60,era5_land,tasmax,rcpxx,2051-2080,quantile,0.99,38.3527
61,era5_land,tasmax,rcpxx,1981-2010,quantile,0.9,34.876678
62,era5_land,tasmax,rcpxx,2021-2050,quantile,0.9,36.194012
63,era5_land,tasmax,rcpxx,2051-2080,quantile,0.9,37.84334
64,era5_land,tasmax,rcpxx,1981-2010,quantile,0.5,34.322498
65,era5_land,tasmax,rcpxx,2021-2050,quantile,0.5,35.567149
66,era5_land,tasmax,rcpxx,2051-2080,quantile,0.5,36.692254
67,era5_land,tasmax,rcpxx,1981-2010,quantile,0.1,33.860875
68,era5_land,tasmax,rcpxx,2021-2050,quantile,0.1,35.028105
69,era5_land,tasmax,rcpxx,2051-2080,quantile,0.1,35.744802
70,era5_land,tasmax,rcpxx,1981-2010,quantile,0.01,33.568751
71,era5_land,tasmax,rcpxx,2021-2050,quantile,0.01,34.662931
72,era5_land,tasmax,rcpxx,2051-2080,quantile,0.01,35.276911
