,stn,var,rcp,hor,stat,q,val
0,era5_land,evspsblpot,ref,1981-2010,none,-1,3679.85596908228
1,era5_land,evspsblpot,rcp45,1981-2010,mean,-1,3595.20369038356
2,era5_land,evspsblpot,rcp45,2021-2050,mean,-1,3759.59543637708
3,era5_land,evspsblpot,rcp45,2051-2080,mean,-1,3871.74214066986
4,era5_land,evspsblpot,rcp45,1981-2010,min,-1,3474.93016698594
5,era5_land,evspsblpot,rcp45,2021-2050,min,-1,3599.43085975461
6,era5_land,evspsblpot,rcp45,2051-2080,min,-1,3707.53118640128
7,era5_land,evspsblpot,rcp45,1981-2010,max,-1,3726.05600844393
8,era5_land,evspsblpot,rcp45,2021-2050,max,-1,3919.73421146237
9,era5_land,evspsblpot,rcp45,2051-2080,max,-1,4031.32929979817
10,era5_land,evspsblpot,rcp45,1981-2010,quantile,0.99,3722.04996473881
11,era5_land,evspsblpot,rcp45,2021-2050,quantile,0.99,3914.27647400931
12,era5_land,evspsblpot,rcp45,2051-2080,quantile,0.99,4026.00216991005
13,era5_land,evspsblpot,rcp45,1981-2010,quantile,0.9,3685.99557139297
14,era5_land,evspsblpot,rcp45,2021-2050,quantile,0.9,3865.15683693151
15,era5_land,evspsblpot,rcp45,2051-2080,quantile,0.9,3978.05800091699
16,era5_land,evspsblpot,rcp45,1981-2010,quantile,0.5,3591.01020894721
17,era5_land,evspsblpot,rcp45,2021-2050,quantile,0.5,3760.99803694603
18,era5_land,evspsblpot,rcp45,2051-2080,quantile,0.5,3875.45927908137
19,era5_land,evspsblpot,rcp45,1981-2010,quantile,0.1,3510.17960176183
20,era5_land,evspsblpot,rcp45,2021-2050,quantile,0.1,3652.6819400284
21,era5_land,evspsblpot,rcp45,2051-2080,quantile,0.1,3768.1158799453
22,era5_land,evspsblpot,rcp45,1981-2010,quantile,0.01,3478.45511046356
23,era5_land,evspsblpot,rcp45,2021-2050,quantile,0.01,3604.75596778192
24,era5_land,evspsblpot,rcp45,2051-2080,quantile,0.01,3713.58965575562
25,era5_land,evspsblpot,rcp85,1981-2010,mean,-1,3581.43889601178
26,era5_land,evspsblpot,rcp85,2021-2050,mean,-1,3771.92979223662
27,era5_land,evspsblpot,rcp85,2051-2080,mean,-1,3987.52315460265
28,era5_land,evspsblpot,rcp85,1981-2010,min,-1,3448.51875897269
29,era5_land,evspsblpot,rcp85,2021-2050,min,-1,3631.92979242502
30,era5_land,evspsblpot,rcp85,2051-2080,min,-1,3809.96847131178
31,era5_land,evspsblpot,rcp85,1981-2010,max,-1,3720.24686022301
32,era5_land,evspsblpot,rcp85,2021-2050,max,-1,3925.28344812712
33,era5_land,evspsblpot,rcp85,2051-2080,max,-1,4161.84390307187
34,era5_land,evspsblpot,rcp85,1981-2010,quantile,0.99,3715.98377389251
35,era5_land,evspsblpot,rcp85,2021-2050,quantile,0.99,3919.2974508189
36,era5_land,evspsblpot,rcp85,2051-2080,quantile,0.99,4156.83861789525
37,era5_land,evspsblpot,rcp85,1981-2010,quantile,0.9,3677.61599691781
38,era5_land,evspsblpot,rcp85,2021-2050,quantile,0.9,3865.42347504457
39,era5_land,evspsblpot,rcp85,2051-2080,quantile,0.9,4111.79105130521
40,era5_land,evspsblpot,rcp85,1981-2010,quantile,0.5,3580.02105151708
41,era5_land,evspsblpot,rcp85,2021-2050,quantile,0.5,3768.40305804648
42,era5_land,evspsblpot,rcp85,2051-2080,quantile,0.5,3983.73288664301
43,era5_land,evspsblpot,rcp85,1981-2010,quantile,0.1,3484.17880589425
44,era5_land,evspsblpot,rcp85,2021-2050,quantile,0.1,3678.40957203068
45,era5_land,evspsblpot,rcp85,2051-2080,quantile,0.1,3869.69025048475
46,era5_land,evspsblpot,rcp85,1981-2010,quantile,0.01,3452.08476366484
47,era5_land,evspsblpot,rcp85,2021-2050,quantile,0.01,3636.57777038557
48,era5_land,evspsblpot,rcp85,2051-2080,quantile,0.01,3815.94064922904
49,era5_land,evspsblpot,rcpxx,1981-2010,mean,-1,3588.32129319763
50,era5_land,evspsblpot,rcpxx,2021-2050,mean,-1,3765.76261430685
51,era5_land,evspsblpot,rcpxx,2051-2080,mean,-1,3929.63264763626
52,era5_land,evspsblpot,rcpxx,1981-2010,min,-1,3448.18157074913
53,era5_land,evspsblpot,rcpxx,2021-2050,min,-1,3580.31518822913
54,era5_land,evspsblpot,rcpxx,2051-2080,min,-1,3700.48064470265
55,era5_land,evspsblpot,rcpxx,1981-2010,max,-1,3732.35449012365
56,era5_land,evspsblpot,rcpxx,2021-2050,max,-1,3954.8506268863
57,era5_land,evspsblpot,rcpxx,2051-2080,max,-1,4170.72117870046
58,era5_land,evspsblpot,rcpxx,1981-2010,quantile,0.99,3729.49345526128
59,era5_land,evspsblpot,rcpxx,2021-2050,quantile,0.99,3945.33417683242
60,era5_land,evspsblpot,rcpxx,2051-2080,quantile,0.99,4159.79139451799
61,era5_land,evspsblpot,rcpxx,1981-2010,quantile,0.9,3685.49014656539
62,era5_land,evspsblpot,rcpxx,2021-2050,quantile,0.9,3873.85491520621
63,era5_land,evspsblpot,rcpxx,2051-2080,quantile,0.9,4080.74475640776
64,era5_land,evspsblpot,rcpxx,1981-2010,quantile,0.5,3584.98415023388
65,era5_land,evspsblpot,rcpxx,2021-2050,quantile,0.5,3764.65012859397
66,era5_land,evspsblpot,rcpxx,2051-2080,quantile,0.5,3927.04514571425
67,era5_land,evspsblpot,rcpxx,1981-2010,quantile,0.1,3493.86164551963
68,era5_land,evspsblpot,rcpxx,2021-2050,quantile,0.1,3659.59570928594
69,era5_land,evspsblpot,rcpxx,2051-2080,quantile,0.1,3790.23410563388
70,era5_land,evspsblpot,rcpxx,1981-2010,quantile,0.01,3450.8954653053
71,era5_land,evspsblpot,rcpxx,2021-2050,quantile,0.01,3589.90127727808
72,era5_land,evspsblpot,rcpxx,2051-2080,quantile,0.01,3711.858425939
