year,ref,rcp26_middle,rcp26_lower,rcp26_upper,rcp45_middle,rcp45_lower,rcp45_upper,rcp85_middle,rcp85_lower,rcp85_upper
1988,15.5468509984639,21.701169797944,10.09062980030722,42.60215053763441,17.936866359447002,8.112135176651305,33.325652841781874,16.779852857951333,8.400921658986174,34.804915514592935
1989,25.284178187403995,19.36275552404585,5.576036866359447,32.78955453149001,17.874423963133644,3.93394777265745,31.62980030721966,18.061039696014227,4.0368663594470044,34.77726574500768
1990,22.580645161290324,21.6745834810351,8.93394777265745,34.19969278033794,19.98195084485407,8.370199692780337,32.576036866359445,19.01633115045679,7.662058371735791,34.21044546850999
1991,9.193548387096774,17.485288904643742,7.949308755760368,32.78648233486943,16.82910906298003,4.055299539170507,42.35330261136713,18.37011884550085,3.6897081413210446,40.03840245775729
1992,21.708141321044547,20.467801016188112,10.6036866359447,31.761904761904763,18.76490015360983,10.568356374807989,32.625192012288785,18.20551378446115,10.612903225806452,32.8479262672811
1993,19.86021505376344,20.96029776674938,13.35483870967742,29.2642089093702,18.416666666666664,4.250384024577573,30.08448540706605,17.586627859972513,4.511520737327189,31.293394777265743
1994,22.319508448540702,15.299421009098433,4.8986175115207375,22.85867895545315,18.013440860215052,7.774193548387097,37.11213517665131,17.005093378607807,5.886328725038402,34.712749615975426
1995,24.738863287250386,19.004608294930875,10.946236559139784,26.52380952380953,15.834178187403992,3.574500768049155,24.18125960061444,16.08901285471744,2.814132104454685,23.552995391705068
1996,7.821812596006144,16.96537870731419,4.745007680491551,24.98463901689708,15.701996927803382,4.551459293394777,28.923195084485407,15.166141159349989,4.488479262672811,27.138248847926267
1997,29.35637480798772,22.20831856315727,11.210445468509985,32.75883256528418,20.855529953917053,7.651305683563748,39.03533026113672,20.849866601988847,7.274961597542243,38.0
1998,24.723502304147463,17.490369845208555,5.296466973886329,28.82642089093702,18.134331797235024,6.153609831029186,26.47004608294931,17.290807664322095,5.863287250384024,28.125960061443934
1999,19.29800307219662,18.26869904289259,11.377880184331795,25.19047619047619,16.446313364055303,7.9631336405529956,26.05990783410138,15.53351119734821,6.717357910906298,22.05990783410138
2000,25.74500768049155,22.86730473827248,8.036866359447005,45.76804915514593,20.776420890937025,7.423963133640553,42.32718894009216,20.443366480717923,7.769585253456221,42.775729646697386
2001,19.04147465437788,20.16022686990429,11.027649769585253,34.663594470046085,15.918970814132104,5.85099846390169,31.476190476190474,17.088527771040507,5.7373271889400925,32.806451612903224
2002,19.20583717357911,19.000945291267872,7.579109062980031,34.344086021505376,19.715207373271888,4.474654377880184,38.59754224270353,18.18772738297356,4.205837173579109,34.055299539170505
2003,14.740399385560677,13.309110244594118,5.399385560675883,23.410138248847925,14.265668202764976,4.448540706605223,30.986175115207374,13.7475947934352,4.917050691244239,28.83102918586789
2004,14.11520737327189,20.13824884792627,8.649769585253456,29.35483870967742,16.347158218125962,7.159754224270353,27.70967741935484,16.95504891260409,6.743471582181259,28.079877112135176
2005,15.101382488479263,19.36287368545433,9.952380952380953,46.55299539170507,15.739016897081411,10.029185867895546,24.365591397849464,15.83563748079877,10.599078341013826,24.71889400921659
2006,11.411674347158218,19.38756941982749,7.596006144393241,33.42089093701997,16.05952380952381,6.912442396313364,27.3394777265745,15.957070094591316,6.279569892473118,25.93855606758833
2007,28.070660522273425,15.823348694316437,4.268817204301075,26.56374807987711,20.205222734254995,4.697388632872504,37.053763440860216,18.83005901851403,9.924731182795698,35.824884792626726
2008,28.25499231950845,17.562330142975306,4.725038402457757,34.79877112135177,15.147926267281107,6.529953917050691,25.168970814132106,17.78850351685666,3.952380952380953,29.2457757296467
2009,9.651305683563749,16.304029304029303,7.786482334869432,26.17357910906298,16.863824884792628,10.242703533026114,28.53302611367128,19.27488075026276,3.218125960061444,33.64055299539171
2010,11.067588325652842,17.77478435542952,4.795698924731183,29.33333333333333,14.683640552995394,3.2135176651305684,38.4900153609831,16.377475947934354,5.789554531490015,33.1136712749616
2011,10.631336405529954,19.17629682145811,9.3394777265745,36.45007680491551,22.40652841781874,6.21505376344086,44.54838709677419,18.45298730697712,8.359447004608295,27.231950844854072
2012,23.67588325652842,20.942100909842846,9.09216589861751,44.02150537634409,15.58548387096774,5.749615975422427,22.41167434715822,18.272051095480634,6.993855606758832,37.775729646697386
2013,19.301075268817204,17.414864705187288,6.887864823348695,33.08909370199693,17.056835637480795,3.0629800307219663,36.49923195084485,15.25474977766998,8.491551459293396,23.476190476190474
2014,16.152073732718893,18.15124660285951,8.250384024577572,27.738863287250386,17.92273425499232,10.897081413210444,29.47004608294931,17.190557037755678,7.086021505376344,35.443932411674346
2015,17.311827956989248,14.993382961124896,1.6682027649769586,23.930875576036865,19.63963133640553,9.560675883256527,31.93548387096774,15.579674993936456,5.345622119815668,29.37480798771121
2016,19.97388632872504,16.294340068533618,6.440860215053763,22.95391705069125,18.72496159754224,9.125960061443932,37.79877112135177,16.577411270110762,5.546850998463902,35.89093701996928
2017,13.466973886328724,13.25617393359329,4.874039938556067,20.976958525345623,17.171351766513055,4.61136712749616,50.15668202764977,17.778640148758996,6.697388632872504,43.22427035330261
2018,,19.44688644688645,9.740399385560677,27.24270353302612,19.312211981566826,7.738863287250384,36.31490015360984,14.67135580887703,7.261136712749616,25.7357910906298
2019,,19.63759896017961,6.577572964669739,34.195084485407065,18.18924731182796,11.236559139784946,35.224270353302614,16.40520656479909,2.0583717357910905,29.319508448540702
2020,,14.996218834928513,6.0368663594470044,25.07834101382489,18.83832565284178,9.362519201228878,40.03993855606759,16.570296709515723,0.152073732718894,35.66205837173579
2021,,23.65674110835401,7.71121351766513,36.32718894009216,15.302611367127495,4.577572964669739,23.705069124423964,15.33268655509742,1.9493087557603688,27.15668202764977
