sim_code,sdev,crmsd,ccoef
Référence,106.61,0.0,1.0
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,80.49,72.9,0.73
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,77.55,65.8,0.79
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,57.24,77.9,0.7
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,55.96,77.8,0.71
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,43.6,83.8,0.67
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,43.64,81.4,0.71
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,76.1,71.1,0.75
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,71.97,72.7,0.73
CRCM5_AFR-44_CCCma-CanESM2_rcp45,115.9,52.4,0.89
CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,156.03,78.6,0.89
CSC_AFR-44_ICHEC-EC-EARTH_rcp26,122.25,79.8,0.76
CSC_AFR-44_ICHEC-EC-EARTH_rcp45,127.6,88.8,0.73
CSC_AFR-44_ICHEC-EC-EARTH_rcp85,112.86,76.6,0.76
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,153.61,99.4,0.77
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,143.38,87.4,0.79
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,134.4,86.1,0.77
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,92.17,69.1,0.77
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,92.25,70.5,0.76
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,82.55,74.2,0.72
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,91.5,82.0,0.67
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,88.56,76.8,0.7
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,75.46,70.7,0.75
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,62.26,74.6,0.73
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,75.71,84.5,0.62
RCA4_AFR-44_CCCma-CanESM2_rcp45,119.24,46.8,0.92
RCA4_AFR-44_CCCma-CanESM2_rcp85,119.45,48.8,0.91
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,132.83,59.4,0.9
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,135.79,63.6,0.89
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,140.81,81.5,0.82
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,146.26,85.8,0.81
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,144.39,76.5,0.86
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,146.3,78.2,0.85
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,145.46,81.1,0.84
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,106.37,42.6,0.92
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,109.21,46.5,0.91
RCA4_AFR-44_MIROC-MIROC5_rcp26,140.6,79.6,0.83
RCA4_AFR-44_MIROC-MIROC5_rcp45,142.82,81.2,0.83
RCA4_AFR-44_MIROC-MIROC5_rcp85,143.37,79.4,0.84
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,128.34,74.0,0.82
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,121.91,68.9,0.83
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,127.55,72.2,0.82
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,159.22,81.7,0.88
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,160.63,89.6,0.85
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,154.01,79.6,0.88
RCA4_AFR-44_NCC-NorESM1-M_rcp26,93.67,61.3,0.82
RCA4_AFR-44_NCC-NorESM1-M_rcp45,99.3,58.7,0.84
RCA4_AFR-44_NCC-NorESM1-M_rcp85,98.12,65.3,0.8
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,176.66,98.0,0.88
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,174.18,98.4,0.86
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,104.54,66.4,0.8
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,88.75,64.4,0.8
REMO2009_AFR-44_MIROC-MIROC5_rcp26,115.47,81.2,0.74
REMO2009_AFR-44_MIROC-MIROC5_rcp85,100.29,73.4,0.75
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,101.68,72.6,0.76
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,87.32,69.2,0.76
REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26,151.47,81.1,0.86
