sim_code,sdev,crmsd,ccoef
Référence,106.6,0.0,1.0
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,105.2,61.0,0.83
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,109.2,59.5,0.85
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,102.4,62.8,0.82
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,102.0,65.2,0.81
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,87.5,72.5,0.74
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,88.6,68.0,0.77
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,103.6,54.5,0.87
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,101.5,54.3,0.86
CRCM5_AFR-44_CCCma-CanESM2_rcp45,108.1,49.8,0.89
CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,106.9,46.7,0.9
CSC_AFR-44_ICHEC-EC-EARTH_rcp26,100.2,52.5,0.87
CSC_AFR-44_ICHEC-EC-EARTH_rcp45,101.2,55.9,0.86
CSC_AFR-44_ICHEC-EC-EARTH_rcp85,96.6,53.4,0.87
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,103.2,50.6,0.88
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,100.5,48.7,0.89
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,102.3,52.2,0.88
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,97.6,51.5,0.88
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,98.9,53.8,0.87
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,107.4,50.1,0.89
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,105.0,49.5,0.89
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,107.2,47.9,0.9
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,106.4,56.0,0.86
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,104.1,59.7,0.84
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,103.0,64.6,0.81
RCA4_AFR-44_CCCma-CanESM2_rcp45,107.6,47.5,0.9
RCA4_AFR-44_CCCma-CanESM2_rcp85,110.5,48.9,0.9
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,104.9,44.1,0.91
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,104.6,48.3,0.9
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,104.0,51.1,0.88
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,102.2,47.8,0.9
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,106.2,49.7,0.89
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,107.9,50.4,0.89
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,109.3,54.9,0.87
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,109.5,46.2,0.91
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,110.0,50.8,0.89
RCA4_AFR-44_MIROC-MIROC5_rcp26,103.9,46.7,0.9
RCA4_AFR-44_MIROC-MIROC5_rcp45,105.7,53.0,0.88
RCA4_AFR-44_MIROC-MIROC5_rcp85,104.1,48.9,0.89
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,110.1,53.4,0.88
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,111.7,56.4,0.87
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,109.9,56.9,0.86
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,108.0,47.7,0.9
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,108.6,54.2,0.87
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,103.8,47.0,0.9
RCA4_AFR-44_NCC-NorESM1-M_rcp26,107.4,50.3,0.89
RCA4_AFR-44_NCC-NorESM1-M_rcp45,106.1,47.1,0.9
RCA4_AFR-44_NCC-NorESM1-M_rcp85,110.1,59.9,0.85
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,105.9,43.5,0.92
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,107.2,46.8,0.9
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,100.4,51.5,0.88
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,98.5,51.7,0.88
REMO2009_AFR-44_MIROC-MIROC5_rcp26,98.9,53.0,0.87
REMO2009_AFR-44_MIROC-MIROC5_rcp85,96.0,55.7,0.85
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,104.9,59.1,0.84
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,99.3,56.1,0.85
REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26,104.0,42.2,0.92
