year,ref,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1991,1053.75,843.0,875.25,1024.75,952.5,1107.75,1053.25,968.25,981.75,986.75,1069.5,1112.75,1073.25,1015.75,971.0,1041.25,1148.25,1036.25,1050.5,1078.25,1085.75,863.0,780.5,851.0,1212.5,
1992,833.5,1023.75,1084.0,795.5,776.0,618.5,563.0,821.0,851.75,857.75,1448.25,1442.5,1170.0,1028.25,1080.0,1552.25,1761.75,1615.25,790.0,782.75,811.75,1308.75,1204.25,1242.75,844.25,886.0
1993,1121.5,1139.5,1084.25,1009.75,945.5,1072.75,1006.75,803.75,839.0,841.0,779.5,752.75,1315.25,1175.5,1130.25,993.75,1083.75,1028.5,956.25,1012.75,1026.5,966.0,886.25,919.75,853.25,866.25
1994,978.25,1178.5,1200.75,1007.75,994.75,1003.5,954.75,675.0,707.25,702.0,1111.0,1141.0,855.0,824.75,813.25,843.5,896.0,805.0,801.5,798.75,807.25,732.0,679.5,721.0,1068.5,1143.0
1995,1073.25,1122.5,1193.25,1037.25,942.5,988.75,954.75,692.75,723.75,713.0,1386.5,1372.0,601.75,569.25,541.25,1049.75,1185.75,1043.5,803.0,821.0,806.25,739.5,698.0,754.25,1211.0,1213.5
1996,1001.75,694.0,719.0,875.0,855.5,847.0,782.0,722.25,752.5,743.75,622.75,620.25,1142.75,1061.25,1032.5,733.5,773.25,703.5,1035.75,994.0,1001.75,1058.75,912.25,984.5,786.0,813.0
1997,832.0,1032.75,1036.5,1174.0,1131.0,924.75,855.5,1129.0,1133.5,1165.25,842.25,843.0,1337.75,1246.5,1222.25,1058.25,1138.75,1026.5,,,,660.0,625.25,664.25,928.75,989.75
1998,762.0,813.25,871.25,873.25,842.25,1356.5,1320.25,830.5,870.25,867.0,904.75,870.5,977.5,847.75,803.5,902.5,1024.0,867.5,709.5,709.0,736.5,634.0,625.0,770.0,511.75,526.5
1999,1089.0,1314.0,1300.5,,,1199.5,1131.0,792.5,823.0,817.25,1237.75,1227.5,1014.75,955.5,943.5,1487.25,1523.5,1426.75,1039.25,1030.0,1070.75,1138.0,1076.0,1106.0,845.0,869.5
2000,1132.75,1382.25,1308.75,1130.25,1108.0,870.0,823.75,953.75,966.0,988.75,868.0,889.0,1207.25,1074.0,1021.75,839.25,825.75,777.75,814.25,777.75,816.25,722.25,679.25,732.25,1252.0,1243.5
2001,946.0,1004.5,1031.0,1024.75,982.0,995.25,955.75,1163.75,1165.75,1246.75,984.75,955.0,948.0,869.25,863.75,1425.75,1491.0,1411.75,1069.25,1067.0,1094.75,918.5,912.5,920.0,1181.0,1132.25
2002,578.75,1117.5,1142.0,1010.25,986.25,1051.5,976.25,863.75,927.5,897.25,958.5,949.0,958.0,922.5,910.0,1183.0,1236.75,1136.75,893.5,909.5,864.25,1114.5,966.0,1041.5,657.75,658.0
2003,1081.25,1253.75,1309.75,1158.25,1117.0,987.75,919.0,949.25,941.5,960.25,825.0,817.25,904.5,876.5,841.0,554.25,566.5,537.75,997.75,993.5,1042.25,944.5,901.5,925.75,908.5,959.0
2004,732.25,707.75,749.0,949.0,897.0,989.75,932.5,972.0,1017.25,1034.25,822.0,813.25,955.0,870.25,866.0,1047.0,1140.0,989.75,1082.25,1052.5,1090.0,1168.25,1051.25,1139.0,1141.25,1138.75
2005,824.5,877.5,883.5,916.5,874.75,,1230.5,837.5,874.75,878.75,899.25,880.5,1038.5,939.25,930.25,947.5,1012.5,896.5,1098.5,1098.5,1118.75,866.75,767.25,805.5,757.5,765.5
2006,765.75,929.5,939.25,905.5,1089.25,1051.5,696.5,1007.75,1169.0,1074.5,825.0,1112.0,858.75,864.25,510.75,1195.75,1303.25,1157.5,865.5,1225.0,673.5,1064.25,717.75,1034.75,835.5,1021.5
2007,753.0,1112.25,965.75,769.5,1017.75,986.25,714.25,934.5,1104.75,1201.75,806.75,1011.5,803.75,,631.25,657.0,935.0,1187.5,914.0,1102.0,982.75,865.25,951.0,1134.5,912.5,859.5
2008,1047.25,1109.0,1088.75,890.5,1013.0,776.75,1099.5,1241.75,910.5,798.75,976.0,867.5,746.75,952.25,1340.5,1114.25,645.75,1106.75,861.0,1067.75,892.25,1042.25,918.75,1245.25,1170.75,640.75
2009,954.0,888.5,1005.0,928.25,989.25,605.5,1237.75,1232.0,1036.75,792.75,1042.25,982.75,1033.0,1123.5,1013.5,790.0,666.0,937.0,1301.75,740.25,1122.25,674.75,1151.5,1657.0,,1009.25
