,year,ref,rcp45_moy,rcp45_min,rcp45_max,rcp85_moy,rcp85_min,rcp85_max
0,1981,22.766388,22.724190384616215,22.2672731856253,23.231680657841025,22.751507985427647,22.293944234251285,23.34903561744619
1,1982,22.307983,22.67771371218834,22.308213655996042,23.259261047016707,22.728714495162116,22.35191906359006,23.346263598267058
2,1983,23.199677,22.643524683382328,22.201664319824886,23.09205802355615,22.68599122681977,22.26279112164309,23.08873170662821
3,1984,22.56363,22.889455892767877,22.190598878830087,23.26433590723235,22.912571314955784,22.213837454594,23.30057539226908
4,1985,22.54663,22.720402732574748,22.211030511054844,23.421834447645438,22.756490530902994,22.285375400173507,23.544161677993145
5,1986,22.25888,22.657430405107405,22.08601328721295,22.958918605909844,22.69603180447727,22.144891911808998,23.06931479034472
6,1987,22.956207,22.867210943949342,22.315291290676157,23.226000624420976,22.933115670643915,22.32461401596555,23.274613136116614
7,1988,22.580322,22.945931697733386,22.260772534265072,23.30655360715241,22.968955252915862,22.299459748894776,23.422810117406243
8,1989,22.496033,22.85333188293787,22.122340196556422,23.503542526433932,22.86047507092795,22.149431515650065,23.58042148316116
9,1990,22.955841,22.922459595413365,22.202215991869934,23.78470997791402,22.916045139993795,22.247995341822445,23.820496587608318
10,1991,22.663239,22.814270057835397,22.270862604575314,23.54503697263101,22.85175754267459,22.349055009011636,23.681219213614554
11,1992,22.618225,22.699703633938814,22.279620602429873,23.195634800936887,22.769446260568344,22.29146217799314,23.308549755106526
12,1993,22.920288,22.712115665395412,22.210183236608884,23.474072087387754,22.82162257654068,22.220295794796584,23.516077898845822
13,1994,22.360321,22.692460848491063,22.292729279487276,23.06789146231597,22.778168619785323,22.37558533383435,23.41260708215441
14,1995,22.802399,22.902213703878434,22.40988155043351,23.470148601415303,22.942730545336087,22.21987625814569,23.574662280726045
15,1996,22.741486,22.929850534936328,22.512263833075906,23.964872854552254,22.971920812513808,22.526594990251226,24.149575104727887
16,1997,22.87262,22.915471448049914,22.578471240106808,23.496119103634612,22.97292905593905,22.60252421312839,23.643143513815403
17,1998,23.418427,23.008970952608546,22.512363880208397,23.480807777012103,23.083483642922985,22.540175444332476,23.59467685812041
18,1999,22.441772,23.049891275981672,22.55807925943168,23.61984808304561,23.05555094652408,22.56815425321571,23.677852593593286
19,2000,22.473602,23.07832490748737,22.75242997032035,23.45965844133127,23.160340164631315,22.77493295185883,23.532103044721737
20,2001,22.783173,23.130790949851797,22.75022398622832,23.480263208727195,23.1810912489957,22.49268363836012,23.523745605273177
21,2002,23.097656,23.130051674567852,22.638229016650143,24.058055308402857,23.186321122259297,22.69310981217933,24.099723028967503
22,2003,22.924805,23.2106169643092,22.69504581330733,23.828985548379933,23.26812307211227,22.726267415955135,23.918847883109606
23,2004,23.01294,23.13455711718186,22.876121821742288,23.437827738673434,23.24308450267118,22.914845529322463,23.92333458927351
24,2005,23.315735,23.258962872285153,22.707948849335537,23.86120691596841,23.37406197861726,22.76895951251663,24.215172741539334
25,2006,22.805664,23.25295776931055,22.701203891639466,23.727515887298182,23.26272213495164,22.38734137650289,23.94812192227471
26,2007,22.68277,23.284683883237555,22.656726502162826,23.961282498472713,23.26434431950913,22.74906334003856,24.43818369191274
27,2008,22.65207,23.34485719190588,22.98709127565178,23.773580065840065,23.29157420255496,22.794115100043996,23.70223535332792
28,2009,22.682617,23.350931927715553,22.80810423319673,23.80069239125828,23.458647661613153,22.845957498035204,23.7798056426019
29,2010,23.19516,23.352904667194057,22.762744572809027,23.660675090194218,23.574456725754864,22.80141831851614,24.18607383140528
30,2011,,23.435548626065017,22.876098255584168,23.86848791323149,23.575750452252233,22.920990195447985,24.20816848398306
31,2012,,23.41913299694386,22.943389685822808,23.816219611739143,23.46084571045294,22.696925459044337,24.08860222186729
32,2013,,23.51457046528005,23.04710463910743,24.034134587864685,23.532030681269156,23.147661424975297,24.01934427846561
33,2014,,23.58739987465148,23.000745365021317,24.356402204949404,23.65549952635116,22.883283704961684,24.397273973403514
34,2015,,23.609382995428163,23.049231769986534,24.610735188127933,23.76156260730646,22.916893597974763,24.250925959269978
35,2016,,23.64470390861927,23.202548581458984,24.17004079944843,23.522345876201484,22.715689462011824,24.291518246127282
36,2017,,23.582227014582617,23.061488315598183,24.072295919360442,23.520666547478164,23.0366997105304,24.23586765162935
37,2018,,23.48106148585714,23.015594137651703,23.95886679649658,23.78974291548577,23.31383639503065,24.35214647765639
38,2019,,23.491665259370915,23.180025115142826,23.7444320627759,23.741284242385493,23.05244756066321,24.15253503115929
39,2020,,23.75624460900181,23.284721903669208,24.359336726217748,23.7144068388836,23.134839192752395,24.129094096016274
40,2021,,23.651513814627734,22.996454419994052,24.507324807790724,23.960883730354308,23.263556803477968,24.61207771897341
41,2022,,23.59968237038592,23.134534465244087,24.220943315897898,23.893576324437298,23.188118515137603,24.579434936089456
42,2023,,23.735302021806906,23.155330667921362,24.492846323338085,23.844309691599577,23.17488092939857,24.32195457763214
43,2024,,23.74980770652355,23.289297525329857,24.211155666090804,23.92982828118792,23.302798067817946,24.629904003568072
44,2025,,23.87780124943727,23.2891553242618,24.944238676675297,23.937457613911274,23.506188659523787,24.5626784932046
45,2026,,23.81843694775837,23.47022617652101,24.255423139221364,24.174902752209324,23.065437401720033,24.836326321448155
46,2027,,23.709498076820132,23.043042999289696,24.558003305295074,23.986940257764704,23.216449233138462,24.564474466296303
47,2028,,23.716434915523617,23.09392522225602,24.118197180640607,23.971498068060146,23.530943309307133,24.50415552001016
48,2029,,23.891076837258574,23.413194038408392,24.721202423939303,24.02853332341165,23.531581088354073,24.938616505409357
49,2030,,23.734959070749856,23.26350239020786,24.428035731702494,23.989824634470605,23.255054045842883,24.462775800054544
50,2031,,23.94309131035089,23.267835254709155,24.491909895985714,23.982243376531457,23.045631207176825,24.763410981062066
51,2032,,23.91288266766782,23.478152781217204,24.476688200433443,24.13508854176612,23.551444571875948,25.145647064678883
52,2033,,24.154523581362408,23.304659384655565,24.932426571593567,24.222852407772734,23.204967662511706,24.776649193622404
53,2034,,23.817416708261316,23.246978270073953,24.901112545456556,24.284094822843954,23.620911089503068,24.730439494559448
54,2035,,23.8728042594025,23.39928781055744,24.409377246563054,24.200091060759313,23.71751076925642,24.64003856369675
55,2036,,23.9961196904974,23.407270190389454,24.632049206926354,24.290493686558918,23.408015587141733,25.096723047944067
56,2037,,24.213805378536026,23.737987391282672,24.733436887982634,24.28013658098615,23.432222269285205,24.772564488518242
57,2038,,24.23604551609359,23.77067826493652,24.82630410948684,24.480127055957123,23.441035693683943,25.18955883361417
58,2039,,24.153227949997618,23.754278794080392,24.534304497454798,24.637913335363713,24.03177568981164,25.241258968548948
59,2040,,24.191510795857432,23.761149018060678,24.602794523504485,24.425155805711288,23.520849330470128,25.03884447236686
60,2041,,24.070779088354147,23.211493628281005,24.907335827648012,24.58320851344918,24.073178904444603,25.196731289981926
61,2042,,24.23247746226422,23.493238087120062,24.892240720822542,24.720837917841383,24.065190049331022,25.660092773848476
62,2043,,24.364119696368704,23.749614161754153,25.00204738498121,24.829678502100805,24.254040428414612,25.581295099186946
63,2044,,24.27798585202356,23.30056826849045,24.74464850479569,24.724730012680762,23.541388209936883,25.544736043982425
64,2045,,24.10310530494203,23.434230925106647,24.920512097279243,24.670701477266917,24.007074460157924,25.31840348780986
65,2046,,24.237697838349266,23.716763262164363,24.58445468588951,24.692558397150137,23.944883685361845,25.626655567413934
66,2047,,24.251598586002245,23.920107507070554,24.853512283058194,24.90626627643365,24.113077476249202,26.02789733472514
67,2048,,24.154148686361516,23.739543219357017,24.9048627263885,25.094240386537283,24.25046067691153,25.820193286858
68,2049,,24.466164064570233,23.985463542438822,25.29023580116376,24.89753781281497,24.209317712990014,25.574093835078713
69,2050,,24.311994745598646,23.871075649023055,25.1394885285402,24.9720347151684,23.96488838515245,25.833502559671672
70,2051,,24.536995749838113,23.611189645997968,25.066405918286875,24.959872000750405,23.834140333193773,25.902090957740427
71,2052,,24.429501557645164,23.63592125999918,25.34048980938411,25.007894606603042,24.268701038638937,25.66920469597892
72,2053,,24.380609500446138,23.745308045638694,25.160496041063027,25.199251041729738,24.285077589613024,25.82735287677764
73,2054,,24.399889852965586,23.75700793268004,25.558357309073358,25.301284614555758,24.276149801868655,26.084110037154574
74,2055,,24.534438130315202,24.10518626136394,25.816530941828148,25.29799986958732,24.451662972449185,26.021419452470354
75,2056,,24.417030824215015,23.797284464001905,25.283960341596696,25.336923952589245,24.19319088644096,26.330065644328727
76,2057,,24.574514444732966,23.80461738028913,25.54337689448778,25.380655150820004,24.837559169747124,26.003352653715694
77,2058,,24.733222753970864,24.0045279243609,25.5707255650658,25.48114153800042,24.683999970555476,26.41822286713557
78,2059,,24.57367016952633,24.00557786323617,25.460372382691276,25.668069823174765,24.58188335258427,26.886765487861908
79,2060,,24.58340580679855,23.88313884794735,25.88054735155106,25.503204997784238,24.468548907786385,26.626516748742517
80,2061,,24.559551749442335,23.916566713675365,25.370579877367675,25.57137219861585,24.662695387344854,26.468027770304445
81,2062,,24.56539401037325,23.84354381986327,25.43729098547476,25.584288316360947,24.51237607770787,26.530379849673636
82,2063,,24.630612151260028,24.182001803640787,25.341869081351092,25.695452493825005,24.618584239706877,26.495378064726708
83,2064,,24.637447946809647,24.062774738234907,25.376709478428324,25.788610522429114,24.955543715818408,26.718324998129617
84,2065,,24.66669636824398,23.825171683268536,25.327561872866738,25.85926457712261,25.089119320206578,26.896291527587437
85,2066,,24.699970103968028,23.9304813645158,25.51830096324386,25.91585543889727,24.918933570105025,26.952565383862122
86,2067,,24.526711127858658,23.937559290289073,25.28506963877294,25.85412134061784,25.227462220790414,27.027883673367853
87,2068,,24.591281389230247,24.03906098374955,25.604114633737254,25.928121487734288,24.92315831770128,26.995256992742327
88,2069,,24.739926028475875,24.111335584746655,25.554664016079926,26.069290391386108,25.29998909530417,27.295951442939838
89,2070,,24.82250434494265,24.153312007055547,25.605150200984895,25.95505352285544,24.823469533475077,27.260888446266847
90,2071,,24.65003225396718,23.718916007160885,25.65173144786968,26.012143508563256,25.223510496293727,27.10937737613881
91,2072,,24.68629426590737,23.835586530261764,26.179252593765682,26.288751324293642,25.409838925868712,27.23756497809336
92,2073,,24.80011032912728,24.22343031137939,25.765280445491726,26.412431482277338,25.03538299783372,27.693378289348345
93,2074,,24.8358284455979,24.287543095633225,25.404547572009733,26.07138744979691,25.206684937402542,27.358115754196547
94,2075,,24.690833305673458,24.12377576931891,25.50590881479053,26.31077496992309,25.49324821882442,27.785634493196596
95,2076,,24.73399229218851,24.172247195879663,25.872950587968944,26.519525597029542,25.240164008443003,27.74197545053346
96,2077,,24.711398724720993,23.790980052124496,25.580845461256104,26.409256296583386,25.194385073028684,27.409017606859834
97,2078,,24.91938139682445,24.326684610377583,25.927947765585486,26.58922442628346,25.354040907106196,27.675397214143914
98,2079,,24.968378965794823,24.498952400672806,25.853424787384142,26.561216455679542,25.050580662046343,28.038996972215614
99,2080,,25.14850814815146,24.29654200826093,26.093932572286747,26.472447306222588,25.416110933379457,27.79588268360817
100,2081,,25.148241242068543,24.167916894641053,26.19355347088714,26.650944562749416,24.903485124268173,27.83224310680231
101,2082,,24.722537358805507,24.262850716431103,25.647632281389747,26.691579505220663,24.201472013604985,27.7047500398113
102,2083,,24.799468793338253,24.24553610363489,25.750478324964433,26.7347590336086,24.95811858382359,27.91497691207786
103,2084,,24.92297013683668,24.008400923284057,26.050806497229985,26.816058953156997,25.626276764746763,28.657114862514618
104,2085,,24.955582192190626,24.48571159325286,25.673603116788456,26.72310084842983,25.287098146788935,28.182846408332125
105,2086,,24.891422605500182,23.942848971963315,25.5417459594899,26.87575175830674,25.729605220485723,28.061317054523442
106,2087,,24.80652919464107,23.929586446325686,25.905913357782936,27.046541377993922,26.012682510346792,28.345248465392388
107,2088,,24.858217351011902,23.89866580822013,26.127282266408997,27.299151431973083,25.916370262582177,28.59803418065985
108,2089,,24.971656598790247,24.163320521305423,25.972940786411584,27.045383795128103,25.487712139129144,28.254759077763595
109,2090,,24.98967657038989,23.641341477355297,25.879530589897115,27.134237628467837,25.8190736377573,28.080698622639034
