,year,ref,rcp45_min,rcp45_moy,rcp45_max,rcp85_min,rcp85_moy,rcp85_max
24,2005,627.8702081881283,644.3208425084794,507.96925034897856,749.5521804001073,639.8618618779562,493.59503896374,748.1184520315644
25,2006,600.6068807251606,640.8291755821501,518.5577044728652,768.5480064299999,658.1939973967385,507.2561650653078,767.1728834422303
26,2007,585.0363448486784,631.0486985504529,439.6774199191379,769.0134158055196,651.3988545110088,433.9631173137174,760.7878468213913
27,2008,692.4086542159213,629.831322930407,386.0819815418734,804.9902566694692,625.714953825927,456.5289120894762,724.0163823631253
28,2009,682.8024842033051,615.5246037942333,342.2044591733987,704.7078312450222,652.92448530147,512.5692294725527,761.010181905483
29,2010,707.695842618209,615.1464094474716,305.4797516181488,733.8541411098631,620.1462558306237,251.97437089053386,734.8075494719708
30,2011,,603.1846287063726,408.73362300770924,759.6108309222782,634.9620341657089,466.73787666021724,737.7884401291205
31,2012,,619.8041210410219,446.7363831176281,784.1869428261198,635.4867295074783,462.9884169737092,754.8077371173162
32,2013,,644.1000881136675,464.01940106309485,755.1683887860501,599.643813720139,324.71907104251756,804.4063124185169
33,2014,,596.6060798358909,204.3143665901251,793.968206024555,627.8534038744373,484.7615058059551,820.4197283489966
34,2015,,629.8250536966203,366.1386834809024,753.1665423405918,641.3268257067277,415.64011561971535,747.3643344924257
35,2016,,621.4323428376183,473.8781325614466,722.0341503411173,606.1628094481763,318.39557236416067,727.089301010622
36,2017,,665.6401207824754,419.28556798322535,816.7523010611965,623.7135154814702,385.24839637814614,774.9668749419941
37,2018,,649.0096004767746,463.6385336558225,751.594426350415,619.5395702889849,416.56694482939207,782.6251895216759
38,2019,,636.8621581182947,391.478892422152,728.8060746235595,625.5012198279771,448.75759045017213,802.2408307250008
39,2020,,648.6106258608803,410.87157237777325,749.1552861949873,617.4488723078479,354.1502304815245,762.4701786562173
40,2021,,626.4529681381377,522.4197136995795,752.1399557134362,630.9453326020832,429.7335622456562,746.3275517502263
41,2022,,646.4989276331135,449.82085522271836,784.3247426405726,627.3493418768628,393.9747277223529,740.9491657243575
42,2023,,625.0249133096341,410.44938729234036,718.5070754716231,613.1693793277956,253.14691546835752,740.1017518843487
43,2024,,609.9518228927418,318.37821485421347,717.6207355627192,631.6725125579783,451.12885063038254,752.4461382036179
44,2025,,604.3182207411409,502.78108343282156,752.9980239060859,626.4405586143253,467.0645710346783,702.4789956851351
45,2026,,608.0667170574495,435.7029121828687,686.4888502780487,632.2502119016812,374.9820098892037,815.1662493042769
46,2027,,616.0062286509444,406.8884759703183,770.0887357809404,646.0356326568827,483.5349526799061,779.1827005631228
47,2028,,650.665975785404,483.2207395949114,795.5332525233403,652.6304359081686,448.25626711691723,813.0077667968789
48,2029,,645.974160592721,474.67270336175307,753.7453197807762,620.2640496205181,452.08580086728153,741.3670725908679
49,2030,,658.1055505294893,547.111313056283,747.9217027439502,650.3597690069423,520.853155131359,813.8503785440037
50,2031,,658.326010229575,528.9100082194915,769.3369766776575,632.9151595811226,355.6381549688307,749.0673601667535
51,2032,,656.926999473737,482.61632619127454,786.6721385662781,631.2989400058276,385.4687996665561,799.612450974552
52,2033,,641.9458485458448,451.78266946356007,739.4770911039476,622.7953107199414,375.65397746900305,859.5785258381982
53,2034,,629.5045279407323,529.9496653814527,744.2598500635883,616.5947815615976,403.0189982436471,745.0276946183933
54,2035,,643.6251820777201,513.9326151859781,775.5464704658455,662.3418480438552,543.8981431427927,741.2470268390294
55,2036,,650.4111770404884,488.38049702322604,770.9324407137018,661.6838244954348,514.8025956380469,774.891796409926
56,2037,,623.766984571222,456.2990421291532,772.0792461545159,646.4066586654285,497.4219733712055,765.1848268940748
57,2038,,641.241257555061,538.6128216764936,795.7043288200149,633.3595744719178,390.8830139894017,770.6786003363794
58,2039,,662.0779198223098,563.1994848581755,821.6588135950269,587.7838459909481,314.75190084902886,700.5727085000866
59,2040,,656.9938889539466,500.36695575072287,799.3179062622403,651.2985682756779,427.68890364032836,772.051710986656
60,2041,,647.2432117983714,520.7187200999135,826.0973326026382,630.9214853844763,432.4729115557326,807.2435538489486
61,2042,,655.5656044365516,472.7238344195507,762.4818593600377,635.4055705926049,386.2460346701579,733.7068084549204
62,2043,,626.4444003478627,528.5554142963397,711.2988751407065,625.9158437595062,372.77894022538226,729.9176695963972
63,2044,,631.284294925157,408.64597775871005,783.0085272266514,625.1342115603018,451.8148444237078,730.0012969481813
64,2045,,658.7599401618533,564.2275393467369,811.8897198249824,634.0314091985346,451.6411376586736,729.4952920920435
65,2046,,647.1976494652799,405.5401382847633,793.993520572742,656.9566936153925,473.1548145861958,783.8417850767127
66,2047,,642.556783633947,452.1703659379322,772.7812622917444,642.3422584821811,483.7288127201817,762.6662261409872
67,2048,,618.4186922913095,349.3154981858975,782.8919395882116,610.5599101104025,400.2666782886861,744.4523098591881
68,2049,,637.6469264725635,423.6736368923745,726.704694442335,625.7879082921113,368.3442141089946,791.6045132906868
69,2050,,604.1170584939648,367.3515626513992,787.5365110121411,657.2607435403796,416.8528111647349,767.4452296085437
70,2051,,621.4896889313044,408.84941975683705,781.6830722679537,637.7171289411574,344.4400509108528,768.9128415485881
71,2052,,604.281793475451,307.19613767331623,761.5399333541126,630.4290017144306,375.6075811377444,792.7674259866446
72,2053,,620.1228493731066,350.88609136740723,769.2754129131014,585.6244492610922,336.9402497760373,756.7077782228719
73,2054,,652.2668601930503,412.62570548890267,767.7646532047034,629.4984808695125,417.49243933815694,782.2798741281041
74,2055,,644.0975767969877,377.734795580289,827.7911817341509,615.179976562257,427.57781493804407,747.8032124880326
75,2056,,654.6831892182075,457.2224393355879,794.8284288763933,620.222465208204,414.84864117496767,739.2888377102252
76,2057,,638.9782798052812,478.4314252211463,761.7471763098083,622.772808253542,345.57481585982606,784.7380205270202
77,2058,,637.2302529898225,540.5979149565617,751.6989840971993,611.1671221446676,255.74895304930783,775.7867967505829
78,2059,,614.4546737645347,419.48952415346525,743.6620238882278,621.3385870941539,368.1455019289013,742.1573013764556
79,2060,,643.2019900524931,409.270760955896,802.3759367903702,626.4937218514815,339.43401653918573,795.3929658488248
80,2061,,620.7570749217593,255.74050438310314,765.5234622796789,639.8582074770393,448.64417305462916,805.0402606899797
81,2062,,603.7162921917516,491.97675562129757,705.3805574913027,615.3423386361966,353.83614603775504,738.7834325776962
82,2063,,603.9712059976791,369.44106794102476,691.3680350657081,581.533432943944,283.77527961868293,764.4433412638106
83,2064,,609.6048148273352,396.85246440393394,716.7552072649936,618.2091032617747,396.25636188834847,764.4709001842185
84,2065,,648.9002412105447,498.44031730642143,749.6141575069964,626.2751381461803,238.8439844522112,768.9860967122946
85,2066,,613.9695144837704,258.8943994521794,773.3807893513159,603.6597206993903,266.7614154003724,818.9967625715461
86,2067,,613.6282974228667,312.50169722931065,730.5920676328495,605.4394986258869,228.48502885858733,802.6555743424037
87,2068,,602.8961209087785,268.37113785852716,741.8422780727955,620.9796138415236,419.96911460024506,774.8615122993823
88,2069,,592.2301738601782,360.78298244004577,761.9383957878056,598.3081280463576,333.8862413837875,769.3593224408914
89,2070,,615.8225334759878,418.76212763741296,782.2080667535525,644.1483521062022,282.0219622276298,805.8838513324692
90,2071,,621.4441766635406,223.2990468158691,752.8249623609255,627.4372727686626,368.19093359164333,776.9248546852361
91,2072,,622.0338181688757,412.37449515878404,752.9563693791471,607.3922272933264,248.11074829470252,749.4108741896475
92,2073,,640.9058106271292,396.58146192550106,832.9106607728023,599.3157456860588,253.2721983436979,773.6786564579002
93,2074,,637.5363210084134,331.5874085976051,802.3311153149294,602.0928637208768,261.7223956522571,793.3395873583132
94,2075,,637.3055820594773,448.8720022564845,768.4913140515957,594.9010931988445,323.13183168430726,711.5032254663106
95,2076,,645.1507425812237,366.5508540079923,795.0962049741257,577.3325733102035,304.12473569392364,730.5867596891628
96,2077,,613.6282694435859,391.4436566795363,776.6104117649637,596.7251738544973,369.76367168636733,761.5621028075716
97,2078,,611.8448870723846,316.14089734714975,773.7390746428155,616.2716354186604,346.7794788545448,796.13104841956
98,2079,,622.0839677667606,421.40167535388497,729.356438419423,622.5023797086218,365.7896011142258,777.2102196926917
99,2080,,603.1571066001115,364.28817423061895,754.5624520737009,600.3007660717162,193.51742752116016,747.7793553967424
100,2081,,604.7113821744058,322.3022494060169,771.6248422361541,608.971904362559,215.6358251468471,739.2805977881401
101,2082,,644.2893418577561,408.58964515709437,743.8959867733294,629.5378171622465,375.5458447425217,912.7478886366592
102,2083,,641.0480764688215,422.61477826893554,769.5818249681969,620.5364651553874,252.77878221464437,853.104964824351
103,2084,,640.8526223749333,451.32168786860495,745.3706731443441,594.92518390648,318.8839824085211,769.5278524258954
104,2085,,614.9737456300243,411.51213679515746,750.2108688373856,586.4087543476048,219.424489464188,759.1420447035825
105,2086,,657.3882260988045,485.11812114611604,823.5511088693803,570.1635844563955,140.48925688896213,783.0072265593965
106,2087,,645.8255625650452,367.8729941253832,787.5228827362938,575.7576496609429,286.2801939696193,790.5742406401724
107,2088,,636.9408729743972,375.7024602246922,725.7286452529013,561.0365024492635,228.1849135877429,741.4289037499645
108,2089,,647.2371141108935,500.8426615657597,784.2044875830536,551.9643612415962,153.7751123467363,802.7956870388374
109,2090,,635.540117559082,467.1856036820247,820.142751694405,594.4196655922534,183.6343399441063,784.0040024150936
