,year,ref,rcp45_min,rcp45_moy,rcp45_max,rcp85_min,rcp85_moy,rcp85_max
0,1981,737.8448484794028,631.3185558851164,502.02701102918564,732.3135959682634,633.6096059373187,485.84140529814044,728.4748738260945
1,1982,692.4056025152718,635.7779085884858,473.09769760055843,761.8657552274823,634.4789177410713,461.08374835731587,753.5340839231455
2,1983,658.3323274060704,639.9431432192644,413.06561504667604,710.6347727917722,631.2020763039421,401.7356978113377,708.3452294800571
3,1984,699.3749848048561,619.9879432361482,381.4626141950258,723.0637733677046,615.12649718541,370.75550573465387,724.5334048690214
4,1985,675.5058430099473,620.6895685377735,454.5764998706991,739.3268669474653,621.8556107438443,441.85614316270954,733.2417345131765
5,1986,715.6501287466867,633.2289525673683,422.3203036114575,735.4219941322533,637.8227968935211,411.26226946121534,751.3470119526895
6,1987,749.2542402220951,659.8848175629591,532.511456482067,794.3530445383027,666.26297049161,505.63308618336214,792.9951837725757
7,1988,716.0188624380448,644.4849516908065,543.7623837149878,776.206299014811,654.3906578994345,535.139666147769,823.6470405032833
8,1989,788.4170993441495,641.8198851807033,435.22479943113933,772.9469914003661,648.3864010814005,415.5806351444903,751.6239434326601
9,1990,728.1585808853756,632.4384291570505,498.8016076341837,806.7205786244132,631.7574214671135,483.73324491021344,790.0658805444638
10,1991,707.8243162974319,668.3925840272353,567.9127133621892,765.0743361304907,661.4906352563917,559.0839190352531,764.5210871407727
11,1992,693.4322025609811,660.0903273243443,546.2050205854307,765.5885125884693,667.0017052855324,528.0896877348994,862.8600119282779
12,1993,701.339800723705,637.7631249966526,555.0699300267796,736.8823655936618,643.807824693899,540.0244399839243,783.4923652303871
13,1994,751.1310177744384,627.5647836075536,454.4588063513968,746.0145524039177,632.19498148201,443.6465739996015,762.8459091526885
14,1995,757.566710677731,641.5433967631825,532.9361825077082,711.148515392705,646.8392079380337,518.3700039559931,720.1324677996923
15,1996,727.8297910526786,627.8375196024143,338.56321233060527,757.4050170163165,626.0961351411884,331.50417524477956,748.9610927104156
16,1997,724.4867555309835,665.4306077341174,516.0480302028486,722.6704165057128,658.9312504535536,501.1439970660655,715.4256258315667
17,1998,619.9301908792686,610.9865155784812,406.95559563134185,722.8238328701298,614.9363047238335,401.9629070162566,702.6574555621755
18,1999,713.2776671229037,653.4874039714261,518.6329376845034,852.9989172977225,658.3848956172435,503.5988339208188,830.8158931099093
19,2000,730.9029944336169,637.1470167280207,489.1761370736306,709.7202464003622,637.2175816115638,474.6014566177541,713.3342520597319
20,2001,674.43816439249,641.5268743034559,453.31101395812726,757.596895326387,640.603675357449,443.9284716923457,760.8709573911373
21,2002,593.2189738116333,650.087391589084,571.3565794034778,772.1256805454441,648.1006347824888,563.0888921357698,776.2341910167722
22,2003,663.6296793487726,623.918364922376,375.4234426847629,724.1928438288218,622.5626156075195,366.62081933861765,724.1225702860382
23,2004,643.6513726924858,644.3520554970953,450.698340513194,770.6810729316876,633.4912443680251,437.40521733779417,771.8352097457232
