year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,0.0,-2.144693139670835,-1.7178182772534,-0.27641332367863924,0.7753217234174485,-0.24758462588670227,-1.4294240537988685,-0.9626557954944701,-0.4018435695077187,-2.2816364368813424,-3.0888077283381676,-1.1785041271180603,-2.5385437223378062,-0.8372063938343217,-2.777174364851021,-2.344763351628842,-0.7792638177310209,-0.9783389998654002,-1.8698151689927158,-1.9947420826662778,-2.109950759834021,-2.9015590696345157,-0.8782433079792895,0.7549180922370624,-0.34499419367887185,-2.1925537398364554,0.6576880370216145,-0.43360593112475954,-0.6215968825646883,-0.5574429358122757,-1.521560291720391,-1.2288003970776344,-1.0099287794004113,-2.316528067113609,-1.7694793727131923,-3.1523053307891473,-0.26006951499840625,-2.58221601411708,-1.0292077148263274,-2.834140604085178,-1.9963925459019265,-1.9093338004927887,-0.8104492135095143,-2.394591954927023
1982,0.0,-2.1445967369351138,-1.8006184388161728,-0.3263758510580601,0.7063507860962659,-0.3761472480691168,-1.4817091288027768,-1.0229651919509593,-0.5606626845645337,-2.211766744211218,-3.1469652902208622,-1.3271430447209696,-2.6015353991984966,-0.9495051940976396,-2.7191339147425992,-2.3178423720367505,-0.8183175170799473,-0.9942413382746054,-1.9001145075341697,-1.9904913053737232,-2.1365034366671694,-2.9860888950050253,-0.9943015821705785,0.6945706370983658,-0.39502339102813266,-2.187113780480445,0.600851017340176,-0.5729631648878808,-0.5961192561235862,-0.6693549175531643,-1.5584868145370478,-1.358302638472992,-1.0754015685315608,-2.2365470480391423,-1.8574565873180973,-3.1881420023202622,-0.38909889127779707,-2.646880356188433,-1.036424443734461,-2.7849199343089595,-1.979592174294396,-1.932409044379824,-0.8434839237671099,-2.364779597604695
1983,0.0,-2.267053084348902,-1.691030009439487,-0.35826130776138143,0.6076647850268273,-0.40738213003919554,-1.5431799949035394,-1.044881155221617,-0.5700118232618365,-2.108171603559242,-3.114195559046152,-1.2387562459903165,-2.5186746865077794,-0.8379207679560636,-2.8212083614836843,-2.356660000885938,-0.7416629314124634,-0.9822183389313182,-1.925435996759063,-1.8864813775935545,-2.0754124369258307,-2.9398447454602774,-0.8981891567110551,0.6016389078156408,-0.4192706959183852,-2.3082711275170027,0.6971051568123698,-0.5812557579262148,-0.6373478511171697,-0.5969487231982384,-1.6299481209765077,-1.2560269749738495,-1.0947672932595083,-2.1355226396816533,-1.7444873439819162,-3.1796745806132662,-0.4117006364401732,-2.56502929843964,-1.0486413354316824,-2.8951180852483844,-1.8809038409991672,-1.9511652351550879,-0.7625359582348779,-2.39239311644684
1984,0.0,-2.2070647966079946,-1.759129196365393,-0.32219825456900253,0.5179997011136379,-0.2525778650093571,-1.4671209453851475,-1.1254622308418334,-0.39703652788261934,-2.300404393616759,-3.0508625835675502,-1.3374196230316215,-2.5897447014384625,-0.8234744572993691,-2.717749283240437,-2.2159087750349045,-0.7734661481508169,-1.0322277792676005,-1.7976780237452772,-1.956238803685551,-2.1822498129516816,-2.782357903426089,-0.8697830942028872,0.4860093115834161,-0.3804144101700899,-2.236370123984102,0.5704120531217995,-0.42880123656379965,-0.6701356145405839,-0.5715388135985222,-1.5783003319407953,-1.3447601056033136,-1.1873471969252023,-2.320578553341079,-1.8104224449576805,-3.1025021959083574,-0.2712927063910229,-2.647577464956896,-1.1015122630385576,-2.8199548019972553,-1.9423063625532677,-1.8492261554396237,-0.8162493033933629,-2.2577017925571568
1985,0.0,-2.2757075009404275,-1.635394643551706,-0.07625201347582333,0.5852983448095301,-0.3149497571699271,-1.5381256887930022,-1.071226857756244,-0.4622813162133639,-2.201516672480466,-3.272983772351324,-1.2341182404752544,-2.409284198461421,-0.8283319349912972,-2.7721714341362826,-2.392656623179448,-0.8466707268552227,-0.9580000609197441,-1.7945813604017076,-1.9891004508513106,-2.083862715848568,-2.8187585926837073,-0.8723361628118482,0.5789371894549049,-0.163411131194664,-2.3091377825826953,0.6671936124536728,-0.47627455544551367,-0.5316069891268853,-0.4335580238761736,-1.623408326930985,-1.2423199120494814,-1.1230160105904474,-2.2285516753671573,-1.6986131629793704,-3.31835863079084,-0.32150471860722973,-2.472912725800029,-1.0102151416737115,-2.837071301241906,-1.987505298120766,-1.8695408167301935,-0.8662457976449787,-2.455293182810351
1986,0.0,-2.159364919962286,-1.6819689112952574,-0.2250030318650147,0.5745917693367346,-0.3078027216209307,-1.5460658422617826,-1.0522260162729822,-0.4976949658719718,-2.1164259755315697,-3.0292182039613635,-1.230086913028515,-2.5263053063382586,-0.8993969868023441,-2.910444394037029,-2.3848321816550424,-0.7624286945597873,-0.9555988354034071,-1.8501469376668638,-1.933126345296614,-2.129353108444832,-2.8735792838971292,-0.940760064647236,0.5553365290394936,-0.3086190016477417,-2.1936159929693417,0.7063068492962543,-0.5200974690141607,-0.6552410345826161,-0.5235619825093636,-1.6408682028185808,-1.2409842459313722,-1.1016371114013737,-2.147873493528948,-1.7505735482881164,-3.079003773238867,-0.3184156858091569,-2.5687726354297524,-1.0314145011786877,-2.981271384939248,-1.9202687274801633,-1.8775850796001237,-0.7865748675277473,-2.454243832161808
1987,0.0,-2.1164979151482157,-1.5914326684206799,-0.1180057682126403,0.5906554513663309,-0.2843907142820399,-1.5134588748696274,-1.0547127364486641,-0.4418016192266805,-2.3127411007293404,-3.075635433803484,-1.3065917335384256,-2.369386534723219,-0.8130017951140189,-2.817502337324811,-2.25257206996406,-0.7875817920815962,-0.9665525607982772,-1.7731632685911904,-1.9715759294380746,-2.1683083472461817,-2.8351777093584474,-0.8657530936061448,0.5806642617778266,-0.18934526133784857,-2.157748879631413,0.6642832409474408,-0.4714127811714661,-0.3276414199784199,-0.44041271021200146,-1.6160803714493,-1.2986037109777726,-1.1028934376221287,-2.339911116133351,-1.6566573137433238,-3.1182076437055457,-0.28382789119177687,-2.4245734351623582,-1.036271382645225,-2.8836831617088023,-1.962988662803582,-1.822509271606748,-0.81340255978796,-2.2852051789515144
1988,0.0,-2.1307370370852823,-1.570863510394929,-0.1419734995320141,0.671708705993808,-0.2584613042874935,-1.4887516897276782,-1.170427143593031,-0.36795381431352325,-2.1479221164012756,-3.1489164593956502,-1.2977703177882063,-2.3678109675237238,-0.9019028825168789,-2.766185721585316,-2.093767659049547,-0.8639563259477541,-0.9560719716591848,-1.8017128486424667,-1.9100894817374297,-2.139745693934856,-2.833097662893806,-0.9680964569748198,0.653307713309232,-0.22400947785592962,-2.1747638542071286,0.6404911313486537,-0.4054222260577376,-0.5339792990806131,-0.43069837345166206,-1.6100372526327646,-1.298032812746385,-1.2131869238505715,-2.188493961600045,-1.632497644986472,-3.2104216184350776,-0.2606149518592247,-2.439872274837512,-1.0223481938921282,-2.831372411309019,-1.9227276704850738,-1.8508880104453738,-0.8925688896225097,-2.132257416296511
1989,0.0,-2.1416452221005216,-1.6912425925588082,-0.2612955973696103,0.614416893268583,-0.2673107873212075,-1.5066321691588769,-1.1001531127529347,-0.3877580258322837,-2.141670203884871,-3.153393923597946,-1.2027402785284949,-2.497752439126316,-0.8950123974897224,-2.791224959063129,-2.270760282170272,-0.8272324463370637,-0.9442944437583947,-1.8830509393683315,-1.944963880123396,-2.105480456458224,-2.8236101215417193,-0.9237452847593204,0.6050211029991601,-0.3203788169255972,-2.1819903726209304,0.6934763308472611,-0.4468375879570772,-0.4671694469190584,-0.5186738580306951,-1.6031319815672305,-1.223768573372638,-1.141239560064264,-2.1643117480730893,-1.7451182701245784,-3.2076954091189123,-0.2668575056483746,-2.546814928352717,-1.0155898953954647,-2.858789246878814,-1.9338959175368586,-1.9171560256517637,-0.849651692243981,-2.3143836470083556
1990,0.0,-2.040136819208442,-1.755119669314638,-0.37078515784719457,0.6892085182764731,-0.14737262990888667,-1.3764185240262918,-0.9583595744789477,-0.34188166305762024,-2.162250941422201,-3.1306016565717414,-1.1933629492703517,-2.615940866020935,-0.8510584491910436,-2.700059604252033,-2.2854707014330415,-0.8770446583407647,-0.9494241683900668,-1.850459868510029,-1.9610384615841667,-2.0955619896253097,-2.828165539691213,-0.8997515430412477,0.6784458957409925,-0.4329922921968432,-2.0853000203485976,0.6010454130802714,-0.3955096907048983,-0.4461695546665396,-0.5636274534583663,-1.4935195445599447,-1.23163212594892,-1.0034354246614612,-2.18840342304685,-1.8005085261989393,-3.1857247257295853,-0.15967652232217233,-2.6571064811868155,-1.0078417364827033,-2.7758348756339046,-1.95834545058284,-1.894966038397456,-0.9127264940161126,-2.3413126086587113
