stn,var,rcp,hor,stat,centile,val
era5_land,sfcWindmax,ref,1991-2020,none,-1,12.812021
era5_land,sfcWindmax,rcp26,1991-2020,mean,-1,12.744961
era5_land,sfcWindmax,rcp26,2021-2050,mean,-1,12.715274
era5_land,sfcWindmax,rcp26,2051-2080,mean,-1,12.695686
era5_land,sfcWindmax,rcp26,1991-2020,min,-1,12.664424
era5_land,sfcWindmax,rcp26,2021-2050,min,-1,12.475713
era5_land,sfcWindmax,rcp26,2051-2080,min,-1,12.45542
era5_land,sfcWindmax,rcp26,1991-2020,max,-1,12.807089
era5_land,sfcWindmax,rcp26,2021-2050,max,-1,12.891928
era5_land,sfcWindmax,rcp26,2051-2080,max,-1,13.009218
era5_land,sfcWindmax,rcp26,1991-2020,centile,1,12.665813
era5_land,sfcWindmax,rcp26,2021-2050,centile,1,12.480502
era5_land,sfcWindmax,rcp26,2051-2080,centile,1,12.459914
era5_land,sfcWindmax,rcp26,1991-2020,centile,10,12.683293
era5_land,sfcWindmax,rcp26,2021-2050,centile,10,12.527133
era5_land,sfcWindmax,rcp26,2051-2080,centile,10,12.501471
era5_land,sfcWindmax,rcp26,1991-2020,centile,50,12.74971
era5_land,sfcWindmax,rcp26,2021-2050,centile,50,12.72021
era5_land,sfcWindmax,rcp26,2051-2080,centile,50,12.734304
era5_land,sfcWindmax,rcp26,1991-2020,centile,90,12.782115
era5_land,sfcWindmax,rcp26,2021-2050,centile,90,12.870368
era5_land,sfcWindmax,rcp26,2051-2080,centile,90,12.90923
era5_land,sfcWindmax,rcp26,1991-2020,centile,99,12.804172
era5_land,sfcWindmax,rcp26,2021-2050,centile,99,12.889695
era5_land,sfcWindmax,rcp26,2051-2080,centile,99,13.001177
era5_land,sfcWindmax,rcp45,1991-2020,mean,-1,12.769332
era5_land,sfcWindmax,rcp45,2021-2050,mean,-1,12.803694
era5_land,sfcWindmax,rcp45,2051-2080,mean,-1,12.904104
era5_land,sfcWindmax,rcp45,1991-2020,min,-1,12.634351
era5_land,sfcWindmax,rcp45,2021-2050,min,-1,12.508952
era5_land,sfcWindmax,rcp45,2051-2080,min,-1,12.461244
era5_land,sfcWindmax,rcp45,1991-2020,max,-1,12.881941
era5_land,sfcWindmax,rcp45,2021-2050,max,-1,13.159945
era5_land,sfcWindmax,rcp45,2051-2080,max,-1,13.306371
era5_land,sfcWindmax,rcp45,1991-2020,centile,1,12.639712
era5_land,sfcWindmax,rcp45,2021-2050,centile,1,12.515437
era5_land,sfcWindmax,rcp45,2051-2080,centile,1,12.480594
era5_land,sfcWindmax,rcp45,1991-2020,centile,10,12.669218
era5_land,sfcWindmax,rcp45,2021-2050,centile,10,12.547733
era5_land,sfcWindmax,rcp45,2051-2080,centile,10,12.72702
era5_land,sfcWindmax,rcp45,1991-2020,centile,50,12.781801
era5_land,sfcWindmax,rcp45,2021-2050,centile,50,12.831889
era5_land,sfcWindmax,rcp45,2051-2080,centile,50,12.87987
era5_land,sfcWindmax,rcp45,1991-2020,centile,90,12.812336
era5_land,sfcWindmax,rcp45,2021-2050,centile,90,13.021345
era5_land,sfcWindmax,rcp45,2051-2080,centile,90,13.196676
era5_land,sfcWindmax,rcp45,1991-2020,centile,99,12.869513
era5_land,sfcWindmax,rcp45,2021-2050,centile,99,13.148117
era5_land,sfcWindmax,rcp45,2051-2080,centile,99,13.295052
era5_land,sfcWindmax,rcp85,1991-2020,mean,-1,12.777687
era5_land,sfcWindmax,rcp85,2021-2050,mean,-1,12.831815
era5_land,sfcWindmax,rcp85,2051-2080,mean,-1,12.963078
era5_land,sfcWindmax,rcp85,1991-2020,min,-1,12.66685
era5_land,sfcWindmax,rcp85,2021-2050,min,-1,12.36206
era5_land,sfcWindmax,rcp85,2051-2080,min,-1,12.319823
era5_land,sfcWindmax,rcp85,1991-2020,max,-1,12.897131
era5_land,sfcWindmax,rcp85,2021-2050,max,-1,13.289228
era5_land,sfcWindmax,rcp85,2051-2080,max,-1,13.654903
era5_land,sfcWindmax,rcp85,1991-2020,centile,1,12.669252
era5_land,sfcWindmax,rcp85,2021-2050,centile,1,12.388262
era5_land,sfcWindmax,rcp85,2051-2080,centile,1,12.33578
era5_land,sfcWindmax,rcp85,1991-2020,centile,10,12.699116
era5_land,sfcWindmax,rcp85,2021-2050,centile,10,12.549145
era5_land,sfcWindmax,rcp85,2051-2080,centile,10,12.418152
era5_land,sfcWindmax,rcp85,1991-2020,centile,50,12.776659
era5_land,sfcWindmax,rcp85,2021-2050,centile,50,12.817096
era5_land,sfcWindmax,rcp85,2051-2080,centile,50,12.98376
era5_land,sfcWindmax,rcp85,1991-2020,centile,90,12.84975
era5_land,sfcWindmax,rcp85,2021-2050,centile,90,13.122576
era5_land,sfcWindmax,rcp85,2051-2080,centile,90,13.290891
era5_land,sfcWindmax,rcp85,1991-2020,centile,99,12.894013
era5_land,sfcWindmax,rcp85,2021-2050,centile,99,13.260558
era5_land,sfcWindmax,rcp85,2051-2080,centile,99,13.633268
era5_land,sfcWindmax,rcpxx,1991-2020,mean,-1,12.766914
era5_land,sfcWindmax,rcpxx,2021-2050,mean,-1,12.794043
era5_land,sfcWindmax,rcpxx,2051-2080,mean,-1,12.878431
era5_land,sfcWindmax,rcpxx,1991-2020,min,-1,12.634351
era5_land,sfcWindmax,rcpxx,2021-2050,min,-1,12.36206
era5_land,sfcWindmax,rcpxx,2051-2080,min,-1,12.319823
era5_land,sfcWindmax,rcpxx,1991-2020,max,-1,12.897131
era5_land,sfcWindmax,rcpxx,2021-2050,max,-1,13.289228
era5_land,sfcWindmax,rcpxx,2051-2080,max,-1,13.654903
era5_land,sfcWindmax,rcpxx,1991-2020,centile,1,12.649589
era5_land,sfcWindmax,rcpxx,2021-2050,centile,1,12.423432
era5_land,sfcWindmax,rcpxx,2051-2080,centile,1,12.360854
era5_land,sfcWindmax,rcpxx,1991-2020,centile,10,12.676913
era5_land,sfcWindmax,rcpxx,2021-2050,centile,10,12.542282
era5_land,sfcWindmax,rcpxx,2051-2080,centile,10,12.510072
era5_land,sfcWindmax,rcpxx,1991-2020,centile,50,12.770099
era5_land,sfcWindmax,rcpxx,2021-2050,centile,50,12.803506
era5_land,sfcWindmax,rcpxx,2051-2080,centile,50,12.865852
era5_land,sfcWindmax,rcpxx,1991-2020,centile,90,12.826532
era5_land,sfcWindmax,rcpxx,2021-2050,centile,90,13.024422
era5_land,sfcWindmax,rcpxx,2051-2080,centile,90,13.240382
era5_land,sfcWindmax,rcpxx,1991-2020,centile,99,12.889113
era5_land,sfcWindmax,rcpxx,2021-2050,centile,99,13.219415
era5_land,sfcWindmax,rcpxx,2051-2080,centile,99,13.59927
