sim_code,sdev,crmsd,ccoef
Référence,7.9,0.0,1.0
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,10.6,11.45,0.26
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,11.1,13.75,-0.02
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,12.4,15.26,-0.08
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,13.4,14.74,0.11
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,20.1,21.26,0.05
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,16.6,17.77,0.09
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,15.6,17.34,0.02
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,12.3,14.77,-0.02
CRCM5_AFR-44_CCCma-CanESM2_rcp45,9.9,11.32,0.21
CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,10.2,12.02,0.14
CSC_AFR-44_ICHEC-EC-EARTH_rcp26,9.3,11.86,0.05
CSC_AFR-44_ICHEC-EC-EARTH_rcp45,10.1,13.27,-0.07
CSC_AFR-44_ICHEC-EC-EARTH_rcp85,11.0,12.17,0.2
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,12.2,14.02,0.08
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,12.5,14.23,0.08
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,11.3,12.03,0.25
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,10.2,13.13,-0.03
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,11.2,13.57,0.02
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,10.2,10.7,0.32
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,8.2,9.1,0.36
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,8.1,9.26,0.33
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,15.3,14.81,0.32
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,16.8,17.51,0.15
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,11.6,12.72,0.19
RCA4_AFR-44_CCCma-CanESM2_rcp45,8.2,11.45,-0.02
RCA4_AFR-44_CCCma-CanESM2_rcp85,8.8,11.02,0.13
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,6.1,9.11,0.17
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,7.5,10.62,0.05
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,9.9,12.6,0.01
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,7.7,10.41,0.11
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,10.8,12.18,0.18
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,9.1,12.5,-0.08
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,10.0,12.5,0.04
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,10.1,13.07,-0.03
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,10.0,11.38,0.21
RCA4_AFR-44_MIROC-MIROC5_rcp26,9.9,12.35,0.05
RCA4_AFR-44_MIROC-MIROC5_rcp45,7.9,11.66,-0.09
RCA4_AFR-44_MIROC-MIROC5_rcp85,8.5,11.94,-0.05
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,11.9,13.38,0.13
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,11.2,11.33,0.34
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,10.0,10.39,0.35
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,8.3,12.47,-0.18
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,9.9,12.5,0.03
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,9.4,12.46,-0.03
RCA4_AFR-44_NCC-NorESM1-M_rcp26,9.1,13.23,-0.21
RCA4_AFR-44_NCC-NorESM1-M_rcp45,9.4,12.67,-0.06
RCA4_AFR-44_NCC-NorESM1-M_rcp85,9.8,12.61,-0.0
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,8.1,10.29,0.18
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,7.4,11.27,-0.08
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,7.5,9.09,0.31
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,8.1,9.02,0.37
REMO2009_AFR-44_MIROC-MIROC5_rcp26,7.4,10.29,0.1
REMO2009_AFR-44_MIROC-MIROC5_rcp85,12.0,13.26,0.16
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,13.3,13.66,0.26
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,12.2,12.71,0.26
REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26,7.5,9.29,0.27
