stn,idx,rcp,hor,stat,centile,val
enacts,hot_spell_total_length,rcpxx,2051-2080,min,-1,22.851957
enacts,hot_spell_total_length,rcpxx,2020-2020,max,-1,38.607425
enacts,hot_spell_total_length,rcpxx,2021-2050,max,-1,71.791276
enacts,hot_spell_total_length,rcpxx,2051-2080,max,-1,115.784035
enacts,hot_spell_total_length,rcpxx,2020-2020,centile,1,17.69817
enacts,hot_spell_total_length,rcpxx,2021-2050,centile,1,21.365553
enacts,hot_spell_total_length,rcpxx,2051-2080,centile,1,26.853958
enacts,hot_spell_total_length,rcpxx,2020-2020,centile,10,21.421933
enacts,hot_spell_total_length,rcpxx,2021-2050,centile,10,28.46377
enacts,hot_spell_total_length,rcpxx,2051-2080,centile,10,40.602247
enacts,hot_spell_total_length,rcpxx,2020-2020,centile,50,28.256056
enacts,hot_spell_total_length,rcpxx,2021-2050,centile,50,44.992439
enacts,hot_spell_total_length,rcpxx,2051-2080,centile,50,67.529647
enacts,hot_spell_total_length,rcpxx,2020-2020,centile,90,33.68931
enacts,hot_spell_total_length,rcpxx,2021-2050,centile,90,63.60165
enacts,hot_spell_total_length,rcpxx,2051-2080,centile,90,100.833496
enacts,hot_spell_total_length,rcpxx,2020-2020,centile,99,37.440666
enacts,hot_spell_total_length,rcpxx,2021-2050,centile,99,71.008117
enacts,hot_spell_total_length,rcpxx,2051-2080,centile,99,115.184273
