,year,ref,rcp45_moy,rcp45_min,rcp45_max,rcp85_moy,rcp85_min,rcp85_max
0,1981,968.583236694336,823.12928318028,532.077776393335,1024.0920456303,805.772174159587,532.256487973058,1008.20425011502
1,1982,887.757821649313,804.736060554656,389.06356726885,1087.20995470662,775.490532340718,376.383923137034,1037.55982975497
2,1983,855.217418551445,823.046817097108,404.984434946934,1187.10306503943,779.02895042741,393.899670874005,1091.79266164376
3,1984,919.871586710215,733.815285128257,296.969462985248,1210.53547045247,725.090799058082,304.567583510663,1229.78534724633
4,1985,929.519717633724,821.158965418604,490.222313797845,1045.07355223924,820.239574077777,511.04127947186,1022.38848971246
5,1986,998.947967916727,839.708643381184,462.794586622338,1218.72148240808,829.47840096276,479.544150423877,1168.08990135562
6,1987,1063.28465366364,885.066512139915,454.992014296863,1268.58904045836,872.814434716674,446.019098594224,1220.67053935837
7,1988,955.357416987419,854.222056703615,594.980227270697,1069.07494006753,862.5473982574,610.809446723601,1217.7590957255
8,1989,1203.06876724958,813.621963796048,364.914954086949,1137.71120925336,794.638886336602,343.096232637757,1066.47294580204
9,1990,878.662146002054,789.418108818114,411.712523961337,1012.09100719148,767.640655632437,397.979510372073,1016.77193915483
10,1991,911.299749225378,904.403690962834,699.174365679229,1180.00709775983,883.370294787738,566.188077713792,1155.91482253557
11,1992,820.832570761442,872.078504959805,416.382321933951,1355.9381129436,876.63234534041,427.514465078656,1303.24920322212
12,1993,973.578830718994,831.827256566066,518.378657970918,1120.7653779387,820.024347551985,529.708473896113,1155.48634636026
13,1994,1027.74646943808,815.453955980423,551.000431615542,975.93777509172,778.566841797466,580.856106446051,991.582647470542
14,1995,1081.37917372584,847.186153481725,521.432334427037,1281.24870214721,832.84159134941,512.63002164872,1281.61873558145
15,1996,878.600081890821,799.873957776352,275.535731636803,1084.25013195215,749.350783509852,293.766617693287,1038.70452450505
16,1997,773.237347155809,872.851970802194,637.876581800911,1120.70565391068,868.529680300676,602.553387723367,1121.18343027212
17,1998,708.078259885311,766.958012776841,330.144635125659,1296.80367098029,753.674605941242,325.672357694161,1269.92845612821
18,1999,1058.2766212225,890.784202641871,504.612546330441,1306.91547827348,878.260235853898,482.12786459096,1274.51287740502
19,2000,780.765440046787,832.955775517893,338.697098938159,1094.5232037806,783.276253309236,345.811906977315,1057.27276704663
20,2001,726.799867868423,859.900132916403,470.570515996027,1230.14311709381,820.155727892184,484.802617511,1095.78242928625
21,2002,557.435321956873,908.976171515865,687.19836153937,1159.63654750248,863.380858345311,650.765880010604,1070.32344754268
22,2003,943.930119812489,780.834507108626,189.632945091009,1002.2763947288,754.085931210403,177.958747295746,1049.77562589659
23,2004,709.47930264473,862.22325709025,577.412942100683,1153.51941132284,819.339791738988,594.858356310076,1100.5187915352
24,2005,762.663655728102,825.573429996569,529.407306482989,1387.6500078608,828.014590250863,610.733184510896,1391.06447052665
25,2006,668.82631367445,848.913978762394,604.427700082681,1164.30132337607,834.576517496396,394.879868625442,1200.00543836043
26,2007,712.487723976374,876.092644400055,517.563624867369,1284.33089969826,838.709694490611,551.400057177658,1184.3602438005
27,2008,871.066876858473,832.884979224082,496.467788560156,1077.247074297,784.236618708173,372.028639848556,1198.3785352854
28,2009,824.192524522543,795.607995148565,310.921982528832,1149.8470639447,881.440559802404,563.73732453235,1466.53769456349
29,2010,887.890735089779,728.139881371265,118.459697352846,978.80199506557,735.492123560942,168.469880607833,1144.01643973229
30,2011,,776.252909958295,332.979965376969,1258.90048621673,842.998495101574,604.45415225564,1221.32974254086
31,2012,,771.380071585716,349.947841012354,1211.66842221741,786.702402257986,446.550561150562,1151.95759155124
32,2013,,850.938772872077,466.721454359558,1128.72612230384,747.463942574115,280.75624724803,1488.91549275957
33,2014,,789.876045659081,89.5286855957193,1044.03180262536,828.269145426214,546.271389642369,1127.49857956751
34,2015,,820.580854760346,320.19525122198,1314.18475400289,817.982102040726,476.784055685253,1323.76178920212
35,2016,,814.055604993773,512.158051386004,1076.18330724327,730.94222583717,258.448161038888,1132.38741089436
36,2017,,876.52539266774,385.876754810678,1221.41043094318,777.413378970038,361.078957257693,1080.71690640294
37,2018,,835.631215384762,344.134998590287,1132.24022593404,760.95685732779,445.185967335666,1115.21180825424
38,2019,,800.032596419586,257.855925942785,1205.3439491656,771.132956838198,431.436660635704,1071.104883553
