sim_code,sdev,crmsd,ccoef
Référence,3.28,0.0,1.0
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,3.22,1.04,0.95
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,3.22,1.05,0.95
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,3.18,1.08,0.94
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,3.11,1.17,0.93
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,3.09,1.1,0.94
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,2.98,1.18,0.93
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,3.2,1.11,0.94
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,3.19,1.15,0.94
CRCM5_AFR-44_CCCma-CanESM2_rcp45,3.11,0.99,0.95
CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,3.16,0.97,0.96
CSC_AFR-44_ICHEC-EC-EARTH_rcp26,3.26,1.03,0.95
CSC_AFR-44_ICHEC-EC-EARTH_rcp45,3.25,1.11,0.94
CSC_AFR-44_ICHEC-EC-EARTH_rcp85,3.28,1.1,0.94
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,3.23,1.06,0.95
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,3.2,1.07,0.95
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,3.25,1.16,0.94
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,3.23,1.02,0.95
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,3.22,1.06,0.95
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,3.26,1.08,0.95
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,3.3,1.04,0.95
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,3.34,1.08,0.95
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,3.23,1.1,0.94
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,3.2,1.14,0.94
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,3.16,1.29,0.92
RCA4_AFR-44_CCCma-CanESM2_rcp45,3.21,1.03,0.95
RCA4_AFR-44_CCCma-CanESM2_rcp85,3.21,1.07,0.95
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,3.2,0.99,0.95
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,3.18,0.96,0.96
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,3.23,1.07,0.95
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,3.22,1.08,0.94
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,3.26,1.03,0.95
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,3.26,1.05,0.95
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,3.27,1.06,0.95
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,3.19,1.1,0.94
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,3.19,1.15,0.94
RCA4_AFR-44_MIROC-MIROC5_rcp26,3.26,1.07,0.95
RCA4_AFR-44_MIROC-MIROC5_rcp45,3.25,1.13,0.94
RCA4_AFR-44_MIROC-MIROC5_rcp85,3.27,1.11,0.94
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,3.2,1.09,0.94
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,3.19,1.11,0.94
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,3.17,1.14,0.94
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,3.24,1.01,0.95
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,3.24,1.06,0.95
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,3.22,1.06,0.95
RCA4_AFR-44_NCC-NorESM1-M_rcp26,3.28,1.07,0.95
RCA4_AFR-44_NCC-NorESM1-M_rcp45,3.26,1.1,0.94
RCA4_AFR-44_NCC-NorESM1-M_rcp85,3.2,1.12,0.94
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,3.28,1.06,0.95
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,3.28,1.05,0.95
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,3.21,1.02,0.95
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,3.24,1.14,0.94
REMO2009_AFR-44_MIROC-MIROC5_rcp26,3.27,0.95,0.96
REMO2009_AFR-44_MIROC-MIROC5_rcp85,3.27,1.03,0.95
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,3.21,1.04,0.95
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,3.14,1.13,0.94
REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26,3.33,0.98,0.96
