year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
1991,0.0,-8.091666666666669,-2.4455128205128216,2.408333333333334,-8.39166666666667,-1.8791666666666678,3.4333333333333425,-9.016666666666667,-1.1325757575757587,5.183333333333333
1992,0.0,-6.441666666666668,-1.2339743589743601,1.6583333333333323,-8.891666666666667,-2.916666666666669,4.2333333333333325,-6.791666666666668,-2.2575757575757596,5.433333333333338
1993,0.0,-10.441666666666666,-2.387820512820514,7.758333333333337,-9.366666666666669,-0.12916666666666785,12.508333333333333,-11.191666666666666,-0.9621212121212133,9.683333333333337
1994,0.0,-7.441666666666667,-1.3301282051282064,3.6583333333333323,-6.316666666666668,0.9458333333333322,6.833333333333334,-4.041666666666668,0.42424242424242303,7.133333333333339
1995,0.0,-9.541666666666666,-2.1570512820512833,3.408333333333333,-8.666666666666668,-1.2541666666666684,7.158333333333335,-8.941666666666668,-1.4280303030303045,6.458333333333332
1996,0.0,-8.541666666666668,-5.099358974358977,0.9083333333333341,-9.866666666666667,-4.741666666666669,1.7583333333333329,-9.691666666666668,-4.757575757575761,-0.04166666666666785
1997,0.0,-2.9416666666666673,2.535256410256409,7.7583333333333355,-6.0166666666666675,0.04583333333333215,8.583333333333337,-5.191666666666667,1.390151515151514,7.883333333333334
1998,0.0,-9.041666666666668,-2.9647435897435908,2.6083333333333325,-8.591666666666667,-1.0916666666666681,4.633333333333335,-8.666666666666668,-1.5757575757575772,5.958333333333332
1999,0.0,-6.691666666666667,-0.8301282051282068,1.908333333333336,-7.116666666666669,-2.416666666666668,3.9833333333333325,-8.616666666666667,-0.9053030303030322,7.233333333333337
2000,0.0,-6.741666666666666,0.03525641025640907,8.558333333333335,-9.51666666666667,-2.61666666666667,4.258333333333336,-9.291666666666668,-1.984848484848487,4.183333333333333
2001,0.0,-6.541666666666667,0.40064102564102444,4.808333333333333,-7.716666666666669,-1.266666666666668,5.508333333333333,-6.5166666666666675,-0.5530303030303042,3.4333333333333327
2002,0.0,-4.8916666666666675,3.3621794871794846,11.85833333333333,-8.866666666666669,2.158333333333329,13.283333333333333,-8.316666666666666,1.0606060606060592,11.983333333333338
2003,0.0,-11.391666666666667,-5.56089743589744,1.158333333333335,-11.566666666666666,-3.47916666666667,4.033333333333333,-11.466666666666667,-2.553030303030305,7.2083333333333375
