year,ref,CRCM5_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85
1981,34.35100800883734,47.52747859707263,47.367301850317595,35.10466721900028,34.31455399061033,28.977078155205746,38.08367854183927,34.56973211819939,58.62027064346866,34.745098039215684,47.606462303231154,51.54101077050539,35.0182270091135,36.16321458160729,36.71112952223143,48.47638773819387,36.90113228389948,32.84617508975421,39.80171223418945,43.16735708367854,53.289422811378074,43.36923501795084,33.75863021264844,47.420049710024855,28.43634355150511,34.140845070422536,34.94393813863574,35.80999723833195,40.16321458160729,35.56227561447114,58.72024302678818,36.12979839823253,35.19000276166805,43.78017122341895,47.481911074288874,48.28969897818282,50.96768848384424,50.15796741231704,38.89726594863298,38.09665838166252,32.993371996686,39.989781828224245,43.62330847832091,53.31455399061033
1982,36.56614194973764,71.83043358188345,48.418392709196354,31.812482739574705,49.32615299640983,40.390499861916595,44.62800331400166,42.92598729632698,40.76360121513394,31.88041977354322,47.310411488539074,38.953603976801986,36.114333057166526,37.16542391604529,39.24247445457056,33.56476111571389,27.294946147473073,24.608947804473903,40.731013532173435,50.51449875724938,60.27920463960232,39.5929301297984,49.01960784313726,48.56365644849489,40.33747583540458,34.191935929301295,43.73736536868268,37.508146920740124,45.45954156310412,33.08285004142502,41.1764705882353,39.73681303507318,27.111571389119028,39.75255454294394,53.44600938967136,47.1924882629108,38.93951946975974,34.02485501242751,36.32504832919083,30.138083402375035,25.452637392985363,40.08229770781552,50.69953051643193,59.975421154377244
1983,32.472797569732116,39.10936205468103,31.83650925158796,37.37448218724109,45.69428334714167,40.417840375586856,36.2002209334438,32.092515879591275,23.48384424192212,33.15327257663629,47.136150234741784,40.71140568903618,44.72549019607843,33.09886771610052,36.7787903893952,65.15465341066003,45.621375310687654,45.207953603976804,47.383595691797844,35.94642363987849,54.11792322562828,40.5929301297984,45.7832090582712,31.490472245236123,40.1946975973488,43.908312620822976,32.62938414802541,32.093896713615024,36.84810825738746,34.16763325048329,24.213753106876553,35.948356807511736,45.262358464512566,41.418392709196354,64.11460922397129,46.4054128693731,39.62993648163491,65.38718586025959,40.77216238608119,35.89450428058547,45.6017674675504,47.12979839823253,35.44766639049986,54.331123998895336
1984,26.101077050538525,50.96299364816349,27.59210162938415,32.1786799226733,58.88014360673847,34.58657829328914,42.84617508975421,36.257111295222316,63.27948080640707,35.72383319524993,32.55012427506214,46.46257939795637,35.87738193869097,31.239436619718308,37.65672466169566,40.33360950013808,31.47473073736537,37.35100800883734,35.05136702568351,56.89146644573322,68.71030102181717,46.64208782104391,58.56531344932339,28.296050814692073,35.11184755592378,36.367301850317595,36.308202154101075,31.726594863297432,44.08395470864402,35.72355702844518,63.3960231980116,38.10024855012428,30.27948080640707,47.48577740955537,49.73460370063518,32.973211819939245,46.44600938967136,42.45512289422811,43.972383319524994,37.90693178679923,37.354322010494336,35.06710853355427,56.52002209334438,68.95388014360674
1985,42.537696768848384,51.43800055233361,52.8235294117647,33.70505385252692,40.16459541563104,35.748135874067934,40.0,42.57580778790389,52.52305992819663,39.17149958574979,46.97155481911074,40.2129246064623,40.579397956365646,33.718862192764426,46.53079259872963,44.268157967412314,40.183650925158794,34.19331676332505,42.99033416183375,51.417011875172605,66.9884009942005,48.724937862468934,40.54542943938139,52.86882076774372,34.66252416459542,39.70919635459818,42.84589892294946,34.178403755868544,41.55371444352389,40.03617785142226,53.05440486053576,45.77078155205744,39.10991438829053,49.610880972107154,43.997790665562,46.77381938690969,40.131731565865785,44.88152444076222,43.93896713615023,35.31179232256283,34.15382491024579,42.87103010218172,51.808616404308204,66.90776028721348
1986,40.71030102181718,51.96216514774924,37.93731013532173,30.993371996685998,41.88511460922397,28.27699530516432,55.63214581607291,31.443247721623862,54.53797293565314,32.03755868544601,44.075117370892016,28.297431648715826,54.75393537696769,35.31400165700083,27.139464236398783,50.747583540458436,46.942281137807235,45.32780999723833,48.86246893123447,50.74178403755869,67.49268157967413,44.91079812206573,41.47694007180337,37.59652029826015,28.28804197735432,53.933167633250484,32.23391328362331,35.06186136426402,57.487158243579124,32.45208505937586,55.02540734603701,26.68047500690417,46.58492129246065,45.43744821872411,46.20933443800055,43.207125103562554,28.837890085611708,51.72107152720243,49.48743441038387,29.32118199392433,44.893951946975974,48.12206572769953,51.027340513670254,67.71554819110743
1987,36.135597901132286,38.24054128693731,29.730737365368682,37.4059652029826,44.99143882905275,38.857774095553715,31.575807787903894,34.54846727423364,33.10880972107153,35.531621099143884,30.492681579674123,46.88815244407622,50.900027616680475,28.813863573598454,42.003314001657,57.1869649268158,41.43717205191936,35.05716652858327,35.210162938414804,47.09721071527203,55.533278099972385,27.7992267329467,45.350455675227835,29.20988677161005,38.63214581607291,49.72162386081193,34.90693178679923,28.780999723833194,32.484948909141124,37.19939243302955,33.87903893951947,41.92709196354598,40.72825186412593,27.770505385252694,38.50925158795913,30.523612261806132,46.748135874067934,57.818558409279206,30.988677161005246,37.83899475283071,34.725766362883185,36.48632974316487,46.685722176194425,55.988953327809995
1988,37.9872963269815,39.13449323391328,54.998895332781,33.668876001104664,35.5780171223419,32.569455951394644,32.66583816625241,41.06489919911627,51.3938138635736,35.608671637669154,38.814139740403206,30.454846727423362,39.7848660590997,34.16238608119304,44.048053024026515,36.43082021541011,32.76332504832919,44.827395747031204,35.83153824910246,57.76249654791494,53.222866611433304,31.75669704501519,35.52554542943938,54.88594310963822,32.008837337752006,39.2002209334438,42.79397956365645,33.54045843689588,33.774095553714446,35.828224247445455,51.90334161833748,43.897818282242476,32.57083678541839,31.79121789560895,42.900856117094726,38.581607290803646,31.22977078155206,37.467550400441866,36.787351560342444,34.66473349903342,44.68434134217067,34.79784589892295,56.942281137807235,53.69897818282242
1989,33.013256006628005,40.12537972935653,25.665561999447668,35.531621099143884,44.04308202154101,35.80778790389395,38.418392709196354,29.2018779342723,41.86799226732947,45.46506489919911,36.3954708644021,27.96188898094449,45.42391604529136,40.45153272576636,41.65976249654791,54.26484396575532,31.266224799779067,21.324772162386083,46.529411764705884,43.74316487158244,63.125655896161284,45.11267605633803,43.90499861916598,26.55122894228114,35.83650925158796,45.133388566694286,29.128141397404033,39.831262082297705,38.43551505109086,45.36150234741784,42.32698149682408,42.09444904722452,30.63352665009666,45.505937586302124,46.46727423363712,36.53907760287213,28.19055509527755,54.91687379177023,50.43744821872411,30.067660867163767,21.47500690417012,46.10052471692902,43.745926539629934,63.5951394642364
1990,46.73902236951118,59.62689864678266,43.2051919359293,39.56558961612814,25.892847279756975,36.931786799226735,63.13808340237503,36.019331676332506,43.95664181165424,27.823529411764707,55.16210991438829,25.911350455675226,34.8030930682132,44.86716376691522,36.69152167909417,38.3910521955261,40.428887047776854,35.04971002485501,49.7832090582712,54.889533278099975,67.03452085059376,43.463131731565866,25.68157967412317,43.528030930682135,37.11019055509528,36.14581607290803,36.3849765258216,44.48246340789837,63.822148577740954,28.043634355150513,44.43302954984811,35.764982049157695,39.47003590168462,43.91383595691798,50.72549019607843,55.04446285556476,25.95249930958299,39.223142778238056,53.394366197183096,38.00524716929025,34.90168461750898,49.23888428610881,54.92626346313173,67.26788180060757
