year,ref,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,3619.2693103732818,2233.990496712277,2128.391425537359,2286.9629005172396,2091.350118711683,2204.0402939510523,2238.841089597879,2427.6584740642083,2103.154156549209,2134.5895526224317,2349.765882813213,2091.350119297133,2286.9629005172396,2233.9904961268276,2427.658474649658,2128.391425537359,2238.841089597879,2204.0402933656023,2103.154156549209,2349.765882813213,2134.5895527824655
1982,3656.1062379120553,2194.7985240244197,2110.7642684979933,2352.149549588362,2021.286707366871,2126.8159042523516,2135.638462761562,2452.0708860827776,2181.6538173501826,2133.1899590877347,2340.632341714309,2021.286707202421,2352.149549588362,2194.7985241888705,2452.0708859183273,2110.7642684979933,2135.638462761562,2126.8159044168024,2181.6538173501826,2340.632341714309,2133.1899585807287
1983,3769.031645294581,2181.8325936661827,2146.029898854028,2310.678570096771,1880.2845899426966,2129.2543719958553,2142.0015113207464,2377.324323125826,2175.8378147849717,2139.166531130487,2273.805325790204,1880.284589966676,2310.678570096771,2181.832593642204,2377.324323149805,2146.029898854028,2142.0015113207464,2129.2543719718765,2175.8378147849717,2273.805325790204,2139.166531029123
1984,3752.3884504959724,2227.4158390005023,2152.17285099522,2327.6345150032334,2066.779520432804,2177.625196215407,2337.2880315391103,2452.1949454402775,2179.6015361674904,2231.5817490746363,2347.974901493841,2066.779519492636,2327.6345150032334,2227.4158399406706,2452.1949445001096,2152.17285099522,2337.2880315391103,2177.625197155575,2179.6015361674904,2347.974901493841,2231.581748577668
1985,3679.629630428359,2274.2223386775686,2170.415613618501,2307.642913921948,2069.0140470469105,2229.0782739304736,2258.814338433849,2359.756325655509,2188.0828433372017,2132.2010883187813,2371.2218896468426,2069.0140470958127,2307.642913921948,2274.2223386286664,2359.756325704411,2170.415613618501,2258.814338433849,2229.078273881571,2188.0828433372017,2371.2218896468426,2132.2010887968277
1986,3724.3754630416274,2195.016464968002,2231.920546866533,2328.461702266571,2034.0425534581188,2150.8153482337893,2239.7772807515653,2430.028098361324,2234.802469492332,2122.699747446978,2351.9255982896057,2034.0425530711116,2328.461702266571,2195.0164653550087,2430.028097974317,2231.920546866533,2239.7772807515653,2150.8153486207966,2234.802469492332,2351.9255982896057,2122.699745922271
1987,3625.857585674005,2232.952871165189,2232.6901872952217,2272.5974504454966,2008.4924927775053,2225.4015557081566,2173.7388068650284,2441.6660909031366,2193.6817087776567,2213.4966527413185,2286.566627928699,2008.4924930206807,2272.5974504454966,2232.952870922014,2441.666091146312,2232.6901872952217,2173.7388068650284,2225.401555464981,2193.6817087776567,2286.566627928699,2213.496652712644
1988,3666.888967454413,2293.912521850405,2157.2728086463267,2264.5390627118336,2069.0532598046184,2238.301316033557,2194.333318583202,2440.764832590348,2203.403088585468,2174.0888080906234,2372.5158659131853,2069.053260126414,2264.5390627118336,2293.91252152861,2440.7648329121434,2157.2728086463267,2194.333318583202,2238.301315711762,2203.403088585468,2372.5158659131853,2174.0888083208793
1989,3574.4490088155126,2223.440347040611,2205.498822348119,2310.3044961177634,2065.105994983017,2172.9734219263255,2219.647280498508,2406.5870797020075,2278.8392309751107,2176.537157625341,2306.4237630654807,2065.1059944035733,2310.3044961177634,2223.440347620054,2406.587079122565,2205.498822348119,2219.647280498508,2172.973422505769,2278.8392309751107,2306.4237630654807,2176.5371569180984
1990,3786.493183349748,2206.2087891217534,2169.091654228343,2313.2889225888343,2025.0600182433916,2133.3485770445236,2327.7678305592885,2428.315284772754,2285.9990769070046,2124.17431294417,2390.595271203367,2025.0600193710125,2313.2889225888343,2206.208787994133,2428.315285900375,2169.091654228343,2327.7678305592885,2133.348575916903,2285.9990769070046,2390.595271203367,2124.174313619579
