year,ref,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1992,0.0,-1394.0219286845236,-1457.8817059802504,-1208.005725540163,-1590.6119108656867,-1375.6528921745348,-1260.966644707104,-1091.798467664658,-1351.9551309151216,-1396.0290353190717,-1177.0277401762328,-1594.416415879531,-1182.8071057611746,-1394.0169091670632,-1082.5123672115205,-1440.0364953230824,-1257.685889817848,-1366.429486085061,-1343.5522425339145,-1168.7602601519943,-1387.649422552759
1993,0.0,-1384.322336508782,-1390.9453916030052,-1140.1524706788546,-1547.250122529666,-1385.254953805033,-1327.3307426205765,-1115.6258107413287,-1404.277138850699,-1411.0984324659848,-1259.7438403687256,-1553.2896207021026,-1118.6557272122236,-1385.677798123469,-1106.9326354357472,-1376.0837466745925,-1320.0450419020385,-1373.6802961457593,-1396.5906816605652,-1249.8642081849293,-1398.7667482003667
1994,0.0,-1372.1264744018786,-1424.4030462516348,-1222.1800455152847,-1526.2774956563446,-1412.961847970922,-1327.7403484898223,-1109.6608629235834,-1382.934225795053,-1457.243957606595,-1284.255509274049,-1530.5936467963354,-1197.1444082087628,-1373.9885137147594,-1101.707074795559,-1405.7502750386489,-1321.3399940708637,-1403.4948884626888,-1372.9123573566276,-1273.674980142106,-1445.5037811484021
1995,0.0,-1325.9932670528674,-1452.2894936847938,-1184.297522897656,-1545.133545935571,-1404.5674600448783,-1317.1046692248333,-1098.3589529304122,-1372.165823803411,-1467.7238034932557,-1242.2528094471422,-1552.8455693813466,-1160.739656798558,-1329.4752175411595,-1088.4948342695434,-1434.3144297590406,-1308.4273394523498,-1392.7440780215675,-1361.3833646414919,-1231.0699655673266,-1456.55615062571
1996,0.0,-1418.1777026494042,-1470.1535034537796,-1289.3700503620012,-1562.2626247391931,-1389.0613788718474,-1364.408846917947,-1219.2522029302318,-1336.92476274724,-1397.9463504373084,-1227.3279143250747,-1570.5923658261554,-1261.0641201100589,-1420.5757161600154,-1204.0559370860842,-1451.6176354034883,-1357.42783030062,-1378.7202843224813,-1328.8652742790177,-1216.2720708157394,-1386.8103255734372
1997,0.0,-1390.5298561159989,-1443.533763703701,-1280.7411194727342,-1604.5232164285953,-1414.5262153652043,-1318.620626952686,-1168.1248325739157,-1341.1965570983966,-1445.9332033271362,-1292.0750216570318,-1608.0253192803852,-1253.1279081094976,-1391.9244266664546,-1160.0037273104044,-1426.2365632226047,-1314.7771606999304,-1402.511750779318,-1331.7055220472553,-1280.0296862024265,-1432.2331567963606
1998,0.0,-1365.4319296004896,-1391.3498560848043,-1281.788304928723,-1565.2138114888994,-1447.1450943348932,-1374.718459865443,-1176.7904900478825,-1459.498324583422,-1508.8261237509191,-1308.434852773778,-1568.4533765621436,-1256.1955039894592,-1368.7029221268485,-1165.8363969459601,-1374.8973110233946,-1368.2118545439153,-1433.9215949608529,-1454.4007703206498,-1297.4988025983153,-1498.6844504365476
1999,0.0,-1335.4815684377377,-1454.4536409170123,-1220.6197431830947,-1552.342626809753,-1430.5488218919909,-1331.2266923322377,-1086.902945398765,-1465.3750665988791,-1426.8468376750488,-1260.2948103866352,-1554.8882748470862,-1197.3781414440969,-1335.7195813219473,-1079.768443478089,-1438.5514327773426,-1323.4301882519421,-1418.2175213356636,-1455.1422276066678,-1247.719249498613,-1413.9814410523823
2000,0.0,-1454.7599811221435,-1432.3389783273637,-1226.7277334381952,-1518.4324632934852,-1393.4127549554314,-1389.2594698102416,-1144.1821831411216,-1396.9488690806256,-1365.9487005890637,-1299.0148736357573,-1522.6844161190588,-1202.4045698003583,-1453.1921171647768,-1133.2494073739858,-1413.9858789587988,-1381.6057702349754,-1382.6852759974086,-1389.6301356686154,-1286.3833144202226,-1356.6434712573491
2001,0.0,-1393.064310045625,-1417.514770292847,-1287.6019518419912,-1586.2254094606892,-1491.789702815643,-1318.7491025458175,-1135.0208050873134,-1389.044767732927,-1457.717504166088,-1239.9279884077268,-1592.564482775098,-1260.3601782573514,-1393.3651800480216,-1122.1798637172678,-1402.906898674792,-1310.165193943542,-1480.9631022099543,-1380.8632026086875,-1231.122438207345,-1447.8504257496297
2002,0.0,-1379.8279955704584,-1349.9418328204392,-1259.4900625126538,-1576.8076931249389,-1381.0134340871427,-1386.7509425209937,-1147.240891304236,-1419.6537309836895,-1454.8631477305953,-1191.8778141881858,-1581.8664034512499,-1236.7809633243778,-1382.420570440334,-1136.925457677126,-1335.1130623939043,-1381.0698975770247,-1370.1028699705876,-1411.9408330473257,-1184.1404403126799,-1442.7661133707174
2003,0.0,-1351.30019496975,-1397.1565675036773,-1284.6869748825134,-1506.6834993104942,-1474.0274994241045,-1432.4882074072848,-1167.974653469039,-1448.8440783786382,-1438.3827266000721,-1239.2873939958977,-1511.9791183481925,-1257.813122565345,-1353.527744692759,-1156.0000912145515,-1379.0883737611143,-1424.4232876579013,-1465.5346162633464,-1439.8517680710356,-1229.7533603543698,-1427.4456068302752
2004,0.0,-1382.2674711005056,-1458.5311948016888,-1342.6757470268808,-1563.134423460018,-1473.6579340139951,-1348.4920776688518,-1188.0183336310624,-1400.4570562503145,-1525.0124014496478,-1289.8232456955507,-1567.3560310304792,-1311.2150131875987,-1381.6668869185419,-1174.409976351791,-1439.5527789374855,-1341.950790358008,-1460.8801966459773,-1391.9858734051777,-1277.5885731637322,-1510.9758835816497
2005,0.0,-1389.0582357884573,-1444.7677499117035,-1387.9617895659353,-1557.6524003686477,-1416.2344351712254,-1347.03055901049,-1182.474856813697,-1363.9106929347909,-1497.6226263884782,-1268.7770812720246,-1565.272744243071,-1357.1190126687648,-1392.9720524700901,-1169.1337846253996,-1424.4201590345683,-1339.0905420270064,-1404.6910284453365,-1353.8134028882828,-1259.0952890475364,-1486.6383113885718
2006,0.0,-1408.3880081776101,-1449.0563785027575,-1282.2943982857173,-1626.6056870764914,-1484.9748410378884,-1360.979103856936,-1139.1656756304737,-1426.0575435082992,-1431.6560159968608,-1321.085248704891,-1574.1681570019446,-1258.533103913635,-1292.9857710977235,-1099.8018285008316,-1460.5514904854408,-1300.168050894527,-1525.540843599692,-1438.2120818282856,-1317.0350007254642,-1438.5327417844778
2007,0.0,-1422.2920563480798,-1468.6294328309464,-1252.0448066485178,-1580.4117641604807,-1457.4653851761504,-1423.8350234557784,-1103.9107969270049,-1424.638484081494,-1435.745272879276,-1283.2398852492274,-1541.2628353360587,-1269.070307679679,-1375.0665824887783,-1110.6282907125906,-1407.1497760761836,-1361.336733252564,-1554.6873878942306,-1389.0329251097087,-1239.9756608206649,-1494.0453154592974
2008,0.0,-1408.0507939888548,-1499.0027135597884,-1256.6527144577285,-1576.9857070731864,-1459.12589032578,-1465.0406329538168,-1184.7468281256502,-1368.779636790644,-1488.3499061344714,-1305.3346060229414,-1520.4015532227347,-1226.1979388364248,-1424.8578215769949,-1170.6705658221144,-1511.6140732322992,-1456.1149672349402,-1474.5498567704635,-1447.3150372357368,-1194.2856516443871,-1423.2316986964415
2009,0.0,-1369.86350522447,-1494.8474812401441,-1330.653327435698,-1595.9677278221675,-1433.0043286409382,-1439.7483220324762,-1152.3782745458043,-1459.2615960855824,-1434.5107045744198,-1269.2246033086467,-1576.6967620216474,-1186.716977885968,-1366.8017848813365,-1133.318636787129,-1506.895881295482,-1422.1303895690876,-1427.0511427790411,-1416.4777236811292,-1221.429829403518,-1477.9932444355286
2010,0.0,-1375.2650683041634,-1505.6316398328522,-1342.6958691261775,-1624.8910149828353,-1549.2129496722027,-1475.6169546560754,-1188.1218469740656,-1406.846984669865,-1473.5040942722849,-1275.6351587458435,-1639.3687464386207,-1345.49464555525,-1400.836728115576,-1104.9221683945675,-1453.6182509256378,-1455.2262641755074,-1385.6747904595245,-1370.9832443145128,-1291.1882748512107,-1466.8597959580493
