year,ref,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,0.0,-1372.7911344502504,-1417.2513775872821,-1210.5752259804817,-1606.813413940611,-1448.3317244137602,-1360.0039489532091,-1128.8871458416188,-1281.8555709879492,-1398.339959676914,-1241.5993845720768,-1612.6772908047542,-1183.6432628561174,-1373.4705805403023,-1118.2476556724005,-1400.3531504119696,-1354.068446149708,-1439.6602598698537,-1274.3367080889643,-1231.825503367093,-1392.955160876767
1982,0.0,-1349.8513337314207,-1388.7577838618809,-1281.4353205494076,-1544.0478553672253,-1394.7423138139375,-1273.8880314810322,-1121.1000800234842,-1373.7003216207636,-1384.5656530063434,-1230.9472536330823,-1550.703704723936,-1254.2951950496558,-1348.3324991266536,-1113.8346519782558,-1370.262806345031,-1267.884229369302,-1386.2080307430988,-1366.677461768807,-1219.1601020876074,-1374.3508608948623
1983,0.0,-1336.422668581467,-1420.6687293858122,-1243.3832461259544,-1418.3805747863507,-1388.2121782084978,-1273.2345410606654,-1045.4239265387555,-1346.9149040806528,-1397.238928770858,-1191.4745115758587,-1423.3971399597042,-1217.6825192737515,-1336.7285301200527,-1040.8776837195073,-1400.4349083239163,-1265.7391096140836,-1378.391066840561,-1339.0030273838188,-1181.6621638328088,-1385.3014707789448
1984,0.0,-1379.1777334068142,-1428.401603881145,-1245.9124723099271,-1562.315670177663,-1450.647284723646,-1448.992401983784,-1178.090986212757,-1351.7637089729378,-1451.3042942681464,-1234.199808590437,-1566.6302638111997,-1218.831602522548,-1378.9471009046674,-1164.2095974223503,-1409.517144466577,-1442.675394491113,-1436.38225303931,-1343.2499462501992,-1222.180005520136,-1437.0337645055033
1985,0.0,-1420.8422846366393,-1414.0365862979174,-1241.6732472604876,-1593.954305159708,-1486.671079508486,-1363.3722408415606,-1055.8688140462518,-1342.4449838167366,-1385.954535366151,-1278.7688800709898,-1601.7431744935948,-1214.5011381274776,-1420.9657319869752,-1048.387311889313,-1397.4620719046466,-1355.0792002109106,-1475.0204511706906,-1333.9780852565063,-1268.4228499706933,-1377.047413397977
1986,0.0,-1331.222992265249,-1512.3792350370932,-1251.8131214399773,-1561.8299350087439,-1393.0870551852536,-1373.583628502634,-1105.8261756131928,-1389.2074075948613,-1390.204019669688,-1255.8129948906276,-1564.7923079933337,-1227.5369153626048,-1334.1695781660337,-1094.3057059368343,-1494.68860076593,-1368.40402886635,-1383.4018765237884,-1382.7528563202013,-1244.7407486785905,-1377.6947892259323
1987,0.0,-1369.4734747996445,-1516.0606345123483,-1175.3739002420584,-1551.7593129672812,-1471.3862669073055,-1294.2389613422924,-1130.7699471934584,-1368.8521540143443,-1430.5721674963884,-1186.4168800653447,-1555.563133730147,-1152.3865190051479,-1370.9878765562657,-1119.1810231833056,-1496.4279357235196,-1287.5423332360447,-1462.034864589984,-1359.1581030217362,-1177.1401894116366,-1418.0844948927997
1988,0.0,-1445.879475840799,-1413.4076890759688,-1189.0553523672388,-1576.6572529715463,-1496.98709908842,-1311.8962718365347,-1114.8197878769574,-1365.7762306469203,-1408.9501175751684,-1268.9256248543984,-1579.6444008711555,-1164.8256553557944,-1448.3325185698832,-1104.5641438212128,-1394.819552854156,-1303.9322670706706,-1481.7597145333593,-1359.2557828355252,-1259.4794035355112,-1396.7868102141124
1989,0.0,-1399.082080857495,-1489.8815232516845,-1226.7272014660452,-1584.698115672139,-1421.2951599358034,-1341.6909029774497,-1093.4854561930993,-1440.548116528938,-1432.6720651757214,-1212.6391089527847,-1589.6052322944201,-1200.972357961387,-1398.8809678268308,-1085.7029684899903,-1470.4864516544808,-1335.5474337446012,-1410.2196592372193,-1430.88350048159,-1204.1792706899669,-1423.5977319322883
1990,0.0,-1373.1468173663488,-1432.34398497848,-1241.5650988761872,-1529.5515489255042,-1381.451266295041,-1465.7196162952341,-1102.704358697929,-1447.7197685891701,-1405.8655293590286,-1285.3336914252836,-1535.362240105792,-1217.6820011021523,-1372.9823429299,-1093.0446453272857,-1413.625860175191,-1455.7713754520655,-1374.7960689888992,-1444.0931334183692,-1274.165325850266,-1395.7881492429456
1991,0.0,-1403.57984965689,-1410.3871300698183,-1239.3649683057183,-1476.2432938152658,-1364.5632106197186,-1308.871360889414,-1112.1402252581224,-1393.417954731423,-1422.5979361296409,-1241.4171990976588,-1476.0207365467081,-1215.6281751081497,-1404.7124936259215,-1101.5440341104395,-1391.391879202251,-1304.5607581251074,-1353.7731248414493,-1386.0483284844067,-1232.2457066479633,-1414.601790954267
