year,ref,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,3888.890949308872,3879.1320003832157,3750.947745080479,3972.4197210400744,3870.4375812041485,3858.942689666454,3943.0622606428055,3955.7636113773297,3569.064896074289,3912.430678661089,3817.9093777652406,3709.850257817401,3874.1769452906437,3978.4265375579944,3853.523742907957,3848.6385367888197,3926.370619358673,3952.6703766993523,3565.134657884838,3905.6193361865508,3809.280508146335
1982,3978.595922470093,3786.234631980641,3964.0427284323355,3819.661635562001,3764.310318661358,3827.434378624137,3762.2042300389435,3651.4487429127157,3869.181516235362,3868.4951883110843,3763.955072476665,3933.5116449983234,3786.9734833124444,3829.358220039807,3744.6212876257255,3828.6397702070917,3746.999974268871,3651.8145950211224,3866.954569822153,3855.7938442788427,3749.725594550281
1983,4020.5012359023094,3797.778423180757,3861.964019053396,3571.5455623088337,3865.21051565557,3591.523817834434,3790.3300985468845,3686.2838641614844,3770.183733525546,3772.9937902166575,3767.8826926099955,3822.354125552646,3795.8500778484668,3579.4423733180183,3845.1619174227026,3595.5454841065102,3780.4666908281542,3686.677946179715,3769.086203570081,3763.448092289015,3742.381875211857
1984,3980.812926530838,3904.1774920689236,3896.870970256661,3979.3352852684,3823.291923592219,3982.2577199448733,3956.845907557824,4129.052646563961,3761.5555495020803,3834.0707388708133,4080.8228880427478,3859.182388038007,3898.7996073985455,3988.919440307007,3801.1420865153987,3970.637791103509,3941.9668800117333,4130.664409101808,3757.668480432789,3820.8446320618095,4059.8076361919393
1985,3981.861348092556,4008.320231231469,3806.0045037465493,4075.37016084628,3895.9481167701865,3681.949310045273,4047.2347884596084,3868.688864646396,3803.690854475976,3996.010148294664,3785.855531258723,3767.069021219614,4005.5675801029415,4076.3956312954474,3886.506204983657,3676.272428909578,4024.9939222342273,3868.5093368508888,3799.154302831601,3990.2520708758357,3766.689290149216
1986,4110.628902077675,3826.359488903029,3830.958864979406,3891.927766547148,4053.213609246967,3848.6931208115448,3823.6541159888625,3885.4953451894103,3920.350107758058,3847.865805409942,3787.3599203890653,3794.110483734247,3827.655941569861,3900.37568174838,4032.1672447289584,3839.531858631813,3811.717392486671,3887.3215102196255,3921.0154735333535,3840.920400192588,3766.987522846382
1987,3863.350374519825,3870.059994871975,3660.3845754548092,3889.138397304969,4049.569889375892,3800.741407257769,3977.815016794455,3708.1180642680642,3880.414182833939,3704.332683315231,3922.5318720208343,3625.633995244851,3866.4573806923886,3906.236713438042,4028.747631542195,3798.5473513524994,3967.5793481342066,3712.8233981311187,3876.365628883619,3694.180800524123,3905.062111572448
1988,3941.235686928034,4029.303009718572,3731.92087848559,3924.7645794419545,3831.3263043758893,3786.506379398328,3987.3532668996086,3735.793913134693,3901.332835112927,3951.4805977554906,3895.4481592997954,3693.729653887338,4035.2288335879957,3927.035072364464,3817.6548632886866,3789.0246862135327,3964.533856160221,3734.2463512100744,3902.461803057421,3938.544915499791,3874.435460675479
1989,3746.5068271160126,3939.0407923118332,3841.414863333422,3923.0791728024733,4010.1871852176832,3768.951093179798,3835.7531979898686,3791.2479928031926,4014.9105641660717,3854.7993102385526,3872.0238962467733,3810.710204049001,3932.7749451449267,3921.8263994626827,3992.6261626727246,3771.0900430799784,3818.2403263187744,3789.198593379517,4008.6106756310583,3841.7919047176474,3858.141998844598
1990,3982.928593814373,3841.2970425309545,3902.7963466988526,3796.052423560966,3932.8804266407315,3805.7134904964696,3831.9080701135917,4188.405199101035,4122.554595625875,3975.5063874684442,3835.4987154460878,3886.147254313751,3838.1349158011813,3806.970559057816,3918.657351157068,3799.741800020488,3827.7091359178016,4185.557004360374,4123.117923079279,3959.125168776686,3818.408702581081
