year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp26,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp26,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26
1991,0.0,292.77252245988075,289.4562944246831,348.5104266889522,335.7483438342059,335.5840495605238,329.8950428444918,249.7900546715981,249.73853178587137,-103.30830823846327,-127.71138622206638,-106.86891063043743,-107.28080297102758,-103.880954818806,-71.52902302424809,11.535237339735886,-9.552971598808881,-21.519773010759536,-50.78044011737563,-60.35907540454218,203.74046001571423,253.9885619979999,205.53928778902264,-77.71796901435675,-72.21672743918873,-53.52359155577108,-60.462474342229484,-92.00100177592469,-92.9036223938947,-139.6035048324328,-130.65025476030632,-136.76961069015078,-39.11562890862433,-52.83565081497477,-158.9752362431501,-161.31663222123666,-167.29137796777218,-59.74001268267534,-51.52352467742094,-65.89262279242166,-156.65558900090628,-160.59268019901162,-163.52476246232027,-88.8274218651485,-97.27240167172158,-91.62718342168716,-74.65479365394913,-67.37028063919888,85.51377152521616,167.82313193521065,-84.2307639867355,-56.97400088951076,119.94162174731377,143.06631957532215,-221.82396264780516
1992,0.0,255.07538465119387,245.35670693636789,285.88975084240053,277.1065703306346,302.5010308085715,287.73275040652084,254.0200983104143,269.18921258045685,-139.75828896457938,-152.97100576556227,-129.37871939028025,-194.18023008656746,-197.7516085790803,-161.03255157616616,-16.29288888060171,-40.89237532809557,-18.947852779569416,-63.06213685538046,-57.19737509960703,190.76156131201742,265.41699265952343,209.18339182510874,-59.88351121108553,-59.19308896385178,-21.799718364775686,-26.975589982184147,-83.26516205584335,-95.27624040057935,-100.59407723434447,-108.39901659515715,-108.18752381728302,-65.73304093033141,-74.67479218523454,-150.87419637926064,-152.36927313537296,-161.69612362599605,-83.90775767796197,-70.18726157076048,-85.06847715799165,-115.99511876367819,-117.97505818999309,-121.51719469760064,-6.58737956181983,-26.655830753604278,-17.58932366280692,-102.56618322708471,-101.57067313358039,66.36607439678016,121.77854705134507,-116.42719198020302,-82.45771654900375,-18.620461348752883,28.93540545405449,-239.60933641981615
1993,0.0,254.76545419126353,256.1700806028417,306.67555758885123,290.97715542132585,274.2017593717959,263.1688527618847,260.08752854530167,269.4429286723893,-184.90954510625363,-197.2820147135302,-172.39213328057906,-131.51683173547156,-128.50240029870145,-82.1564617004035,-15.539927659882778,-36.59744641628242,-30.973235670104373,3.843341439457163,11.758500784285957,229.1690735962281,270.7687328562518,227.13637508536073,-77.50724218588493,-78.23153645698346,-28.453742192538925,-33.950814303713855,-89.87408539483704,-94.62355194082488,-127.13921710089085,-123.29624321646997,-122.62494271731794,-45.33901140942953,-58.50584279047746,-114.62771102283455,-121.01269352938778,-128.11573514011423,-105.29150567218642,-76.84590658367347,-101.96502905305817,-139.95522018253587,-150.39197918063394,-153.8477515627094,-29.783100642457498,-40.000581053800374,-30.302796140219357,-120.91703909755824,-118.33722221576659,113.84013345176942,187.9198105291875,-149.8202975497768,-112.88196806803967,27.588717033361377,84.98123025529878,-199.3572836570654
1994,0.0,275.73304933629777,275.8913338019231,307.0877759872627,300.56420080258084,282.51226629125966,266.65577653627884,309.4925770931402,316.3902422790832,-122.2751292383017,-137.16650264469808,-113.56551610749875,-124.63080624104873,-122.11119404033911,-84.40581924726916,-9.245847553444037,-27.746432149186717,-45.37827747342135,-33.142880472255115,-11.870117224015644,204.2745013461738,230.2587968300299,216.92057485393963,-112.16061330084892,-110.66241561948311,-75.42821309934493,-78.50906716969894,-138.99543496015667,-137.08957984455265,-55.99707388065451,-52.484093481931154,-53.93794289231346,-57.69129323843583,-67.89312764659076,-176.37334296944698,-182.6612886326759,-190.66481293607524,-95.85403737923502,-75.64844451455667,-95.42438459610185,-117.66482450366857,-127.35915667264953,-126.689751197335,-30.906290983286226,-42.78359552620168,-30.653519277344458,-88.63234377536844,-88.1252678649355,69.73210145122209,129.4113294010151,-118.36903212495145,-91.47243907077234,102.24261927572661,133.10649059366665,-220.15064881748833
1995,0.0,268.055675254466,264.2753466377299,288.99430499061657,276.6614503224463,322.80492729377715,309.83677887801827,287.74762193213115,301.3647892087907,-179.47112368006742,-193.1986239173882,-167.87328176585982,-208.8687939532225,-210.9392464531528,-182.13434927171045,-2.380094535894159,-20.515965964812267,-15.516833644510143,-57.925346327451734,-44.190858981538895,168.76442959992812,228.42573962074937,182.26493246732264,-118.6739429548793,-124.73833859785509,-44.30594499876065,-54.80200700074795,-65.78820849751924,-70.13986758113333,-77.38162770441818,-74.65772208477676,-78.21372862437966,-91.81412580966469,-98.75054465305516,-140.0801226291643,-142.11189910310634,-148.82104638250075,-91.98822899777133,-67.17011581134454,-89.61528227380961,-130.55460852389797,-140.8563082491669,-143.19029438263863,-56.3277262955221,-65.43676736773875,-48.37880078855869,-84.53656714649935,-79.14545361432795,78.69938946895991,154.47938395743768,-77.25931710247323,-40.256351824114404,127.74736442178516,153.7074561971632,-271.61635651126426
1996,0.0,278.93374830034213,283.7490218379908,303.50732174736936,288.7722166270479,167.75263379630033,164.08595116803596,264.0099057148249,286.99603863964046,-124.95621903469873,-149.68986555149138,-127.01506522067041,-195.1102311522585,-201.27267700449204,-166.75540024513532,-7.4732489946080705,-25.146727141832002,-20.716319273802128,-34.077529063125894,-29.289615976704113,279.92880250879386,306.5151559504195,236.36581715524028,-87.93682395094254,-82.68888848557287,-39.823240831348585,-41.15781807870371,-159.99028903470116,-163.81589282165942,-117.01467656568911,-110.37666664616802,-115.61044043672064,-23.549784185475914,-35.66774688246778,-167.92405027244945,-177.40366736583303,-182.4743601927844,-33.451673140195,-27.979108595357502,-37.29630676413899,-152.37681048041577,-168.4343698295388,-166.60895075646022,-103.89408119089978,-127.20338333139705,-118.1369268599882,-122.52771233304611,-126.55290654794373,31.957495739839715,71.60302617936065,-84.70851548624,-46.85221538333997,157.24683143248444,170.73225471938088,-204.81527039363777
1997,0.0,319.66619312664994,316.42755011748073,342.3939634662828,332.9133939111305,326.9827924410452,310.2413476330586,305.737876779449,313.2882107458548,-106.64439612457,-135.9503583517528,-114.9634075799521,-191.19170520736827,-198.83133496823348,-169.73254176611033,-15.41186229152163,-30.077864043053523,-24.420271746953063,-21.64524808731619,-11.507577623563066,196.3775866196179,253.87365080568168,207.08023735995368,-95.2625681641266,-99.60066858662287,-58.90529396747854,-60.14076332718719,-139.65469216494557,-142.2337381085597,-140.16833811586048,-136.9222870700513,-136.300276644144,-56.60853895751029,-66.05823207643084,-167.94148886453797,-183.25215309649707,-179.6074194315869,-83.76552850787107,-54.90825569966637,-77.64703384009204,-129.0397604478453,-134.02479985907144,-138.02567909406287,-6.052215992562651,-9.451276264442754,-5.428431813824545,-95.15863904103514,-93.65125779890491,53.812495929805095,112.87380373153178,-89.83274781288765,-50.910155899648316,114.80123892517395,140.52879002367445,-223.67806199081326
1998,0.0,262.6251160427727,264.1425180968027,304.4992665097801,293.43388722894844,285.75390607418535,273.707250670339,215.12391116095523,209.40285225012212,-120.58193129665892,-140.106135608366,-117.06726530835249,-195.47695077659853,-195.25495993269578,-166.5380719840624,-8.957325119455277,-24.436229314195316,-53.636853094579806,-26.474568380538585,-15.249615090576413,222.624970178882,308.9247003923964,207.11690754248127,-59.02018659441774,-58.22372538054208,-51.430359766177844,-53.67939129516958,-114.2648744620634,-114.57590487764105,-92.32807939408133,-83.83001793941196,-95.36592794513763,-39.71745595180653,-54.23214864140505,-161.17339756554736,-172.96180669003013,-177.6421665212705,-85.55384228976243,-61.13927614149509,-86.6453604032829,-39.74275354086524,-49.21441178674979,-47.54171445919178,-60.827152245493835,-82.93879616939671,-63.72275818362721,-108.74456635172896,-104.33264869229413,64.74287657076104,164.23003268169816,-87.44999823459091,-42.89354031351968,70.28239315702092,102.22486832775678,-246.10879175243736
1999,0.0,289.42151969093925,281.84525317379695,243.63649446878998,240.47461020316427,260.58429465452673,248.31404466176696,257.4739604384069,265.2184669488638,-175.71032599490024,-197.16593719437367,-181.0112578034648,-228.3545744995547,-228.77913509162306,-193.32965293083328,8.299935713760647,-10.000337296171324,-36.992265742886616,45.596405968413706,59.332926419429555,180.13566629439924,268.61145607995445,192.08769377861302,-117.31574138984365,-116.30851541436857,-72.47705839106106,-73.9019540554682,-132.797989829583,-133.748130662299,-75.78676629636334,-83.30332147453271,-78.46760460216899,-76.48039158584083,-89.18412917756086,-144.3504285686738,-153.04364271299357,-154.80213133110942,-71.16960174713188,-60.88019570484505,-71.48480085368044,-128.0763748668777,-134.0656946945769,-137.61932083748707,-31.00630343273724,-40.6810162558229,-34.934081380188786,-67.44834043216883,-64.11030856813932,41.150882799376404,128.59231399487328,-36.13813982652607,7.1423848103517,15.241812160411314,63.58732029960902,-237.20227009063728
2000,0.0,289.5931201386079,285.4271084294448,310.60398554381834,299.41463795582047,237.0134205224935,232.78733353397047,279.70633595628476,294.9748461958916,-45.27358765975907,-88.2148198794273,-79.02377503049445,-163.09083867159814,-160.71630101650533,-110.96610868621372,-31.76464826367703,-44.38771453080881,-93.55669754005521,-16.6117549416432,-18.576215064752887,237.3158485845329,297.970131747638,226.02319023213602,-104.08554868781368,-101.66251111057954,-34.570558725909905,-37.86789453665824,-133.47791444278585,-137.0091224799288,-115.01173262097927,-113.01055611118375,-118.56759417578269,-36.58253009817997,-44.63976082440968,-175.2793478603004,-182.766336596153,-192.9980017515686,-36.33030010098207,-21.52940550469475,-45.791352678150474,-113.84802234484062,-129.18520441500084,-129.32950583961826,-23.40955512739947,-38.29820880042092,-15.924914519401682,-92.72414511940815,-90.93606841513156,-1.9768479456092791,74.7074200615242,-66.350766663341,-23.909105906835066,56.583136623234395,96.82947526235193,-220.38389767663307
