sim_code,sdev,crmsd,ccoef
Référence,16.5,0.0,1.0
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,11.3,23.1,-0.36
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,12.5,19.6,0.11
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,14.7,19.1,0.25
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,14.3,21.9,-0.0
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,13.6,23.8,-0.25
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,11.5,20.1,0.01
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,11.9,20.3,0.01
CRCM5_AFR-44_CCCma-CanESM2_rcp45,14.2,23.9,-0.2
CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,10.2,19.3,0.02
CSC_AFR-44_ICHEC-EC-EARTH_rcp26,13.4,20.6,0.06
CSC_AFR-44_ICHEC-EC-EARTH_rcp45,13.2,22.1,-0.1
CSC_AFR-44_ICHEC-EC-EARTH_rcp85,11.7,21.6,-0.15
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,15.5,25.7,-0.28
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,14.7,25.6,-0.34
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,14.6,22.9,-0.08
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,16.5,21.8,0.13
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,19.3,23.6,0.14
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,14.5,22.0,-0.0
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,16.1,22.3,0.07
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,16.5,20.1,0.26
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,14.8,19.8,0.2
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,14.0,18.1,0.3
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,14.5,23.5,-0.14
RCA4_AFR-44_CCCma-CanESM2_rcp45,17.2,24.3,-0.04
RCA4_AFR-44_CCCma-CanESM2_rcp85,17.3,23.4,0.05
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,16.0,26.7,-0.35
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,16.7,23.6,-0.01
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,14.2,23.0,-0.12
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,15.9,25.0,-0.18
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,18.2,22.3,0.18
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,15.9,20.1,0.23
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,13.4,19.8,0.14
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,15.0,25.1,-0.27
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,16.6,24.8,-0.12
RCA4_AFR-44_MIROC-MIROC5_rcp26,15.0,23.4,-0.1
RCA4_AFR-44_MIROC-MIROC5_rcp45,17.2,22.1,0.14
RCA4_AFR-44_MIROC-MIROC5_rcp85,17.7,22.4,0.15
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,15.6,21.9,0.07
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,14.8,21.5,0.06
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,14.3,21.8,0.01
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,14.0,18.3,0.29
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,15.2,24.6,-0.2
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,12.8,18.0,0.27
RCA4_AFR-44_NCC-NorESM1-M_rcp26,15.3,20.6,0.16
RCA4_AFR-44_NCC-NorESM1-M_rcp45,17.8,22.2,0.16
RCA4_AFR-44_NCC-NorESM1-M_rcp85,18.3,21.8,0.22
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,19.8,22.4,0.25
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,18.7,22.9,0.16
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,19.5,26.1,-0.04
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,17.8,23.7,0.05
REMO2009_AFR-44_MIROC-MIROC5_rcp26,21.6,26.9,0.03
REMO2009_AFR-44_MIROC-MIROC5_rcp85,21.3,23.5,0.25
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,16.5,23.8,-0.04
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,17.6,27.7,-0.32
REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26,14.4,24.6,-0.26
