year,ref,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1991,0.0,-10.866666666666674,-10.616666666666674,2.3833333333333258,1.1333333333333258,11.883333333333326,13.633333333333326,-0.11666666666667425,4.133333333333326,4.633333333333326,-5.366666666666674,-8.366666666666674,6.383333333333326,6.633333333333326,1.1333333333333258,22.133333333333326,21.883333333333326,21.883333333333326,4.383333333333326,4.133333333333326,4.883333333333326,-22.616666666666674,-23.616666666666674,-21.366666666666674,10.133333333333326,
1992,0.0,14.133333333333326,14.633333333333326,-10.866666666666674,-2.1166666666666742,-14.116666666666674,-15.616666666666674,-3.3666666666666742,-1.8666666666666742,-2.8666666666666742,15.133333333333326,14.383333333333326,5.383333333333326,4.133333333333326,4.633333333333326,4.133333333333326,26.383333333333326,26.133333333333326,-4.616666666666674,-3.8666666666666742,-2.8666666666666742,6.133333333333326,5.633333333333326,5.633333333333326,8.133333333333326,1.1333333333333258
1993,0.0,13.133333333333326,14.383333333333326,19.633333333333326,16.133333333333326,17.883333333333326,16.633333333333326,-8.866666666666674,-7.866666666666674,-6.366666666666674,3.1333333333333258,2.6333333333333258,20.883333333333326,14.633333333333326,10.383333333333326,-27.616666666666674,-13.116666666666674,-16.116666666666674,-3.8666666666666742,-8.116666666666674,-4.866666666666674,20.633333333333326,19.633333333333326,16.633333333333326,0.6333333333333258,0.6333333333333258
1994,0.0,41.383333333333326,25.133333333333326,17.883333333333326,18.633333333333326,10.633333333333326,10.383333333333326,-21.866666666666674,-21.616666666666674,-20.866666666666674,15.133333333333326,15.883333333333326,-11.366666666666674,-15.616666666666674,-15.616666666666674,5.133333333333326,8.133333333333326,7.883333333333326,-6.866666666666674,-7.366666666666674,-7.366666666666674,-17.116666666666674,-18.366666666666674,-8.866666666666674,16.383333333333326,16.383333333333326
1995,0.0,20.133333333333326,13.133333333333326,12.383333333333326,11.633333333333326,-2.6166666666666742,-3.3666666666666742,-21.366666666666674,-19.616666666666674,-18.116666666666674,7.133333333333326,10.883333333333326,18.133333333333326,12.883333333333326,14.633333333333326,4.883333333333326,23.133333333333326,12.883333333333326,-14.116666666666674,-14.366666666666674,-11.616666666666674,-11.866666666666674,-11.616666666666674,-3.6166666666666742,3.8833333333333258,4.883333333333326
1996,0.0,-5.616666666666674,-5.616666666666674,-13.366666666666674,-13.366666666666674,-18.366666666666674,-25.366666666666674,-11.366666666666674,-11.616666666666674,-11.116666666666674,-28.616666666666674,-28.616666666666674,8.383333333333326,3.6333333333333258,1.8833333333333258,-2.6166666666666742,-0.6166666666666742,-1.1166666666666742,17.383333333333326,10.883333333333326,3.3833333333333258,-5.116666666666674,-18.366666666666674,-16.866666666666674,3.8833333333333258,8.383333333333326
1997,0.0,24.133333333333326,19.383333333333326,14.883333333333326,22.383333333333326,-2.1166666666666742,-3.1166666666666742,4.383333333333326,7.883333333333326,8.133333333333326,-3.6166666666666742,-3.8666666666666742,17.383333333333326,15.133333333333326,16.633333333333326,3.3833333333333258,11.133333333333326,10.133333333333326,,,,-23.366666666666674,-23.866666666666674,-22.366666666666674,-5.866666666666674,-5.366666666666674
1998,0.0,-7.616666666666674,-4.866666666666674,-18.116666666666674,-17.116666666666674,2.6333333333333258,0.38333333333332575,-10.866666666666674,-8.116666666666674,-6.366666666666674,-21.616666666666674,-22.616666666666674,5.883333333333326,-2.8666666666666742,-5.866666666666674,-2.8666666666666742,19.633333333333326,-3.3666666666666742,-9.866666666666674,-13.116666666666674,-9.616666666666674,-31.866666666666674,-32.616666666666674,15.883333333333326,-23.866666666666674,-23.366666666666674
1999,0.0,24.383333333333326,24.633333333333326,,,25.633333333333326,24.383333333333326,-10.616666666666674,-9.616666666666674,-7.616666666666674,17.883333333333326,15.883333333333326,-0.6166666666666742,-1.6166666666666742,-2.8666666666666742,7.133333333333326,9.633333333333326,8.883333333333326,11.633333333333326,10.633333333333326,11.633333333333326,4.633333333333326,4.883333333333326,8.383333333333326,20.133333333333326,21.133333333333326
2000,0.0,23.383333333333326,20.133333333333326,5.383333333333326,5.383333333333326,17.383333333333326,16.383333333333326,23.883333333333326,25.133333333333326,25.883333333333326,-15.366666666666674,-7.366666666666674,10.133333333333326,-0.36666666666667425,0.13333333333332575,-23.616666666666674,-21.366666666666674,-22.866666666666674,5.633333333333326,1.1333333333333258,9.383333333333326,-13.366666666666674,-24.116666666666674,-12.616666666666674,15.133333333333326,15.133333333333326
