year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85
1981,1023.6397156119347,772.0529427575474,779.8673566827887,888.0074055358544,860.306904419574,492.7020933292387,479.00642124055486,908.2756408993682,904.6027131907024,1002.8428505518395,987.3731057487365,1050.5907906437185,1040.0506581227341,1049.1609737767335,1041.5012242744085,945.4408931063273,940.8493426499506,813.5881402554013,793.0672955059454,858.5995929330155,852.3540568644887,840.9852316367471,841.7205836017786,967.568483665309,973.3226067025381,859.4107862284418,852.5282509255121,760.2429922733502,753.9799214972273,933.3896695091887,926.1798693749294,847.6070112186952,838.4816884381582,988.7445990895508,986.5842994351369,664.3863076437596,653.4295209057955,860.7602753800174,878.605175848594,732.2430668477472,1068.0650371570139,950.8506621630665
1982,1033.6650951504707,772.8838445774146,781.8506410890775,826.818878232612,810.0820079840198,433.3604294400642,421.15601708936515,971.2490043775625,973.9920088031139,1013.2455921890959,1001.7721680781146,1091.139414422336,1088.5109981330281,1029.926025720079,1019.4887161711629,934.6506548307627,934.0786762473579,910.2561959133272,879.9254041190272,745.1661314127233,739.8520775454031,866.8005091912004,870.5779767410802,918.6343023466327,919.7249936905949,939.7272213500416,934.5434327136466,854.3276743508709,847.5312144383489,938.78788804444,934.5933942219726,827.3561915781552,823.0943188566165,894.854095498607,890.3245401469094,717.7959862767517,701.5332285131112,843.4429745790203,847.6023536857987,849.2505962944226,934.5838685780359,954.3370991035124
1983,1070.0974081456661,803.3038011632432,810.4879782184474,739.8887600552206,714.566145494458,505.6125240199327,487.0624873968352,974.1133740097722,968.7233568819619,974.1191201669291,965.0520567514797,1002.3448425965985,990.885738168411,940.5156818195616,923.1557800036315,1008.3323345399344,1005.0102621685244,801.5038966006846,775.9858742496644,840.0799207805205,825.666664759995,937.0022144368525,938.0808908563519,970.7504825977907,977.8428858076885,881.1400561542027,882.1843453270915,933.4055852708592,923.3877766279489,946.1449132494591,936.1398538048936,908.1984201122789,900.3659687509673,893.7839664072576,889.5190058070027,853.7500399244645,834.1314983029024,911.5664686803631,911.7127429326571,640.3294092100202,979.0795936287805,801.363951847561
1984,1063.838394343853,764.4652898897733,772.9971607219151,737.2350645924265,703.7993846023927,319.71085679974203,311.3446054154408,954.3648653505877,955.0407840142351,1108.2828507622844,1101.776250520987,990.8171306804982,989.3344120795218,910.9309306817038,886.1025648875252,939.4246870035836,933.723779892047,659.8705084285518,634.9557961776136,838.1141031289739,828.2003449938979,893.1608536907839,896.6171203793449,915.263729064961,916.4578927923214,938.083493917967,939.0634102267336,724.0900612842252,716.7347318557453,919.3097728649755,912.7017667722828,773.7284565987932,767.6474221620332,991.4929531495769,982.4300729314078,879.2046426234815,855.6650290343139,907.2462688782869,911.5531573791258,798.4989170039252,1002.5345216451403,902.2497812953433
1985,1006.4131349921227,846.8285989194316,853.5208609145175,771.1299008097185,744.7272548989366,543.9244923632066,535.7939927302025,914.8591941272894,908.6560913505319,951.2802134389108,935.8270846436858,1034.6426321174183,1026.69849412412,1015.5181439206737,999.4994960339004,889.1635065339577,885.4348119847256,721.8260133321068,705.5487388195211,842.6878297882391,835.3011893437769,820.5455152178217,824.0141139837665,948.4159751977925,948.4049358337434,828.0962429841629,834.9193479306439,817.6340658387595,814.9791971631,907.8606601755378,899.6030161759544,879.8699564889477,873.2173490491391,917.7577159777251,915.0039641134301,764.7221230143123,744.1271635316373,868.0626540211599,875.2498295296033,941.7208599033031,993.3992790482243,897.4404647156033
1986,1023.0773268640041,859.6963631429178,863.2505783779453,867.0544322049866,836.1313339102246,523.1058796261352,515.3706733295338,904.7764804690423,900.7049102452692,895.3442838503254,880.8995963435955,1040.0746613696863,1030.5517828348666,761.4357408307602,745.8308749596565,1041.82891247446,1035.7985930226741,826.1373272634215,791.1336198561967,875.8068149038427,864.2848930845852,925.7993108590489,932.4934576461648,992.8015573644477,996.30482186036,783.346252460741,778.5445203918325,809.98352549321,806.0226823457185,976.6322468857109,973.9495774303143,833.2196276634274,825.9612778178273,963.1271523957388,957.7301323781293,769.54581234233,752.9814252043028,879.6913143518841,890.9838455273749,972.7921833441237,1089.1946623136248,1007.5085798907505
1987,1067.866521432996,1017.5613363071253,1021.8841575704606,762.1034251664212,699.866610529747,717.2702553127821,708.5902542447016,869.2539849058187,863.0253307292285,992.0165838123468,974.2820650998135,1069.4046968837738,1064.9252320729292,921.8365811123575,908.8363171763639,1042.2202315163247,1041.6059129216208,954.8184172259441,929.188141045456,902.798209008679,900.5573856784384,834.5356271930884,839.5272534527921,990.2210956757582,989.614065103117,871.1714343774668,854.3144110061423,880.4249598822063,875.9542602870678,953.7750127323272,950.5367676096405,934.2062546372632,926.179771895971,857.2689257691704,850.9099857571557,890.1387880343422,867.5053753015783,908.4869532600461,918.6710151269834,979.2057713818165,1045.7805439629274,1020.7045934536873
1988,1024.6230935156345,869.5431336556032,875.3883467754644,767.4064958828078,735.7685530820181,792.9025823691973,783.9842639641,920.9627933167621,917.5109031823853,949.6815158578709,937.4415359357038,1037.481262227488,1032.4128584707887,1038.3951552686208,1038.7586894340923,1075.082690532124,1068.692807140043,1061.3748600140907,1031.0634284351606,811.5876348297418,803.6393881795876,789.5885467003991,798.1717894042754,936.2573736172102,936.0949207314316,909.1321071378475,908.8323946311697,771.4174685957919,763.9785541313734,836.6290433921918,830.9403757459796,946.665848365421,935.967575628315,885.6716082005755,884.3653670612355,687.3739769704789,671.3339709707053,967.7157330200017,975.4537413993668,1074.150289637571,1050.9327881120685,1136.9502475370623
1989,1039.604844674468,763.2071559706542,768.3118920844593,618.9265515792803,567.4307148506218,583.9135141855629,569.1641100198299,757.3243744063658,740.7845899743124,1015.8503307979522,1004.1538727301012,973.242316558103,965.9257917726611,1043.3008945887132,1028.270762259904,1091.9937926976543,1088.315788853608,1114.4359760957595,1086.8955588892954,849.650621419091,843.5936141773083,844.2925853738557,846.852831915978,935.4013590475864,932.106862014482,910.4571539870005,913.5357366097809,840.5159335972968,835.7623145045013,926.2132082869275,918.8329495744636,930.9803511047743,917.545663933588,913.1711774116548,911.8321254463501,869.6145485490405,849.7538767717452,878.7393983461533,886.7565803347961,986.8634012618879,938.1579047680925,1031.6050060541102
1990,1040.4773635417223,854.0260463243851,864.3596692217183,716.1302381015353,696.5731967309159,437.6038130219913,428.1015914617415,715.4553718839841,693.054567282159,960.9914551790412,947.59926918082,888.6196315461867,884.5863664547896,1127.877762392168,1114.850900236886,1101.0681377919004,1092.376361656242,895.4961644236311,876.8191308772313,826.7563051851839,814.5562147577886,821.0653008645419,826.2065958627592,965.9635352482247,968.3015462402791,947.3980703666646,940.7349570370698,844.6911579471775,841.218725961589,922.686927668454,915.5951458417469,660.4536245351792,665.6362323041246,828.5758576069121,824.215326805671,704.1890749442731,691.3031292434899,883.2420020417594,893.0435003483984,1024.3897760293028,1000.4587492323824,867.3740959361006
