year,ref,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,2932.295167028904,2838.73666420853,2806.80600040125,2944.253091819522,2945.1232669186766,3046.343889705794,3046.95670861293,2925.0380118081835,2915.765229617185,2824.8584967621814,2814.244249112583,3000.63675698552,2991.646472257622,2925.3403200856874,2913.506392703679,2778.3902881914905,2774.985723313951,2991.727261817263,2987.9143443494413,2925.564435953612,2915.0745149153026
1982,3051.283200263977,3125.9998171954285,3095.001202643842,2854.7349506339083,2850.0301250731736,2903.267254686647,2905.6451674932,2862.131933467951,2848.0573881817445,2891.3762644140006,2885.8963400869743,2941.310494792236,2928.8708887109665,2741.197746971521,2731.8424986954888,3011.192023575989,3003.868621558695,2913.6424146724453,2906.6318917581357,2959.7731384616204,2944.0381335395346
1983,2887.918703854084,2889.3528217573244,2858.818565734219,2975.2244866850424,2974.0195360151633,2750.562605575265,2756.4986764308924,2928.177569762036,2909.012551206509,2772.7771633195434,2775.288691418784,2875.2037250068006,2864.9004096249014,2837.792820582227,2830.4689480375755,2894.4085900805258,2890.143459993868,2918.278895748516,2914.859359525397,2982.8445925227843,2960.827597516027
1984,2977.38326638937,2945.884936394413,2921.0132735711195,2979.4261738261353,2975.7040183587214,3050.8086975965607,3048.9587527683925,2877.7040992375714,2858.5314681415252,2953.1890041758124,2936.577720014772,3131.000944686777,3115.0526570734046,3096.9089407173033,3085.795676240814,2841.048217966101,2839.260463246581,2869.3884696277564,2869.982695846299,3124.370232050114,3106.7104027060473
1985,3073.1803967654705,2919.2518829094315,2887.3844355833216,3012.5234376874405,3006.495229292978,3099.05235775439,3097.013965824273,3012.0669163095386,2988.779076348826,2737.184829857806,2730.991198075045,3040.0616999020694,3027.6910854217836,2970.0976951618736,2954.952388207892,2910.515822500942,2903.2212126955587,3050.8449160565187,3044.978970369033,2938.4206401328825,2928.106161507437
1986,3062.94122159481,2931.3629262202353,2904.316171822751,2881.3946778430213,2881.254198753081,3065.455398252897,3054.390570696926,3143.797630828131,3123.2457485473014,2936.5075017214963,2921.264997000155,2829.854065670338,2819.358609771399,2968.842186123567,2957.9894305155062,2977.994932187768,2971.278708502148,2933.3668837314567,2931.899185338159,2984.7403673854824,2960.8087315093126
1987,2897.8365744054317,2861.188982118802,2838.4023061122443,2941.658075144777,2934.59950266617,3006.899192250317,3010.6498160889532,3137.332138918053,3113.54903713509,2901.8199871297884,2894.2674046757575,3072.7884188751214,3061.2897240007906,2874.0480962453626,2859.653099348543,2960.117583981888,2949.340111329502,2856.2754744177996,2851.960521181343,2992.696037070279,2973.5616887657225
1988,3096.4740445017815,2865.861520229645,2836.3245905366603,3103.7699609181436,3096.445787720976,2968.7518852801213,2961.157049010638,2966.6598078284924,2955.198663379266,2826.184037533991,2815.5481624491026,3023.08979198404,3009.3891468812876,2855.5732683021897,2845.8130015346405,2960.0040067542272,2954.234871985518,3015.6382861769575,2997.391056745636,2906.4073817153485,2892.6308061770796
1989,2948.967926621437,2915.829206661876,2893.8400682818833,3021.0253543895587,3012.3878523167496,2958.629230683339,2955.886423166495,3101.2060461305305,3079.0336027134963,2859.4730924329997,2854.2607196860067,2857.7044871922044,2846.8689743493173,3042.9416167781205,3033.5806588188666,2993.541731725267,2987.4423635484454,2817.1735872406307,2809.9947496003515,2953.9703198510774,2942.804347584571
1990,3122.3147031366825,2984.3234257140784,2957.2687119759917,2917.635269033117,2914.057581325937,2910.7777266937333,2911.510432004455,3023.1729881620613,3002.315392597474,2836.8136130230178,2830.204822027717,2905.4163858579313,2896.5046117949983,3114.5317079932247,3098.739905530965,3105.070773346101,3093.582832949877,3030.625933711468,3023.7200012595786,3016.411621118789,2999.6406456124164
